# 青简基础词库，由 qingjian-dict-convert lexicon 生成。词	音节	词频
# 来源：通用规范汉字表（8105 字）；现代汉语常用词表（liuxilu 校对版）；THUOCL 领域词（MIT，清华大学自然语言处理实验室）；
# 读音：Unihan（Unicode License）+ LLM 标注多音字词；词频：青简自己的语料统计（中文维基 CC BY-SA 4.0、LCCC MIT）。
昼伏夜出	zhou fu ye chu	64
昼夜	zhou ye	711
昽	long	5
显	xian	8919
显像管	xian xiang guan	13
显出	xian chu	157
显卡	xian ka	486
显圣	xian sheng	92
显学	xian xue	10
显宗	xian zong	213
显式	xian shi	122
显形	xian xing	19
显影	xian ying	170
显得	xian de	7440
显微	xian wei	100
显微镜	xian wei jing	415
显性	xian xing	91
显摆	xian bai	1286
显效	xian xiao	6
显明	xian ming	80
显灵	xian ling	495
显然	xian ran	2660
显现	xian xian	684
显瘦	xian shou	1907
显白	xian bai	667
显眼	xian yan	835
显示	xian shi	19339
显示器	xian shi qi	996
显示屏	xian shi ping	566
显耀	xian yao	15
显老	xian lao	789
显而易见	xian er yi jian	302
显胖	xian pang	751
显能	xian neng	3
显脸	xian lian	682
显腿	xian tui	42
显腿长	xian tui chang	267
显著	xian zhu	2627
显要	xian yao	48
显见	xian jian	51
显豁	xian huo	8
显贵	xian gui	139
显赫	xian he	301
显身手	xian shen shou	12
显达	xian da	53
显露	xian lu	349
晁	chao	152
晃	huang	4706
晃动	huang dong	285
晃悠	huang you	536
晃摇	huang yao	2
晃眼	huang yan	299
晃荡	huang dang	417
晅	xuan	10
晊	zhi	41
晋	jin	6864
晋中市	jin zhong shi	167
晋书	jin shu	357
晋元帝	jin yuan di	62
晋冀	jin ji	28
晋冀鲁	jin ji lu	232
晋冀鲁豫	jin ji lu yu	232
晋军	jin jun	395
晋剧	jin ju	25
晋升	jin sheng	4044
晋国	jin guo	611
晋城	jin cheng	276
晋城市	jin cheng shi	82
晋孝武帝	jin xiao wu di	51
晋宁	jin ning	93
晋安帝	jin an di	65
晋察	jin cha	3
晋察冀	jin cha ji	563
晋封	jin feng	209
晋州	jin zhou	194
晋平	jin ping	97
晋惠帝	jin hui di	128
晋朝	jin chao	397
晋武帝	jin wu di	251
晋江	jin jiang	862
晋江县	jin jiang xian	206
晋江市	jin jiang shi	74
晋源	jin yuan	63
晋级	jin ji	6397
晋绥	jin sui	324
晋职	jin zhi	14
晋谒	jin ye	11
晋身	jin shen	567
晋阳	jin yang	303
晌	shang	77
晌午	shang wu	39
晏	yan	1014
晏斯	yan si	241
晏紫	yan zi	101
晐	gai	2
晒	shai	27201
晒台	shai tai	17
晒图	shai tu	227
晒场	shai chang	21
晒太阳	shai tai yang	3518
晒娃	shai wa	236
晒干	shai gan	376
晒干存	shai gan cun	227
晒成	shai cheng	554
晒死	shai si	706
晒霜	shai shuang	1
晒黑	shai hei	3199
晓	xiao	8923
晓东	xiao dong	173
晓之以理	xiao zhi yi li	26
晓事	xiao shi	4
晓以利害	xiao yi li hai	7
晓宇	xiao yu	206
晓市	xiao shi	4
晓彤	xiao tong	1062
晓彤最	xiao tong zui	1
晓彤最美	xiao tong zui mei	6
晓得	xiao de	20574
晓慧	xiao hui	113
晓明	xiao ming	520
晓月	xiao yue	70
晓波	xiao bo	61
晓畅	xiao chang	7
晓示	xiao shi	23
晓行夜宿	xiao xing ye su	3
晓雪	xiao xue	138
晓飞	xiao fei	77
晔	ye	360
晕	yun	12978
晕乎	yun hu	62
晕乎乎	yun hu hu	262
晕了	yun le	2848
晕倒	yun dao	1234
晕厥	yun jue	26
晕头晕脑	yun tou yun nao	2
晕头转向	yun tou zhuan xiang	163
晕机	yun ji	110
晕死	yun si	1579
晕船	yun chuan	214
晕血	yun xue	122
晕车	yun che	1708
晕针	yun zhen	70
晖	hui	1942
晗	han	785
晗关	han guan	206
晗关晓	han guan xiao	202
晗关晓彤	han guan xiao tong	202
晙	jun	65
晚	wan	72904
晚上	wan shang	125944
晚上去	wan shang qu	2588
晚上吃	wan shang chi	3128
晚上好	wan shang hao	15325
晚上就	wan shang jiu	3100
晚上我	wan shang wo	2143
晚上的	wan shang de	5901
晚了	wan le	15905
晚些	wan xie	700
晚会	wan hui	3722
晚场	wan chang	86
晚婚	wan hun	350
晚安	wan an	106208
晚安了	wan an le	2335
晚安哦	wan an o	2453
晚安啦	wan an la	5830
晚安好	wan an hao	2300
晚安好梦	wan an hao meng	12
晚宴	wan yan	487
晚年	wan nian	1584
晚报	wan bao	925
晚春	wan chun	25
晚景	wan jing	26
晚期	wan qi	1931
晚点	wan dian	5339
晚熟	wan shu	60
晚班	wan ban	901
晚生	wan sheng	71
晚睡	wan shui	5265
晚礼服	wan li fu	114
晚秋	wan qiu	117
晚稻	wan dao	21
晚育	wan yu	82
晚自习	wan zi xi	574
晚舟	wan zhou	1
晚节	wan jie	13
晚节不保	wan jie bu bao	59
晚车	wan che	7
晚辈	wan bei	198
晚近	wan jin	42
晚间	wan jian	4001
晚霞	wan xia	553
晚餐	wan can	4767
晚饭	wan fan	10021
晚香玉	wan xiang yu	4
晞	xi	408
晟	cheng	850
晟	sheng	42
晡	bu	15
晢	zhe	9
晤	wu	218
晤士	wu shi	634
晤士报	wu shi bao	274
晤见	wu jian	8
晤谈	wu tan	30
晤面	wu mian	8
晦	hui	216
晦暗	hui an	37
晦气	hui qi	204
晦涩	hui se	117
晨	chen	13766
晨光	chen guang	400
晨哥	chen ge	997
晨宇	chen yu	18
晨报	chen bao	209
晨昏	chen hun	75
晨星	chen xing	83
晨曦	chen xi	725
晨练	chen lian	300
晨跑	chen pao	620
晨锅	chen guo	233
晨间	chen jian	438
晨雾	chen wu	29
晨霜	chen shuang	1
晨风	chen feng	33
晪	tian	4
晫	zhuo	10
普	pu	24376
普世	pu shi	410
普京	pu jing	657
普什	pu shen	71
普什图	pu shen tu	248
普伦	pu lun	244
普伦州	pu lun zhou	690
普伦州所	pu lun zhou suo	321
普兰	pu lan	790
普切	pu qie	365
普列	pu lie	489
普利	pu li	874
普利特	pu li te	144
普利茅斯	pu li mao si	209
普勒	pu le	949
普卡	pu ka	184
普卢	pu lu	416
普卢默	pu lu mo	168
普及	pu ji	2361
普及本	pu ji ben	3
普及率	pu ji lv	76
普吉	pu ji	246
普吉岛	pu ji dao	454
普吕	pu lv	267
普天下	pu tian xia	2
普天之下	pu tian zhi xia	4
普天同庆	pu tian tong qing	12
普奔	pu ben	407
普宁市	pu ning shi	107
普希金	pu xi jin	249
普度	pu du	64
普度众生	pu du zhong sheng	72
普快	pu kuai	103
普拉	pu la	3943
普拉斯	pu la si	170
普教	pu jiao	16
普敦	pu dun	529
普曼	pu man	145
普朗	pu lang	314
普朗克	pu lang ke	276
普林	pu lin	2495
普查	pu cha	27445
普格	pu ge	60
普森	pu sen	175
普法	pu fa	6933
普泰	pu tai	65
普洛	pu luo	592
普洱茶	pu er cha	49
普济	pu ji	201
普渡	pu du	445
普照	pu zhao	364
普瓦	pu wa	639
普瓦捷	pu wa jie	316
普空	pu kong	346
普米族	pu mi zu	39
普罗	pu luo	1523
普罗旺	pu luo wang	21
普罗旺斯	pu luo wang si	3617
普罗维	pu luo wei	262
普莱	pu lai	1501
普莱斯	pu lai si	499
普萨	pu sa	87
普萨拉	pu sa la	38
普诺	pu nuo	295
普贤	pu xian	230
普选	pu xuan	575
普通	pu tong	21194
普通用户	pu tong yong hu	77
普通的	pu tong de	3177
普通话	pu tong hua	3641
普速	pu su	254
普遍	pu bian	6855
普遍性	pu bian xing	102
普邦	pu bang	2
普里	pu li	1604
普金	pu jin	83
普陀	pu tuo	182
普陀区	pu tuo qu	246
普陀寺	pu tuo si	61
普陀山	pu tuo shan	196
普降	pu jiang	48
普雷	pu lei	1482
普雷姆	pu lei mu	241
普雷斯	pu lei si	437
普雷斯顿	pu lei si dun	230
普顿	pu dun	860
普鲁	pu lu	566
普鲁塔克	pu lu ta ke	75
普鲁士	pu lu shi	1592
景	jing	12625
景东	jing dong	64
景云	jing yun	112
景云合	jing yun he	1
景云合监	jing yun he jian	218
景仰	jing yang	103
景兴	jing xing	237
景况	jing kuang	31
景区	jing qu	2537
景园	jing yuan	79
景宗	jing zong	110
景山	jing shan	363
景平	jing ping	62
景德	jing de	593
景德镇市	jing de zhen shi	87
景慕	jing mu	2
景气	jing qi	109
景泰	jing tai	470
景泰蓝	jing tai lan	24
景深	jing shen	120
景点	jing dian	3966
景物	jing wu	151
景瑜	jing yu	8
景甜	jing tian	358
景福	jing fu	169
景致	jing zhi	213
景色	jing se	2685
景观	jing guan	2111
景象	jing xiang	703
景阳	jing yang	115
景颇族	jing po zu	248
晰	xi	103
晱	shan	3
晴	qing	5783
晴和	qing he	29
晴天	qing tian	3451
晴天霹雳	qing tian pi li	127
晴好	qing hao	79
晴明	qing ming	235
晴朗	qing lang	842
晴空	qing kong	233
晴空万里	qing kong wan li	2
晴雨伞	qing yu san	12
晴雨表	qing yu biao	8
晶	jing	5083
晶亮	jing liang	24
晶体	jing ti	1413
晶体管	jing ti guan	260
晶片	jing pian	694
晶状体	jing zhuang ti	31
晶石	jing shi	60
晶系	jing xi	273
晶莹	jing ying	77
晶莹剔透	jing ying ti tou	122
晷	gui	76
智	zhi	11776
智利	zhi li	2849
智力	zhi li	976
智勇双全	zhi yong shuang quan	46
智取	zhi qu	72
智商	zhi shang	13918
智囊	zhi nang	67
智囊团	zhi nang tuan	58
智多星	zhi duo xing	66
智子	zhi zi	205
智库	zhi ku	458
智慧	zhi hui	5322
智慧城市	zhi hui cheng shi	117
智擒	zhi qin	5
智者	zhi zhe	547
智育	zhi yu	18
智能	zhi neng	2793
智能化	zhi neng hua	84
智能型	zhi neng xing	16
智能家居	zhi neng jia ju	152
智能手机	zhi neng shou ji	987
智能手表	zhi neng shou biao	83
智能机	zhi neng ji	153
智能机器人	zhi neng ji qi ren	99
智能电视	zhi neng dian shi	64
智能障碍	zhi neng zhang ai	54
智英	zhi ying	54
智谋	zhi mou	61
智达	zhi da	54
智障	zhi zhang	98
智齿	zhi chi	4093
晾	liang	1025
晾台	liang tai	4
晾晒	liang shai	91
暂	zan	2533
暂且	zan qie	391
暂代	zan dai	257
暂住	zan zhu	222
暂住证	zan zhu zheng	102
暂停	zan ting	5616
暂定	zan ding	932
暂无	zan wu	1917
暂时	zan shi	12783
暂未	zan wei	634
暂用	zan yong	45
暂缓	zan huan	559
暂编	zan bian	299
暂缺	zan que	344
暂行	zan xing	252
暂行办法	zan xing ban fa	85
暂行规定	zan xing gui ding	55
暄	xuan	266
暅	geng	16
暇	xia	186
暇时	xia shi	7
暌	kui	47
暑	shu	300
暑伏	shu fu	3
暑假	shu jia	17767
暑天	shu tian	6
暑期	shu qi	989
暑气	shu qi	14
暑热	shu re	21
暕	jian	47
暖	nuan	19425
暖乎乎	nuan hu hu	19
暖冬	nuan dong	135
暖和	nuan huo	7362
暖哭	nuan ku	225
暖壶	nuan hu	88
暖床	nuan chuang	542
暖心	nuan xin	2862
暖意	nuan yi	92
暖房	nuan fang	59
暖手	nuan shou	416
暖棚	nuan peng	8
暖气	nuan qi	7655
暖气片	nuan qi pian	184
暖水壶	nuan shui hu	6
暖水瓶	nuan shui ping	20
暖水袋	nuan shui dai	181
暖洋洋	nuan yang yang	149
暖流	nuan liu	89
暖炕	nuan kang	2
暖烘烘	nuan hong hong	18
暖瓶	nuan ping	52
暖男	nuan nan	1164
暖色	nuan se	62
暖融融	nuan rong rong	5
暖阁	nuan ge	12
暖阳	nuan yang	281
暖风	nuan feng	195
暖风机	nuan feng ji	59
暗	an	5646
暗中	an zhong	1614
暗之	an zhi	223
暗伤	an shang	11
暗号	an hao	632
暗合	an he	18
暗含	an han	44
暗哨	an shao	6
暗喜	an xi	35
暗喻	an yu	102
暗器	an qi	92
暗地	an di	145
暗地里	an di li	231
暗场	an chang	3
暗堡	an bao	8
暗处	an chu	114
暗夜	an ye	336
暗娼	an chang	39
暗室	an shi	36
暗害	an hai	17
暗影	an ying	543
暗恋	an lian	5070
暗想	an xiang	24
暗房	an fang	46
暗扣儿	an kou er	12
暗指	an zhi	219
暗探	an tan	8
暗无天日	an wu tian ri	3
暗暗	an an	295
暗杀	an sha	1790
暗沉	an chen	286
暗沟	an gou	16
暗河	an he	41
暗泣	an qi	17
暗流	an liu	48
暗淡	an dan	247
暗潮	an chao	13
暗疾	an ji	2
暗盒	an he	10
暗礁	an jiao	97
暗示	an shi	3520
暗笑	an xiao	11
暗算	an suan	142
暗箭	an jian	11
暗箱操作	an xiang cao zuo	6
暗红	an hong	59
暗线	an xian	28
暗绿	an lv	11
暗自	an zi	269
暗藏	an cang	158
暗补	an bu	6
暗记	an ji	9
暗访	an fang	80
暗话	an hua	402
暗语	an yu	121
暗转	an zhuan	1
暗送秋波	an song qiu bo	23
暗道	an dao	21
暗部	an bu	69
暗里	an li	44
暗锁	an suo	1
暗黑	an hei	1500
暝	ming	52
暧	ai	76
暧	nuan	4
暧昧	ai mei	2112
暨	ji	5069
暨南大学	ji nan da xue	264
暮	mu	754
暮光	mu guang	125
暮光之	mu guang zhi	3
暮光之城	mu guang zhi cheng	252
暮年	mu nian	58
暮春	mu chun	30
暮景	mu jing	1
暮气	mu qi	2
暮气沉沉	mu qi chen chen	5
暮秋	mu qiu	4
暮色	mu se	15
暮霭	mu ai	9
暮鼓晨钟	mu gu chen zhong	7
暲	zhang	41
暴	bao	4318
暴	pu	216
暴乱	bao luan	375
暴击	bao ji	1894
暴利	bao li	43
暴力	bao li	5132
暴动	bao dong	2296
暴发	bao fa	409
暴发户	bao fa hu	693
暴君	bao jun	303
暴富	bao fu	3050
暴尸	bao shi	45
暴徒	bao tu	554
暴怒	bao nu	150
暴戾	bao li	66
暴戾恣睢	bao li zi sui	1
暴打	bao da	365
暴政	bao zheng	205
暴敛	bao lian	12
暴晒	bao shai	478
暴死	bao si	10
暴殄天物	bao tian tian wu	112
暴毙	bao bi	210
暴民	bao min	221
暴涨	bao zhang	186
暴烈	bao lie	39
暴病	bao bing	18
暴瘦	bao shou	397
暴突	bao tu	1
暴虐	bao nue	20
暴虐	bao nve	164
暴行	bao xing	468
暴走	bao zou	1498
暴跌	bao die	142
暴跳	bao tiao	8
暴跳如雷	bao tiao ru lei	25
暴躁	bao zao	1712
暴雨	bao yu	4763
暴雪	bao xue	971
暴露	bao lu	7367
暴露了	bao lu le	2780
暴露无遗	bao lu wu yi	80
暴风	bao feng	1084
暴风影音	bao feng ying yin	69
暴风雨	bao feng yu	838
暴风雪	bao feng xue	297
暴风骤雨	bao feng zhou yu	21
暴食	bao shi	245
暴饮暴食	bao yin bao shi	25
暴龙	bao long	773
暵	han	1
暶	xuan	5
暹	xian	315
暹罗	xian luo	1264
暾	tun	40
暿	xi	1
曈	tong	55
曌	zhao	36
曙	shu	390
曙光	shu guang	919
曙色	shu se	4
曛	xun	4
曜	yao	1428
曝	pu	877
曝光	bao guang	3637
曝晒	pu shai	58
曦	xi	2112
曩	nang	42
曰	yue	2545
曲	qu	26689
曲别针	qu bie zhen	8
曲剧	qu ju	9
曲奇	qu qi	636
曲子	qu zi	1113
曲尺	qu chi	21
曲径	qu jing	18
曲径通幽	qu jing tong you	11
曲意逢迎	qu yi feng ying	6
曲折	qu zhe	790
曲曲弯弯	qu qu wan wan	2
曲棍球	qu gun qiu	1075
曲榜	qu bang	4
曲榜第	qu bang di	251
曲沃	qu wo	71
曲牌	qu pai	26
曲目	qu mu	4090
曲直	qu zhi	14
曲笔	qu bi	3
曲线	qu xian	1851
曲线美	qu xian mei	13
曲终人散	qu zhong ren san	99
曲艺	qu yi	378
曲解	qu jie	410
曲调	qu diao	433
曲谱	qu pu	83
曲里拐弯	qu li guai wan	4
曲阜	qu fu	393
曲阜市	qu fu shi	62
曲阳	qu yang	76
曲霉	qu mei	252
曲靖	qu jing	360
曲靖市	qu jing shi	94
曲面	qu mian	515
曲风	qu feng	661
曲高和寡	qu gao he gua	26
曳	ye	280
曳光弹	ye guang dan	66
更	geng	181430
更上一层楼	geng shang yi ceng lou	236
更为	geng wei	3266
更佳	geng jia	377
更具	geng ju	565
更加	geng jia	11357
更动	geng dong	221
更博	geng bo	5221
更名	geng ming	9675
更喜欢	geng xi huan	4180
更多	geng duo	19603
更多的	geng duo de	6687
更大	geng da	5255
更好	geng hao	22047
更好的	geng hao de	2060
更好看	geng hao kan	3481
更年期	geng nian qi	1165
更张	geng zhang	48
更强	geng qiang	880
更惨	geng can	978
更换	geng huan	3365
更改	geng gai	2385
更新	geng xin	20976
更新了	geng xin le	2283
更新换代	geng xin huan dai	119
更易	geng yi	189
更显	geng xian	292
更替	geng ti	232
更有	geng you	4409
更有甚者	geng you shen zhe	40
更正	geng zheng	413
更狠	geng hen	224
更生	geng sheng	297
更美	geng mei	3760
更衣	geng yi	158
更衣室	geng yi shi	290
更迭	geng die	147
更配	geng pei	605
更难	geng nan	1196
更鼓	geng gu	8
曷	he	125
曹	cao	8058
曹丕	cao pi	241
曹仁	cao ren	72
曹参	cao can	102
曹叡	cao rui	59
曹彬	cao bin	65
曹操	cao cao	1143
曹格	cao ge	166
曹植	cao zhi	58
曹氏	cao shi	175
曹永	cao yong	112
曹禺	cao yu	57
曹芳	cao fang	62
曹锟	cao kun	164
曹雪芹	cao xue qin	56
曹髦	cao mao	50
曹魏	cao wei	778
曼	man	20042
曼丹	man dan	403
曼丽	man li	48
曼努	man nu	22
曼努埃	man nu ai	36
曼努埃尔	man nu ai er	629
曼城	man cheng	595
曼声	man sheng	27
曼妙	man miao	117
曼尼	man ni	562
曼尼亚	man ni ya	76
曼底	man di	1
曼底大	man di da	2551
曼底大区	man di da qu	2551
曼彻	man che	3
曼彻斯	man che si	796
曼彻斯特	man che si te	796
曼德	man de	424
曼德拉	man de la	310
曼恩	man en	2516
曼恰	man qia	1
曼恰托	man qia tuo	205
曼恰托莱	man qia tuo lai	205
曼恰昆	man qia kun	237
曼恰昆卡	man qia kun ka	237
曼恰瓜	man qia gua	285
曼恰瓜达	man qia gua da	285
曼纽	man niu	179
曼联	man lian	1018
曼舞	man wu	9
曼苏尔	man su er	141
曼谷	man gu	2073
曼达	man da	201
曼达洛	man da luo	736
曼迪	man di	222
曼陀	man tuo	215
曾	ceng	83253
曾	zeng	4163
曾于	ceng yu	5450
曾任	ceng ren	17277
曾任寿	ceng ren shou	2
曾任寿官	ceng ren shou guan	328
曾几何时	ceng ji he shi	115
曾厝	zeng cuo	287
曾国藩	zeng guo fan	104
曾孙	zeng sun	1096
曾孙女	zeng sun nv	153
曾志伟	zeng zhi wei	189
曾文溪	zeng wen xi	85
曾普	zeng pu	693
曾普伦	zeng pu lun	321
曾普伦州	zeng pu lun zhou	369
曾祖	zeng zu	7676
曾祖母	zeng zu mu	166
曾祖父	zeng zu fu	1255
曾经	ceng jing	25143
曾经沧海	ceng jing cang hai	27
曾经沧海难为水	ceng jing cang hai nan wei shui	99
曾舜	zeng shun	4
曾舜晞	zeng shun xi	315
曾荫权	zeng yin quan	97
曾获	ceng huo	998
曾随	ceng sui	249
替	ti	14468
替代	ti dai	4207
替她	ti ta	458
替工	ti gong	13
替手	ti shou	5
替换	ti huan	2133
替死鬼	ti si gui	8
替班	ti ban	105
替罪羊	ti zui yang	32
替考	ti kao	4
替补	ti bu	1751
替身	ti shen	954
最	zui	215769
最丑	zui chou	1679
最为	zui wei	2608
最低	zui di	5426
最低工资	zui di gong zi	155
最佳	zui jia	27726
最佳路径	zui jia lu jing	450
最具	zui ju	1537
最初	zui chu	15219
最受	zui shou	2186
最可爱	zui ke ai	4441
最后	zui hou	91332
最后一个	zui hou yi ge	4097
最后一天	zui hou yi tian	1160
最后一张	zui hou yi zhang	310
最后的	zui hou de	5975
最后通牒	zui hou tong die	196
最喜欢	zui xi huan	15988
最喜欢的	zui xi huan de	1650
最多	zui duo	14728
最大	zui da	30488
最大的	zui da de	15010
最好	zui hao	40488
最好了	zui hao le	2175
最好吃	zui hao chi	2650
最好的	zui hao de	16084
最好看	zui hao kan	3692
最小值	zui xiao zhi	141
最小化	zui xiao hua	249
最帅	zui shuai	7598
最强	zui qiang	3564
最快	zui kuai	2900
最怕	zui pa	2577
最惠国	zui hui guo	10
最惠国待遇	zui hui guo dai yu	15
最惨	zui can	953
最想	zui xiang	2384
最新	zui xin	5088
最新消息	zui xin xiao xi	165
最早	zui zao	9754
最棒	zui bang	13022
最棒哒	zui bang da	209
最棒的	zui bang de	7799
最炫	zui xuan	70
最炫国	zui xuan guo	266
最烦	zui fan	1028
最爱	zui ai	17739
最爱的	zui ai de	4775
最短路径	zui duan lu jing	61
最终	zui zhong	38584
最美	zui mei	18331
最美好	zui mei hao	2174
最美的	zui mei de	4734
最胖	zui pang	2082
最讨厌	zui tao yan	3530
最起码	zui qi ma	2060
最近	zui jin	115938
最近在	zui jin zai	4751
最近好	zui jin hao	2416
最近的	zui jin de	6157
最迟	zui chi	430
最酷	zui ku	1059
最重要	zui zhong yao	13470
最重要的	zui zhong yao de	3936
最高	zui gao	28981
最高人民法院	zui gao ren min fa yuan	963
最高点	zui gao dian	5990
月	yue	182437
月下老人	yue xia lao ren	29
月中	yue zhong	1200
月了	yue le	2308
月产	yue chan	30
月产量	yue chan liang	4
月亮	yue liang	7614
月亮湾	yue liang wan	54
月亮门	yue liang men	8
月令	yue ling	35
月任	yue ren	3394
月份	yue fen	14727
月份牌儿	yue fen pai er	1
月例	yue li	3
月俸	yue feng	14
月偏食	yue pian shi	7
月光	yue guang	2411
月光如水	yue guang ru shui	4
月全食	yue quan shi	122
月刊	yue kan	2523
月初	yue chu	7098
月升	yue sheng	3230
月半	yue ban	749
月华	yue hua	264
月历	yue li	90
月台	yue tai	15437
月台票	yue tai piao	9
月均	yue jun	57
月坛	yue tan	70
月夜	yue ye	301
月头儿	yue tou er	7
月娥	yue e	56
月嫂	yue sao	524
月子	yue zi	1681
月季	yue ji	488
月宫	yue gong	78
月尾	yue wei	317
月工	yue gong	6
月底	yue di	11656
月度	yue du	196
月廿	yue nian	588
月息	yue xi	12
月报	yue bao	89
月授	yue shou	204
月明星稀	yue ming xing xi	30
月是故乡明	yue shi gu xiang ming	77
月晕	yue yun	11
月末	yue mo	1293
月桂	yue gui	121
月氏	yue zhi	153
月湖	yue hu	126
月溪	yue xi	302
月牙儿	yue ya er	17
月球	yue qiu	5957
月琴	yue qin	78
月白风清	yue bai feng qing	10
月眉	yue mei	234
月票	yue piao	387
月终	yue zhong	49
月经	yue jing	385
月经周期	yue jing zhou qi	50
月老	yue lao	366
月至	yue zhi	10129
月色	yue se	368
月薪	yue xin	210
月读	yue du	163
月赐	yue ci	31
月轮	yue lun	50
月辞	yue ci	5
月辞任	yue ci ren	307
月钱	yue qian	12
月间	yue jian	1574
月食	yue shi	313
月饼	yue bing	6245
月黑天	yue hei tian	3
月黑风高	yue hei feng gao	155
有	you	1532945
有一个	you yi ge	20423
有一天	you yi tian	2471
有一手	you yi shou	102
有一次	you yi ci	3397
有一点	you yi dian	2864
有一种	you yi zhong	5776
有丝分裂	you si fen lie	77
有两下子	you liang xia zi	13
有两个	you liang ge	4906
有个	you ge	33418
有个人	you ge ren	2617
有为	you wei	75
有了	you le	21389
有事	you shi	8365
有些	you xie	34867
有些人	you xie ren	7041
有人	you ren	58944
有人家儿	you ren jia er	41
有人要	you ren yao	2045
有人说	you ren shuo	5103
有什么	you shen me	38596
有什么好	you shen me hao	619
有什么用	you shen me yong	200
有仇	you chou	397
有价证券	you jia zheng quan	69
有份	you fen	833
有伤风化	you shang feng hua	15
有余	you yu	209
有你们	you ni men	2436
有你的	you ni de	3066
有偿	you chang	292
有偿新闻	you chang xin wen	2
有关	you guan	21032
有关系	you guan xi	3154
有关规定	you guan gui ding	236
有关部门	you guan bu men	611
有兴趣	you xing qu	2915
有几个	you ji ge	4036
有利	you li	1278
有利可图	you li ke tu	83
有利有弊	you li you bi	107
有别	you bie	73
有力	you li	1223
有功	you gong	995
有助于	you zhu yu	1967
有劲	you jin	480
有劳	you lao	98
有变	you bian	482
有口无心	you kou wu xin	2
有口皆碑	you kou jie bei	10
有口难辩	you kou nan bian	6
有可能	you ke neng	13605
有史以来	you shi yi lai	1174
有名	you ming	2786
有名无实	you ming wu shi	45
有味儿	you wei er	120
有啊	you a	11774
有啥	you sha	13218
有喜	you xi	583
有喜欢	you xi huan	2178
有增无减	you zeng wu jian	46
有声	you sheng	587
有声有色	you sheng you se	13
有声读物	you sheng du wu	26
有备无患	you bei wu huan	100
有多	you duo	25744
有多少	you duo shao	6212
有头屑	you tou xie	2158
有头有尾	you tou you wei	15
有头有脸	you tou you lian	44
有头脑	you tou nao	102
有奖	you jiang	647
有奖销售	you jiang xiao shou	1
有女朋友	you nv peng you	3785
有奶便是娘	you nai bian shi niang	10
有好多	you hao duo	4595
有如	you ru	647
有始无终	you shi wu zhong	40
有始有终	you shi you zhong	105
有害	you hai	1118
有对象	you dui xiang	3563
有希望	you xi wang	2389
有年	you nian	64
有幸	you xing	687
有序	you xu	496
有底	you di	26
有形	you xing	423
有待	you dai	1296
有很多	you hen duo	1611
有得	you de	2513
有心	you xin	2573
有心人	you xin ren	352
有心无力	you xin wu li	224
有必要	you bi yao	2932
有志者事竟成	you zhi zhe shi jing cheng	65
有性生殖	you xing sheng zhi	67
有恃无恐	you shi wu kong	219
有恒	you heng	51
有悖于	you bei yu	29
有情	you qing	817
有情人	you qing ren	709
有惊喜	you jing xi	3863
有意	you yi	2297
有意义	you yi yi	2921
有意思	you yi si	9368
有意无意	you yi wu yi	89
有意识	you yi shi	205
有感	you gan	1888
有感觉	you gan jue	3480
有愧	you kui	153
有戏	you xi	645
有成	you cheng	76
有所	you suo	8935
有所作为	you suo zuo wei	54
有损于	you sun yu	18
有据	you ju	430
有故事	you gu shi	4037
有效	you xiao	10251
有效期	you xiao qi	438
有救	you jiu	302
有教无类	you jiao wu lei	18
有数	you shu	1402
有文化	you wen hua	2228
有方	you fang	61
有无	you wu	2056
有日子	you ri zi	14
有时	you shi	12711
有时候	you shi hou	20120
有时间	you shi jian	18176
有朋友	you peng you	2063
有朋自远方来	you peng zi yuan fang lai	80
有望	you wang	728
有朝一日	you zhao yi ri	282
有期徒刑	you qi tu xing	1774
有木有	you mu you	8380
有本事	you ben shi	4077
有机	you ji	2770
有机会	you ji hui	22301
有机会的	you ji hui de	1451
有机体	you ji ti	63
有机化学	you ji hua xue	316
有机可乘	you ji ke cheng	59
有机物	you ji wu	229
有机玻璃	you ji bo li	28
有机肥	you ji fei	16
有机食品	you ji shi pin	19
有条不紊	you tiao bu wen	51
有板有眼	you ban you yan	10
有染	you ran	130
有棱有角	you leng you jiao	34
有毒	you du	6421
有气	you qi	72
有气无力	you qi wu li	44
有气质	you qi zhi	2460
有氧	you yang	856
有求必应	you qiu bi ying	136
有没有	you mei you	52097
有没有人	you mei you ren	1024
有点	you dian	112022
有点像	you dian xiang	4086
有点儿	you dian er	3351
有点冷	you dian leng	2032
有点多	you dian duo	2283
有点小	you dian xiao	3198
有点慌	you dian huang	354
有点懵	you dian meng	261
有理	you li	2462
有生	you sheng	37
有生之年	you sheng zhi nian	947
有生以来	you sheng yi lai	60
有生力量	you sheng li liang	35
有用	you yong	7512
有男朋友	you nan peng you	4543
有病	you bing	6481
有的	you de	100
有的人	you de ren	820
有的放矢	you di fang shi	68
有的是	you de shi	1865
有益	you yi	925
有目共睹	you mu gong du	235
有盼	you pan	26
有眉目	you mei mu	38
有眼不识泰山	you yan bu shi tai shan	35
有眼光	you yan guang	3114
有眼无珠	you yan wu zhu	61
有着	you zhe	3771
有碍	you ai	66
有礼	you li	343
有神	you shen	476
有福同享	you fu tong xiang	101
有种	you zhong	7539
有空	you kong	25871
有空儿	you kong er	3
有章可循	you zhang ke xun	65
有纪	you ji	146
