# 青简领域词库：法律，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
擅自采矿	shan zi cai kuang	1
操纵市场	cao zong shi chang	3
操纵证券市场	cao zong zheng quan shi chang	8
支农惠农政策	zhi nong hui nong zheng ce	14
收入来源地税收管辖权	shou ru lai yuan di shui shou guan xia quan	7
收养登记工作规范	shou yang deng ji gong zuo gui fan	3
收回土地使用权	shou hui tu di shi yong quan	3
收回权	shou hui quan	10
收市价	shou shi jia	7
收当	shou dang	14
收支平衡定价法	shou zhi ping heng ding jia fa	2
收案	shou an	4
收款凭证	shou kuan ping zheng	3
收款银行协议	shou kuan yin hang xie yi	3
收汇风险	shou hui feng xian	10
收监执行	shou jian zhi xing	4
收继婚	shou ji hun	4
收购兼并	shou gou jian bing	1
收购单位	shou gou dan wei	11
收购土地	shou gou tu di	14
收费公路权益转让办法	shou fei gong lu quan yi zhuan rang ban fa	10
收费公路管理条例	shou fei gong lu guan li tiao li	2
收集刑事证据实务	shou ji xing shi zheng ju shi wu	4
改低档	gai di dang	7
改制分流一百问	gai zhi fen liu yi bai wen	4
改好率	gai hao lv	8
改法为律	gai fa wei lv	7
改编播放	gai bian bo fang	3
改订商律草案	gai ding shang lv cao an	6
改进劳动组织	gai jin lao dong zu zhi	1
改革企业体制	gai ge qi ye ti zhi	5
放射性废物管理规定	fang she xing fei wu guan li gui ding	2
放射性污染防治法	fang she xing wu ran fang zhi fa	9
放射诊疗管理规定	fang she zhen liao guan li gui ding	8
放弃承包权	fang qi cheng bao quan	6
放弃重复侵害行为	fang qi chong fu qin hai xing wei	5
放火罪	fang huo zui	16
政务院财经委员会	zheng wu yuan cai jing wei yuan hui	4
政协科教文卫体委员会	zheng xie ke jiao wen wei ti wei yuan hui	9
政府价格决策听证办法	zheng fu jia ge jue ce ting zheng ban fa	10
政府信息公开条例	zheng fu xin xi gong kai tiao li	2
政府制定价格听证办法	zheng fu zhi ding jia ge ting zheng ban fa	8
政府制定价格行为规则	zheng fu zhi ding jia ge xing wei gui ze	8
政府市场营销	zheng fu shi chang ying xiao	3
政治协商会议章程	zheng zhi xie shang hui yi zhang cheng	11
政治参与权	zheng zhi can yu quan	4
政治成本	zheng zhi cheng ben	4
政治排斥	zheng zhi pai chi	6
政治法律制度	zheng zhi fa lv zhi du	10
政治犯不引渡原则	zheng zhi fan bu yin du yuan ze	5
政策与模式	zheng ce yu mo shi	5
政策性关闭破产	zheng ce xing guan bi po chan	12
政策性税收筹划	zheng ce xing shui shou chou hua	6
故意损毁名胜古迹罪	gu yi sun hui ming sheng gu ji zui	6
故意泄露国家机密罪	gu yi xie lou guo jia ji mi zui	4
效力待定法律行为	xiao li dai ding fa lv xing wei	2
效力未定合同	xiao li wei ding he tong	7
效力未定民事行为	xiao li wei ding min shi xing wei	5
效力终止	xiao li zhong zhi	1
效律	xiao lv	9
效果意思	xiao guo yi si	9
效率违约	xiao lv wei yue	6
救灾捐赠管理办法	jiu zai juan zeng guan li ban fa	9
教会法大全	jiao hui fa da quan	5
教你不花冤枉钱	jiao ni bu hua yuan wang qian	3
教务专约	jiao wu zhuan yue	5
教师法治教育读本	jiao shi fa zhi jiao yu du ben	5
教师职称评定制度	jiao shi zhi cheng ping ding zhi du	6
教育收费公示制度	jiao yu shou fei gong shi zhi du	11
教育用房	jiao yu yong fang	7
教育附加费	jiao yu fu jia fei	12
数字千年版权法	shu zi qian nian ban quan fa	14
数钱费	shu qian fei	4
敲诈勒索罪	qiao zha le suo zui	21
敲诈罪	qiao zha zui	3
文义证券	wen yi zheng quan	7
文书定制	wen shu ding zhi	4
文件处置办法	wen jian chu zhi ban fa	1
文件清单	wen jian qing dan	2
文件证物	wen jian zheng wu	2
文件透露	wen jian tou lu	2
文剑南	wen jian nan	10
文化主权	wen hua zhu quan	11
文化事业费	wen hua shi ye fei	8
文化产业促进法	wen hua chan ye cu jin fa	8
文化全球化	wen hua quan qiu hua	11
文化创新思考	wen hua chuang xin si kao	2
文化暴力	wen hua bao li	3
文化遗产报告	wen hua yi chan bao gao	4
文化遗产法	wen hua yi chan fa	4
文化部创新奖奖励办法	wen hua bu chuang xin jiang jiang li ban fa	5
文官统治制度	wen guan tong zhi zhi du	3
文康律师事务所	wen kang lv shi shi wu suo	6
文本与实践之间	wen ben yu shi jian zhi jian	3
文秘写作学	wen mi xie zuo xue	2
文秘写作指南	wen mi xie zuo zhi nan	2
文稿竞价	wen gao jing jia	8
文职干部制度	wen zhi gan bu zhi du	1
文艺复兴时期法律	wen yi fu xing shi qi fa lv	2
斩绞监候	zhan jiao jian hou	4
斯宾诺莎	si bin nuo sha	45
斯瓦尔巴德条约	si wa er ba de tiao yue	6
新丰县公安局	xin feng xian gong an ju	8
新估价法规	xin gu jia fa gui	5
新保险法	xin bao xian fa	7
新公司法与公司登记	xin gong si fa yu gong si deng ji	2
新公司法的制度创新	xin gong si fa de zhi du chuang xin	2
新兽药研制管理办法	xin shou yao yan zhi guan li ban fa	5
新出口商复审	xin chu kou shang fu shen	9
新分析法学	xin fen xi fa xue	1
新分析法学派	xin fen xi fa xue pai	4
新刑法研究与适用	xin xing fa yan jiu yu shi yong	4
新加坡刑法	xin jia po xing fa	6
新加坡工作准证	xin jia po gong zuo zhun zheng	5
新加坡律政部	xin jia po lv zheng bu	1
新加坡最高法院	xin jia po zui gao fa yuan	6
新华区人民检察院	xin hua qu ren min jian cha yuan	5
新华通讯社	xin hua tong xun she	40
新古典契约	xin gu dian qi yue	4
新台州律师事务所	xin tai zhou lv shi shi wu suo	11
新合伙人入伙	xin he huo ren ru huo	9
新合伙企业法	xin he huo qi ye fa	8
新员工指导人制度	xin yuan gong zhi dao ren zhi du	6
新媒体百科全书	xin mei ti bai ke quan shu	4
新安县检察院	xin an xian jian cha yuan	5
新安县法院	xin an xian fa yuan	5
新屋开工及营建许可	xin wu kai gong ji ying jian xu ke	6
新巴赛尔协议	xin ba sai er xie yi	4
新康德主义法学	xin kang de zhu yi fa xue	5
新康德主义法学派	xin kang de zhu yi fa xue pai	3
新开工项目	xin kai gong xiang mu	2
新拆迁条例	xin chai qian tiao li	6
新时期汉语语法学史	xin shi qi han yu yu fa xue shi	2
新昌县司法局	xin chang xian si fa ju	6
新杰逊条款	xin jie xun tiao kuan	2
新汉英法学词典	xin han ying fa xue ci dian	5
新法规月刊	xin fa gui yue kan	2
新疆产权交易所	xin jiang chan quan jiao yi suo	2
新疆师范大学法经学院	xin jiang shi fan da xue fa jing xue yuan	6
新经济体制	xin jing ji ti zhi	3
新经济增长点	xin jing ji zeng zhang dian	12
新编中国刑法学	xin bian zhong guo xing fa xue	6
新编中国刑法学通论	xin bian zhong guo xing fa xue tong lun	3
新编中国法律文书范本	xin bian zhong guo fa lv wen shu fan ben	3
新编企业经营法小全书	xin bian qi ye jing ying fa xiao quan shu	3
新编公司法案例大点拨	xin bian gong si fa an li da dian bo	2
新编公民实用法律大全	xin bian gong min shi yong fa lv da quan	3
新编养老保险政策问答	xin bian yang lao bao xian zheng ce wen da	4
新编军队法律服务手册	xin bian jun dui fa lv fu wu shou ce	6
新编刑事法律适用手册	xin bian xing shi fa lv shi yong shou ce	2
新编劳动争议仲裁案例	xin bian lao dong zheng yi zhong cai an li	3
新编司法文书教程	xin bian si fa wen shu jiao cheng	3
新编司法文书范本	xin bian si fa wen shu fan ben	4
新编合同法	xin bian he tong fa	3
新编国际经济法	xin bian guo ji jing ji fa	4
新编房地产法学	xin bian fang di chan fa xue	2
新编新闻编辑学	xin bian xin wen bian ji xue	3
新编法律文书写作	xin bian fa lv wen shu xie zuo	4
新编法律文书完全范本	xin bian fa lv wen shu wan quan fan ben	3
新编物权法小全书	xin bian wu quan fa xiao quan shu	2
新编纪检监察业务教材	xin bian ji jian jian cha ye wu jiao cai	3
新编经济法	xin bian jing ji fa	7
新编经济法概论	xin bian jing ji fa gai lun	3
新莽钱	xin mang qian	1
新西兰探亲签证	xin xi lan tan qin qian zheng	5
新证券法条文解析	xin zheng quan fa tiao wen jie xi	3
新译日本法规大全	xin yi ri ben fa gui da quan	6
新资源食品管理办法	xin zi yuan shi pin guan li ban fa	8
新郑市财政局	xin zheng shi cai zheng ju	4
新门监狱	xin men jian yu	3
新闻出版保密规定	xin wen chu ban bao mi gui ding	5
新闻出版统计管理办法	xin wen chu ban tong ji guan li ban fa	6
新闻出版署	xin wen chu ban shu	45
新闻出版自由法	xin wen chu ban zi you fa	4
新闻发布制度	xin wen fa bu zhi du	12
新闻报道失实	xin wen bao dao shi shi	1
新闻监督	xin wen jian du	12
新闻舆论监督权	xin wen yu lun jian du quan	6
新闻记者法	xin wen ji zhe fa	4
新闻记者登记法	xin wen ji zhe deng ji fa	3
新闻记者证管理办法	xin wen ji zhe zheng guan li ban fa	8
新闻道德与法规	xin wen dao de yu fa gui	6
新颖性	xin ying xing	16
新黑格尔主义法学	xin hei ge er zhu yi fa xue	1
方刚成	fang gang cheng	5
方圆法治	fang yuan fa zhi	10
施塔姆勒	shi ta mu le	1
施米特与政治法学	shi mi te yu zheng zhi fa xue	5
旅客意外伤害保险合同	lv ke yi wai shang hai bao xian he tong	3
旅客运输合同	lv ke yun shu he tong	2
旅游发展规划管理办法	lv you fa zhan gui hua guan li ban fa	4
旅游可持续发展	lv you ke chi xu fa zhan	10
旅游合同	lv you he tong	15
旅游安全管理暂行办法	lv you an quan guan li zan xing ban fa	6
旅游法	lv you fa	13
旅游法学	lv you fa xue	8
旅游法研究	lv you fa yan jiu	6
旅游法论丛	lv you fa lun cong	3
旅游经济政策	lv you jing ji zheng ce	3
旅游资源保护暂行办法	lv you zi yuan bao hu zan xing ban fa	6
旅行社公告制度	lv xing she gong gao zhi du	4
旅行社责任保险合同	lv xing she ze ren bao xian he tong	4
无人继承遗产	wu ren ji cheng yi chan	6
无单放货法律问题研究	wu dan fang huo fa lv wen ti yan jiu	2
无对价抗辩	wu dui jia kang bian	3
无形财产	wu xing cai chan	1
无形财产权制度研究	wu xing cai chan quan zhi du yan jiu	5
无性婚姻	wu xing hun yin	1
无抵押债券	wu di ya zhai quan	1
无担保债权	wu dan bao zhai quan	9
无担保债权人	wu dan bao zhai quan ren	7
无效保险合同	wu xiao bao xian he tong	5
无效判决	wu xiao pan jue	8
无效协议	wu xiao xie yi	10
无效房屋买卖合同	wu xiao fang wu mai mai he tong	3
无效民事行为	wu xiao min shi xing wei	11
无效约定	wu xiao yue ding	8
无效经济合同	wu xiao jing ji he tong	1
无效行为	wu xiao xing wei	2
无权代理行为	wu quan dai li xing wei	10
无权占有	wu quan zhan you	11
无正本提单放货	wu zheng ben ti dan fang huo	7
无民事行为能力	wu min shi xing wei neng li	14
无民事行为能力人	wu min shi xing wei neng li ren	13
无法廻避	wu fa hui bi	3
无现金行权	wu xian jin xing quan	6
无知之幕	wu zhi zhi mu	2
无纸交易	wu zhi jiao yi	7
无行为能力	wu xing wei neng li	9
无行为能力人	wu xing wei neng li ren	1
无记名公司债	wu ji ming gong si zhai	9
无记名有价证券	wu ji ming you jia zheng quan	8
无责任底薪	wu ze ren di xin	12
无责底薪	wu ze di xin	8
无过失责任保险	wu guo shi ze ren bao xian	4
无遗嘱者遗产条例	wu yi zhu zhe yi chan tiao li	4
既判案件	ji pan an jian	4
日元息差交易	ri yuan xi cha jiao yi	6
日内瓦公约	ri nei wa gong yue	33
日净值增长率	ri jing zhi zeng zhang lv	9
日出条款	ri chu tiao kuan	4
日尔曼法	ri er man fa	1
日常家事代理权	ri chang jia shi dai li quan	7
日志中国	ri zhi zhong guo	4
日本专利制度	ri ben zhuan li zhi du	4
日本专利法	ri ben zhuan li fa	6
日本众议院选举制度	ri ben zhong yi yuan xuan ju zhi du	3
日本公司法规范	ri ben gong si fa gui fan	3
日本国家总动员法	ri ben guo jia zong dong yuan fa	2
日本国检察制度	ri ben guo jian cha zhi du	2
日本庄园制度	ri ben zhuang yuan zhi du	3
日本新防卫大纲	ri ben xin fang wei da gang	6
日本民事诉讼法论纲	ri ben min shi su song fa lun gang	5
日本永驻权	ri ben yong zhu quan	2
日本现代审判制度	ri ben xian dai shen pan zhi du	4
日本禁止垄断法	ri ben jin zhi long duan fa	5
日本行政诉讼法	ri ben xing zheng su song fa	5
日本近代刑法	ri ben jin dai xing fa	4
日本违宪审查制度	ri ben wei xian shen cha zhi du	4
日落复审	ri luo fu shen	11
时代九和律师事务所	shi dai jiu he lv shi shi wu suo	7
时效中断	shi xiao zhong duan	12
时效中止	shi xiao zhong zhi	11
时效公约	shi xiao gong yue	5
时效制度	shi xiao zhi du	2
时效延长	shi xiao yan chang	9
昆仑法学论丛	kun lun fa xue lun cong	5
昆明城市绿地管理办法	kun ming cheng shi lv di guan li ban fa	3
明清土地契约文书研究	ming qing tu di qi yue wen shu yan jiu	4
明清法制初探	ming qing fa zhi chu tan	2
昏墨贼杀	hun mo zei sha	3
易制毒化学品管理条例	yi zhi du hua xue pin guan li tiao li	9
星空点灯	xing kong dian deng	3
星级饭店访查规范	xing ji fan dian fang cha gui fan	8
星野英一	xing ye ying yi	8
显性存款保险制度	xian xing cun kuan bao xian zhi du	7
普及法律常识办公室	pu ji fa lv chang shi ban gong shi	7
普及特惠税制度	pu ji te hui shui zhi du	1
普及破产主义	pu ji po chan zhu yi	4
普惠制待遇	pu hui zhi dai yu	10
普法运动	pu fa yun dong	7
普洱茶经	pu er cha jing	10
普衡律师事务所	pu heng lv shi shi wu suo	1
普通优惠制	pu tong you hui zhi	2
普通刑事案件	pu tong xing shi an jian	6
普遍优惠制	pu bian you hui zhi	1
普遍优惠制原则	pu bian you hui zhi yuan ze	5
普遍优惠制税	pu bian you hui zhi shui	3
普遍回升	pu bian hui sheng	10
普遍国际法	pu bian guo ji fa	4
普遍性管辖权	pu bian xing guan xia quan	3
普遍管辖权	pu bian guan xia quan	4
普那卡条约	pu na ka tiao yue	7
普鲁士普通邦法	pu lu shi pu tong bang fa	6
暂予监外执行罪	zan yu jian wai zhi xing zui	9
暂住制度	zan zhu zhi du	7
暴力危及飞行安全罪	bao li wei ji fei xing an quan zui	7
曾代伟	zeng dai wei	3
替代市场法	ti dai shi chang fa	5
替代性市场法	ti dai xing shi chang fa	4
最初谈判权	zui chu tan pan quan	5
最新刑事办案一本全	zui xin xing shi ban an yi ben quan	4
最新刑事法律适用手册	zui xin xing shi fa lv shi yong shou ce	2
最新医疗诉讼案例精点	zui xin yi liao su song an li jing dian	4
最新商务文书写作全编	zui xin shang wu wen shu xie zuo quan bian	6
最新国际货币金融法	zui xin guo ji huo bi jin rong fa	3
最新婚姻法实用问答	zui xin hun yin fa shi yong wen da	3
最新工伤处理操作实务	zui xin gong shang chu li cao zuo shi wu	10
最新常用经济法律法规	zui xin chang yong jing ji fa lv fa gui	4
最新民事法律文件解读	zui xin min shi fa lv wen jian jie du	4
最新金融法律适用大全	zui xin jin rong fa lv shi yong da quan	3
最终产品法	zui zhong chan pin fa	5
最终控股公司	zui zhong kong gu gong si	1
最终解释权	zui zhong jie shi quan	4
最长诉讼时效	zui chang su song shi xiao	8
最高人民法院公报	zui gao ren min fa yuan gong bao	4
最高人民法院研究室	zui gao ren min fa yuan yan jiu shi	9
月旦民商法研究	yue dan min shang fa yan jiu	3
有产与无产	you chan yu wu chan	5
有价支付凭证	you jia zhi fu ping zheng	7
有价证券诈骗罪	you jia zheng quan zha pian zui	7
有偿占有	you chang zhan you	6
有偿双务合同	you chang shuang wu he tong	3
有偿收回土地使用权	you chang shou hui tu di shi yong quan	5
有偿民事法律行为	you chang min shi fa lv xing wei	4
有偿法律行为	you chang fa lv xing wei	6
有偿行为	you chang xing wei	8
有关刑事判决书	you guan xing shi pan jue shu	4
有夫权婚姻	you fu quan hun yin	7
有奖征集活动	you jiang zheng ji huo dong	13
有害化学品安全手册	you hai hua xue pin an quan shou ce	3
有害食品罪	you hai shi pin zui	9
有尘作业	you chen zuo ye	4
有序用电管理办法	you xu yong dian guan li ban fa	5
有形资产净值	you xing zi chan jing zhi	8
有抵押权证	you di ya quan zheng	4
有担保债权人	you dan bao zhai quan ren	6
有效关税保护率	you xiao guan shui bao hu lv	5
有效文件	you xiao wen jian	3
有机产品认证实施规则	you ji chan pin ren zheng shi shi gui ze	4
有条件录取	you tiao jian lu qu	11
有毒物质控制法	you du wu zhi kong zhi fa	7
有法律代表	you fa lv dai biao	3
有法必依	you fa bi yi	13
有线电视管理暂行办法	you xian dian shi guan li zan xing ban fa	6
有限责任公司规范意见	you xian ze ren gong si gui fan yi jian	7
有限责任合伙	you xian ze ren he huo	8
服务协议谈判	fu wu xie yi tan pan	4
服务对等	fu wu dui deng	7
服务瑕疵	fu wu xia ci	9
服务贸易总协定	fu wu mao yi zong xie ding	2
期前追索权	qi qian zhui suo quan	6
期后背书	qi hou bei shu	7
期后追索权	qi hou zhui suo quan	6
期指合约	qi zhi he yue	10
期末存货	qi mo cun huo	12
期货从业人员管理办法	qi huo cong ye ren yuan guan li ban fa	8
期货法律与监管制度	qi huo fa lv yu jian guan zhi du	5
木桩刑	mu zhuang xing	10
木石	mu shi	29
木腿正义	mu tui zheng yi	7
未决犯	wei jue fan	10
未利用地	wei li yong di	1
未必故意	wei bi gu yi	7
未成年人保护法	wei cheng nian ren bao hu fa	13
未成年人保护法律常识	wei cheng nian ren bao hu fa lv chang shi	3
未成年人保护法律手册	wei cheng nian ren bao hu fa lv shou ce	3
未成年人刑事司法制度	wei cheng nian ren xing shi si fa zhi du	4
未成年人权益保障	wei cheng nian ren quan yi bao zhang	7
未成年人监护制度	wei cheng nian ren jian hu zhi du	1
未成年人网络保护条例	wei cheng nian ren wang luo bao hu tiao li	3
未成年子女	wei cheng nian zi nv	34
未成年罪犯	wei cheng nian zui fan	2
未有效	wei you xiao	3
未注册商标权	wei zhu ce shang biao quan	5
未确认融资费用摊销	wei que ren rong zi fei yong tan xiao	3
未经许可使用	wei jing xu ke shi yong	5
未遂事故	wei sui shi gu	9
末永敏和	mo yong min he	5
本地法院	ben di fa yuan	8
本外币对冲操作	ben wai bi dui chong cao zuo	4
本溪市档案管理规定	ben xi shi dang an guan li gui ding	2
本溪市森林防火办法	ben xi shi sen lin fang huo ban fa	2
本溪市物业管理条例	ben xi shi wu ye guan li tiao li	2
本顿维尔监狱	ben dun wei er jian yu	6
朱三太子案	zhu san tai zi an	7
朴茨茅斯条约	po ci mao si tiao yue	4
机关单位	ji guan dan wei	22
机关岗位责任制	ji guan gang wei ze ren zhi	6
机关档案工作条例	ji guan dang an gong zuo tiao li	6
机关法人	ji guan fa ren	4
机动车登记办法	ji dong che deng ji ban fa	8
机动车登记规定	ji dong che deng ji gui ding	1
机动车第三者责任保险	ji dong che di san zhe ze ren bao xian	11
机动车第三者责任险	ji dong che di san zhe ze ren xian	10
机动车维修管理规定	ji dong che wei xiu guan li gui ding	10
机动车辆综合保险条款	ji dong che liang zong he bao xian tiao kuan	4
机动车驾驶员考试办法	ji dong che jia shi yuan kao shi ban fa	8
机械产品目录实施细则	ji xie chan pin mu lu shi shi xi ze	2
机械复制权	ji xie fu zhi quan	5
机械工业委员会	ji xie gong ye wei yuan hui	6
机械工业局	ji xie gong ye ju	8
机电产品出口招标办法	ji dian chan pin chu kou zhao biao ban fa	4
机要文件	ji yao wen jian	8
杀婴	sha ying	20
权利人	quan li ren	20
权利冲突	quan li chong tu	1
权利和利益	quan li he li yi	2
权利失效原则	quan li shi xiao yuan ze	4
权利平等与地方差异	quan li ping deng yu di fang cha yi	2
权利文件	quan li wen jian	1
权利本位	quan li ben wei	12
权利滥用禁止原则	quan li lan yong jin zhi yuan ze	4
权利瑕疵	quan li xia ci	11
权利瑕疵担保	quan li xia ci dan bao	9
权利用尽	quan li yong jin	8
权利耗尽原则	quan li hao jin yuan ze	6
权利范围	quan li fan wei	1
权利要求	quan li yao qiu	17
权利要求书	quan li yao qiu shu	13
权利质押合同	quan li zhi ya he tong	10
权利质权	quan li zhi quan	1
权利贫困论	quan li pin kun lun	2
权力制约原则	quan li zhi yue yuan ze	7
权力监督与制衡	quan li jian du yu zhi heng	4
权力结构	quan li jie gou	24
权属纠纷裁决	quan shu jiu fen cai jue	3
权权交易	quan quan jiao yi	1
权益回报率	quan yi hui bao lv	9
权益披露	quan yi pi lu	1
权益转让书	quan yi zhuan rang shu	10
权责统一	quan ze tong yi	11
李浩培法学文集	li hao pei fa xue wen ji	3
村上龙电影小说	cun shang long dian ying xiao shuo	2
村民委员会	cun min wei yuan hui	35
村民委员会法律知识	cun min wei yuan hui fa lv zhi shi	3
村民委员会组织法	cun min wei yuan hui zu zhi fa	3
村民实用法律手册	cun min shi yong fa lv shou ce	3
村民自治法	cun min zi zhi fa	9
杜克大学法学院	du ke da xue fa xue yuan	2
杜钢建	du gang jian	10
杜集区人民法院	du ji qu ren min fa yuan	4
杠杆收购	gang gan shou gou	9
条件未完全的合约	tiao jian wei wan quan de he yue	2
杨兆全	yang zhao quan	10
杭州市钱塘公证处	hang zhou shi qian tang gong zheng chu	4
杭州新紫罗兰大酒店	hang zhou xin zi luo lan da jiu dian	6
构建和谐劳动关系	gou jian he xie lao dong guan xi	11
构成要件符合性	gou cheng yao jian fu he xing	7
林业执法理论与实务	lin ye zhi fa li lun yu shi wu	2
林业标准化管理办法	lin ye biao zhun hua guan li ban fa	3
林地使用权	lin di shi yong quan	12
林律师办案手记	lin lv shi ban an shou ji	3
林木承包合同	lin mu cheng bao he tong	3
林木种子质量管理办法	lin mu zhong zi zhi liang guan li ban fa	3
林木种质资源管理办法	lin mu zhong zhi zi yuan guan li ban fa	3
林木采伐权	lin mu cai fa quan	6
林权纠纷法律指导	lin quan jiu fen fa lv zhi dao	3
林语堂在大陆	lin yu tang zai da lu	3
枪弹痕迹司法鉴定	qiang dan hen ji si fa jian ding	3
枪支管理法	qiang zhi guan li fa	1
枪通条	qiang tong tiao	8
某甲	mou jia	41
查封裁定	cha feng cai ding	8
查缉走私	cha ji zou si	16
查阅法条	cha yue fa tiao	8
柬埔寨宪法	jian pu zhai xian fa	7
柯英	ke ying	5
栅栏理论	zha lan li lun	3
标书翻译	biao shu fan yi	11
标准化良好行为企业	biao zhun hua liang hao xing wei qi ye	10
标的额	biao di e	2
标签和说明书管理规定	biao qian he shuo ming shu guan li gui ding	8
栖霞市国土资源局	qi xia shi guo tu zi yuan ju	5
校园侵权	xiao yuan qin quan	4
株连式拆迁	zhu lian shi chai qian	7
核安全相关法律法规	he an quan xiang guan fa lv fa gui	6
核工业总公司	he gong ye zong gong si	2
核热电厂辐射防护规定	he re dian chang fu she fang hu gui ding	3
核电站保险	he dian zhan bao xian	6
根本扭转	gen ben niu zhuan	1
根本违约	gen ben wei yue	11
格尔木市城市管理局	ge er mu shi cheng shi guan li ju	3
桃江县国土资源局	tao jiang xian guo tu zi yuan ju	4
案件接洽	an jian jie qia	4
案情复杂	an qing fu za	4
案情重大	an qing zhong da	8
桑植县人民法院	sang zhi xian ren min fa yuan	7
桓台县烟草专卖局	huan tai xian yan cao zhuan mai ju	4
桶抓	tong zhua	7
梁家杰	liang jia jie	49
梅县国税局	mei xian guo shui ju	3
梅县审计局	mei xian shen ji ju	3
梅夏英	mei xia ying	8
梅州市司法局	mei zhou shi si fa ju	3
梅慎实	mei shen shi	7
梅根法案	mei gen fa an	2
梅汝璈法学文集	mei ru ao fa xue wen ji	2
检察基础理论与应用	jian cha ji chu li lun yu ying yong	2
检察委员会检察员	jian cha wei yuan hui jian cha yuan	2
检察官任职回避	jian cha guan ren zhi hui bi	3
检察官手记	jian cha guan shou ji	7
检察官职业道德规范	jian cha guan zhi ye dao de gui fan	6
检察改革措施研究	jian cha gai ge cuo shi yan jiu	4
检察理念与执法规范	jian cha li nian yu zhi fa gui fan	4
检察院法医	jian cha yuan fa yi	8
检察院派出机构	jian cha yuan pai chu ji gou	4
棠景派出所	tang jing pai chu suo	6
森林法实施条例	sen lin fa shi shi tiao li	9
森林法院	sen lin fa yuan	5
森林病虫害防治条例	sen lin bing chong hai fang zhi tiao li	8
森林采伐更新管理办法	sen lin cai fa geng xin guan li ban fa	6
森林防火条例	sen lin fang huo tiao li	1
植物卷	zhi wu juan	2
植物新品种保护	zhi wu xin pin zhong bao hu	4
植物检疫	zhi wu jian yi	19
植物检疫条例	zhi wu jian yi tiao li	10
楔形文字法	xie xing wen zi fa	7
概括移转	gai kuo yi zhuan	6
概然性教唆	gai ran xing jiao suo	4
模拟仲裁庭	mo ni zhong cai ting	6
模拟民事审判庭	mo ni min shi shen pan ting	5
模拟法庭训练	mo ni fa ting xun lian	5
模范刑事诉讼法典	mo fan xing shi su song fa dian	5
横县国土资源局	heng xian guo tu zi yuan ju	4
樱木建二	ying mu jian er	8
欠妥之处	qian tuo zhi chu	2
欠息	qian xi	4
欠款证明书	qian kuan zheng ming shu	3
欠税公告办法	qian shui gong gao ban fa	8
欠缴	qian jiao	8
欠缺所有权	qian que suo you quan	2
欠缺真诚	qian que zhen cheng	1
次代理	ci dai li	3
次给付义务	ci ji fu yi wu	6
次要责任	ci yao ze ren	3
欧共体竞争法	ou gong ti jing zheng fa	8
欧共体竞争法通论	ou gong ti jing zheng fa tong lun	4
欧共体竞争立法	ou gong ti jing zheng li fa	4
欧式期权	ou shi qi quan	9
欧洲专利制度	ou zhou zhuan li zhi du	5
欧洲专利局	ou zhou zhuan li ju	2
欧洲人权法	ou zhou ren quan fa	44
欧洲审计院	ou zhou shen ji yuan	1
欧洲市场一体化	ou zhou shi chang yi ti hua	4
欧洲战史	ou zhou zhan shi	5
欧洲有机法案	ou zhou you ji fa an	4
欧洲比较侵权行为法	ou zhou bi jiao qin quan xing wei fa	8
欧洲民航会议	ou zhou min hang hui yi	5
欧洲法院	ou zhou fa yuan	27
欧洲联盟国际私法	ou zhou lian meng guo ji si fa	3
欧盟企业合并控制制度	ou meng qi ye he bing kong zhi zhi du	3
欧盟普惠制	ou meng pu hui zhi	8
欧盟环境政策法律研究	ou meng huan jing zheng ce fa lv yan jiu	4
欧盟知识产权法	ou meng zhi shi chan quan fa	5
欧美史研究	ou mei shi yan jiu	2
欧陆法系	ou lu fa xi	13
欧麦里	ou mai li	1
欺诈例外	qi zha li wai	9
欺诈客户行为	qi zha ke hu xing wei	9
欺诈消费者行为	qi zha xiao fei zhe xing wei	10
止赎	zhi shu	6
止赎权	zhi shu quan	1
正式谈判	zheng shi tan pan	12
武凯	wu kai	9
武器事典	wu qi shi dian	5
武城县人大常委会	wu cheng xian ren da chang wei hui	5
武汉大学国际法研究所	wu han da xue guo ji fa yan jiu suo	7
武汉大学法学院	wu han da xue fa xue yuan	31
武汉市专利管理条例	wu han shi zhuan li guan li tiao li	4
武汉市城市排水条例	wu han shi cheng shi pai shui tiao li	4
武汉市城市规划条例	wu han shi cheng shi gui hua tiao li	5
武汉市工会条例	wu han shi gong hui tiao li	5
武汉市房产管理条例	wu han shi fang chan guan li tiao li	3
武汉市旅游条例	wu han shi lv you tiao li	5
武汉市殡葬管理办法	wu han shi bin zang guan li ban fa	3
武汉市湖泊保护条例	wu han shi hu bo bao hu tiao li	6
武汉市防洪管理规定	wu han shi fang hong guan li gui ding	2
武汉法律咨询	wu han fa lv zi xun	4
武警法	wu jing fa	4
歪曲篡改他人作品	wai qu cuan gai ta ren zuo pin	2
死亡宣告撤销	si wang xuan gao che xiao	6
死亡营	si wang ying	12
死刑不引渡	si xing bu yin du	8
死刑制度比较研究	si xing zhi du bi jiao yan jiu	6
死刑复奏制	si xing fu zou zhi	7
死刑复核	si xing fu he	21
死刑复核制度	si xing fu he zhi du	2
死刑复核权	si xing fu he quan	21
死刑复核裁定	si xing fu he cai ding	3
死刑改革探索	si xing gai ge tan suo	5
死刑改革研究报告	si xing gai ge yan jiu bao gao	4
