# 青简领域词库：财经，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
绩差公司	ji cha gong si	4
绩差股	ji cha gu	6
维科精华	wei ke jing hua	1
维达国际	wei da guo ji	6
综合税	zong he shui	6
绿景	lv jing	13
绿景地产	lv jing di chan	2
缩量	suo liang	10
缴足	jiao zu	2
网下	wang xia	13
网付	wang fu	3
网商	wang shang	9
网银	wang yin	21
罗克韦尔	luo ke wei er	39
罗平锌电	luo ping xin dian	3
罗普斯金	luo pu si jin	5
罗莱家纺	luo lai jia fang	9
罚款率	fa kuan lv	2
羊城通	yang cheng tong	24
美丽华酒店	mei li hua jiu dian	5
美元区	mei yuan qu	2
美元危机	mei yuan wei ji	2
美利纸业	mei li zhi ye	5
美欣达	mei xin da	6
美罗药业	mei luo yao ye	2
美联银行	mei lian yin hang	4
美联集团	mei lian ji tuan	1
美股	mei gu	42
美菱股份	mei ling gu fen	7
美雅	mei ya	7
翻一番	fan yi fan	11
翻三番	fan san fan	3
翻两番	fan liang fan	6
老凤祥	lao feng xiang	3
考核指标	kao he zhi biao	5
联信永益	lian xin yong yi	2
联动机制	lian dong ji zhi	2
联华合纤	lian hua he xian	3
联华超市	lian hua chao shi	12
联想集团	lian xiang ji tuan	31
联次	lian ci	7
联油	lian you	4
联益	lian yi	7
联邦存款保险公司	lian bang cun kuan bao xian gong si	13
联邦破产法	lian bang po chan fa	4
聚友	ju you	4
聚富	ju fu	5
股东大会决议	gu dong da hui jue yi	2
股分	gu fen	12
股城网	gu cheng wang	3
股市动态分析	gu shi dong tai fen xi	6
股市快讯	gu shi kuai xun	2
股改	gu gai	6
股权分置改革方案	gu quan fen zhi gai ge fang an	2
股权转让协议	gu quan zhuan rang xie yi	14
股歌	gu ge	4
股票市价	gu piao shi jia	2
股票机	gu piao ji	4
股票界	gu piao jie	3
背书人	bei shu ren	5
胜景山河	sheng jing shan he	2
腹空	fu kong	1
腾邦国际	teng bang guo ji	6
自主创新	zi zhu chuang xin	35
自买	zi mai	2
自仪	zi yi	5
自偿性	zi chang xing	1
自助银行	zi zhu yin hang	2
自然人股	zi ran ren gu	2
自留额	zi liu e	2
自选股	zi xuan gu	6
至高点	zhi gao dian	10
航天机电	hang tian ji dian	2
航天长峰	hang tian chang feng	7
航意险	hang yi xian	5
航民	hang min	7
良运	liang yun	8
艺术品投资	yi shu pin tou zi	2
艺龙	yi long	4
艾略特波浪理论	ai lve te bo lang li lun	2
艾迪西	ai di xi	2
节能减排	jie neng jian pai	38
芜湖港	wu hu gang	5
芝加哥商品交易所	zhi jia ge shang pin jiao yi suo	8
花雕	hua diao	8
苏三山	su san shan	3
苏威孚	su wei fu	3
苏宁环球	su ning huan qiu	1
苏宁环球股份有限公司	su ning huan qiu gu fen you xian gong si	5
苏宁电器	su ning dian qi	3
苏州固锝	su zhou gu de	3
苏州恒久	su zhou heng jiu	3
苏常柴	su chang chai	1
苏常远东	su chang yuan dong	2
苏泊尔	su po er	16
苏物	su wu	4
苏物贸	su wu mao	2
苏福马	su fu ma	2
英化	ying hua	3
英唐智控	ying tang zhi kong	4
英国金融时报	ying guo jin rong shi bao	11
英威腾	ying wei teng	2
英特集团	ying te ji tuan	3
英飞拓	ying fei tuo	3
茉织华	mo zhi hua	4
荷兰万贝银行	he lan wan bei yin hang	2
莎拉李	sha la li	2
莫高股份	mo gao gu fen	7
莱英达	lai ying da	1
莱钢	lai gang	26
营业日	ying ye ri	16
营口港	ying kou gang	7
营销部	ying xiao bu	4
葛州坝	ge zhou ba	2
蒙发利	meng fa li	6
蒙牛乳业	meng niu ru ye	3
虚拟卡	xu ni ka	8
虚涨	xu zhang	5
融信达	rong xin da	3
融资协议	rong zi xie yi	5
融资性	rong zi xing	3
融资方案	rong zi fang an	21
融资款	rong zi kuan	8
融资租赁合同	rong zi zu lin he tong	3
融资网	rong zi wang	3
融资额	rong zi e	5
融通领先	rong tong ling xian	5
行权价	xing quan jia	3
衍生产品	yan sheng chan pin	47
衍生权证	yan sheng quan zheng	1
补仓	bu cang	2
补价	bu jia	14
补充协议	bu chong xie yi	39
补空	bu kong	3
补进	bu jin	28
表首	biao shou	2
袁大头	yuan da tou	6
裸币	luo bi	5
西北轴承股份有限公司	xi bei zhou cheng gu fen you xian gong si	4
西单商场	xi dan shang chang	3
西南合成	xi nan he cheng	4
西安旅游	xi an lv you	3
西昌电	xi chang dian	2
西王糖业	xi wang tang ye	5
西祠胡同	xi ci hu tong	1
西藏天路	xi zang tian lu	1
西藏旅游	xi zang lv you	3
西陇化工	xi long hua gong	4
观音币	guan yin bi	2
规划委	gui hua wei	9
解盘	jie pan	2
詹姆斯邦德	zhan mu si bang de	2
警示教育	jing shi jiao yu	3
计世网	ji shi wang	4
计量经济学	ji liang jing ji xue	37
认同卡	ren tong ka	8
认定标准	ren ding biao zhun	23
认沽期权	ren gu qi quan	4
认沽权证	ren gu quan zheng	3
认购协议	ren gou xie yi	3
认购权证	ren gou quan zheng	5
记录员	ji lu yuan	16
记账员	ji zhang yuan	2
许继电气	xu ji dian qi	5
证券化	zheng quan hua	22
证券周刊	zheng quan zhou kan	3
证券导刊	zheng quan dao kan	2
证券导报	zheng quan dao bao	3
证券市场	zheng quan shi chang	44
证券市场周刊	zheng quan shi chang zhou kan	3
证券市场红周刊	zheng quan shi chang hong zhou kan	4
证券投资分析	zheng quan tou zi fen xi	4
证券投资基金	zheng quan tou zi ji jin	6
证券日报	zheng quan ri bao	7
证券时报	zheng quan shi bao	15
证券法	zheng quan fa	27
证券溢价	zheng quan yi jia	3
证券网	zheng quan wang	1
证券资讯	zheng quan zi xun	6
评价中心	ping jia zhong xin	8
评价体系	ping jia ti xi	19
评价指标	ping jia zhi biao	3
评估办法	ping gu ban fa	5
评估师	ping gu shi	4
评估方案	ping gu fang an	2
评估标准	ping gu biao zhun	20
评估费	ping gu fei	10
试点办法	shi dian ban fa	6
试点方案	shi dian fang an	10
试盘	shi pan	4
试行标准	shi xing biao zhun	4
诚信网	cheng xin wang	7
诚聘英才	cheng pin ying cai	2
诱空	you kong	7
诺安	nuo an	19
诺安平衡	nuo an ping heng	2
谭木匠	tan mu jiang	5
豪盛	hao sheng	7
豫能	yu neng	6
负债率	fu zhai lv	4
负利率	fu li lv	29
财产保险	cai chan bao xian	42
财付通	cai fu tong	4
财会信报	cai kuai xin bao	3
财信通	cai xin tong	2
财务会计	cai wu kuai ji	30
财务状况表	cai wu zhuang kuang biao	1
财华网	cai hua wang	3
财富时报	cai fu shi bao	3
财智	cai zhi	4
财经周刊	cai jing zhou kan	11
财经时报	cai jing shi bao	13
财经网	cai jing wang	45
财经论坛	cai jing lun tan	3
财险	cai xian	13
账户表	zhang hu biao	3
货币主义	huo bi zhu yi	11
货币化	huo bi hua	8
货币战争	huo bi zhan zheng	6
货币流通	huo bi liu tong	20
货币银行学	huo bi yin hang xue	13
质押	zhi ya	29
质押品	zhi ya pin	1
质押物	zhi ya wu	10
购买区	gou mai qu	4
购买美国	gou mai mei guo	16
购房者	gou fang zhe	10
购汇	gou hui	2
购票员	gou piao yuan	4
贵宾厅	gui bin ting	7
贵州百灵	gui zhou bai ling	5
贵研铂业	gui yan bo ye	1
贵绳	gui sheng	5
贷款人	dai kuan ren	33
贷款协议	dai kuan xie yi	11
贷款难	dai kuan nan	2
贸易通	mao yi tong	2
资产公司	zi chan gong si	9
资产评估报告	zi chan ping gu bao gao	18
资产负债率	zi chan fu zhai lv	5
资产负债表	zi chan fu zhai biao	44
资信证明	zi xin zheng ming	3
资助金	zi zhu jin	16
资本利得税	zi ben li de shui	10
资本化	zi ben hua	7
资本化率	zi ben hua lv	4
资本品	zi ben pin	3
资本密集型	zi ben mi ji xing	4
资本运作	zi ben yun zuo	15
资本预算	zi ben yu suan	4
赌彩	du cai	17
赌马	du ma	25
赛格三星	sai ge san xing	3
赛格股份	sai ge gu fen	2
赛格达声	sai ge da sheng	2
赣锋锂业	gan feng li ye	5
超图软件	chao tu ruan jian	1
超声电子	chao sheng dian zi	5
超标者	chao biao zhe	8
超级大乐透	chao ji da le tou	1
超跌	chao die	11
超跌股	chao die gu	8
越秀投资	yue xiu tou zi	1
跌停板	die ting ban	1
跨国银行	kua guo yin hang	5
跨行	kua hang	6
路演	lu yan	47
跳动点	tiao dong dian	2
跳空	tiao kong	8
轧空	ya kong	3
转押	zhuan ya	13
转换价值	zhuan huan jia zhi	3
转换价格	zhuan huan jia ge	3
转换费	zhuan huan fei	4
转期	zhuan qi	2
转配股	zhuan pei gu	2
轮换制	lun huan zhi	5
软控股份	ruan kong gu fen	2
软通货	ruan tong huo	2
轻纺城	qing fang cheng	3
辅导期	fu dao qi	1
达创	da chuang	8
达力集团	da li ji tuan	1
达声	da sheng	5
达尔曼	da er man	4
达标者	da biao zhe	2
运盛	yun sheng	4
运营部	yun ying bu	9
运通公司	yun tong gong si	3
运通卡	yun tong ka	2
还本付息	huan ben fu xi	7
还款期	huan kuan qi	23
还款计划	huan kuan ji hua	6
远东经济评论	yuan dong jing ji ping lun	5
远望谷	yuan wang gu	1
违约率	wei yue lv	3
迟付	chi fu	1
追加保证金	zhui jia bao zheng jin	2
追收	zhui shou	10
追涨	zhui zhang	11
追索权	zhui suo quan	4
送股	song gu	1
送配	song pei	6
逃汇	tao hui	3
逆势	ni shi	28
选股	xuan gu	13
递延	di yan	17
通威股份	tong wei gu fen	2
通知期	tong zhi qi	7
通科	tong ke	5
通程控股	tong cheng kong gu	4
通胀率	tong zhang lv	32
通行权	tong xing quan	26
通达卡	tong da ka	7
通道制	tong dao zhi	4
通金	tong jin	4
速贷通	su dai tong	7
邀会	yao hui	3
邮币卡	you bi ka	9
郑州燃气	zheng zhou ran qi	2
鄂绒	e rong	4
配股	pei gu	12
配额制	pei e zhi	11
酒鬼酒	jiu gui jiu	10
采掘业	cai jue ye	5
重仓	zhong cang	3
重仓股	zhong cang gu	9
重仪	zhong yi	13
重估	chong gu	11
重单	chong dan	4
重庆中药	chong qing zhong yao	3
重庆华亚	chong qing hua ya	3
重庆川仪	chong qing chuan yi	4
重庆机电	chong qing ji dian	3
重庆港九	chong qing gang jiu	6
重庆银行	chong qing yin hang	8
重新转向	chong xin zhuan xiang	6
重要公告	zhong yao gong gao	1
金业公司	jin ye gong si	3
金交所	jin jiao suo	9
金健米业	jin jian mi ye	8
金元宝	jin yuan bao	11
金利华电	jin li hua dian	4
金利来集团	jin li lai ji tuan	8
金利科技	jin li ke ji	2
金利通	jin li tong	4
金化	jin hua	22
金固股份	jin gu gu fen	3
金地集团	jin di ji tuan	8
金城股份	jin cheng gu fen	3
金宇车城	jin yu che cheng	6
金宇集团	jin yu ji tuan	1
金宝通	jin bao tong	2
金山工业	jin shan gong ye	1
金山软件	jin shan ruan jian	11
金岭	jin ling	25
金帝	jin di	9
金普	jin pu	28
金普卡	jin pu ka	4
金智科技	jin zhi ke ji	2
金朝阳集团	jin chao yang ji tuan	6
金本位制	jin ben wei zhi	10
金果	jin guo	6
金枫酒业	jin feng jiu ye	1
金榜集团	jin bang ji tuan	4
金海股份	jin hai gu fen	1
金源米业	jin yuan mi ye	2
金瑞矿业	jin rui kuang ye	3
金瑞科技	jin rui ke ji	3
金盘	jin pan	38
金种子	jin zhong zi	12
金穗卡	jin sui ka	6
金葵花	jin kui hua	7
金融世界	jin rong shi jie	2
金融体制	jin rong ti zhi	12
金融创新	jin rong chuang xin	16
金融办	jin rong ban	5
金融史	jin rong shi	7
金融大街	jin rong da jie	21
金融市	jin rong shi	5
金融投资	jin rong tou zi	42
金融投资报	jin rong tou zi bao	5
金融股	jin rong gu	12
金融许可证	jin rong xu ke zheng	2
金融资产	jin rong zi chan	35
金融部	jin rong bu	12
金路集团	jin lu ji tuan	2
金辉集团	jin hui ji tuan	4
金通灵	jin tong ling	6
金银币	jin yin bi	9
金陵饭店	jin ling fan dian	3
金隅股份	jin yu gu fen	3
金风科技	jin feng ke ji	1
金飞达	jin fei da	6
金马投票	jin ma tou piao	3
金马股份	jin ma gu fen	3
金马集团	jin ma ji tuan	4
金龙机电	jin long ji dian	2
鑫光	xin guang	6
鑫富药业	xin fu yao ye	3
鑫新	xin xin	6
针线街	zhen xian jie	5
钛金	tai jin	4
钛金卡	tai jin ka	1
钢研高纳	gang yan gao na	5
钢镚儿	gang beng er	1
钱江摩托	qian jiang mo tuo	1
钱经	qian jing	7
钱袋网	qian dai wang	3
铜城	tong cheng	6
银之杰	yin zhi jie	7
银债	yin zhai	5
银华	yin hua	34
银基发展	yin ji fa zhan	2
银基集团	yin ji ji tuan	1
银广厦	yin guang sha	4
银广夏	yin guang xia	7
银建	yin jian	1
银承	yin cheng	5
银期	yin qi	6
银河银泰	yin he yin tai	3
银泰百货	yin tai bai huo	23
银率网	yin lv wang	8
银监会	yin jian hui	30
银监局	yin jian ju	36
银行券	yin hang quan	43
银行卡号	yin hang ka hao	1
银行学	yin hang xue	6
银行承兑汇票	yin hang cheng dui hui piao	2
银行界	yin hang jie	30
银行管理	yin hang guan li	7
银行部	yin hang bu	13
银证通	yin zheng tong	4
销卡	xiao ka	1
销售代理协议	xiao shou dai li xie yi	2
销售合同	xiao shou he tong	6
销货清单	xiao huo qing dan	2
锁仓	suo cang	6
锌业	xin ye	5
锦化	jin hua	2
锦州港	jin zhou gang	3
锦州石化	jin zhou shi hua	1
锦江酒店	jin jiang jiu dian	1
锦港	jin gang	4
长城卡	chang cheng ka	5
长城特钢	chang cheng te gang	2
长城集团	chang cheng ji tuan	3
长控	chang kong	3
长电	chang dian	5
长百集团	chang bai ji tuan	3
长盛	chang sheng	25
长盛中证	chang sheng zhong zheng	3
长盛同德	chang sheng tong de	5
长盛同智	chang sheng tong zhi	2
长盛同瑞	chang sheng tong rui	2
长盛同禧	chang sheng tong xi	4
长盛基金	chang sheng ji jin	4
长盛环球	chang sheng huan qiu	4
长航凤凰	chang hang feng huang	2
长运	chang yun	12
问题解答	wen ti jie da	11
闽信集团	min xin ji tuan	2
闽福发	min fu fa	1
阜丰集团	fu feng ji tuan	5
阳光城	yang guang cheng	4
阳谷华泰	yang gu hua tai	6
阿比银行	a bi yin hang	2
附单	fu dan	8
际华集团	ji hua ji tuan	18
陇达	long da	2
限售期	xian shou qi	2
限售股	xian shou gu	1
陕西金叶	shan xi jin ye	2
除净	chu jing	7
除息	chu xi	23
隆基机械	long ji ji xie	2
雄震	xiong zhen	4
雅天妮	ya tian ni	4
雅居乐地产	ya ju le di chan	3
雅戈	ya ge	29
雅戈尔	ya ge er	6
雅虎公司	ya hu gong si	6
雅虎财经	ya hu cai jing	1
集琦	ji qi	1
集资款	ji zi kuan	8
雪莱特	xue lai te	8
零七股份	ling qi gu fen	6
零售银行	ling shou yin hang	22
零息	ling xi	3
零手	ling shou	2
零首付	ling shou fu	2
雷柏科技	lei bai ke ji	2
雷鸣科化	lei ming ke hua	2
霸王条款	ba wang tiao kuan	6
青山纸业	qing shan zhi ye	1
青岛海信	qing dao hai xin	7
青岛海尔	qing dao hai er	2
青岛碱业	qing dao jian ye	1
青鸟华光	qing niao hua guang	4
青龙管业	qing long guan ye	2
非公经济	fei gong jing ji	2
非正常户	fei zheng chang hu	6
非现金	fei xian jin	10
非融资性	fei rong zi xing	6
韵达	yun da	8
项目融资	xiang mu rong zi	10
顺发恒业	shun fa heng ye	2
顺诚	shun cheng	3
领军者	ling jun zhe	6
领票	ling piao	5
领购簿	ling gou bu	7
领跌	ling die	11
颈圈	jing quan	11
颈线	jing xian	14
风控	feng kong	10
风神股份	feng shen gu fen	3
风险投资商	feng xian tou zi shang	1
风险提示	feng xian ti shi	3
风险提示函	feng xian ti shi han	3
风险系数	feng xian xi shu	10
飚升	biao sheng	8
飞力达	fei li da	6
飞行者	fei xing zhe	35
飞马国际	fei ma guo ji	2
食品饮料	shi pin yin liao	23
饱和点	bao he dian	7
首付款	shou fu kuan	6
首创置业	shou chuang zhi ye	3
香梨	xiang li	3
验审	yan shen	7
验旧	yan jiu	8
骗线	pian xian	3
高价股	gao jia gu	2
高息揽存	gao xi lan cun	1
高斯达	gao si da	4
高新兴	gao xin xing	7
高新发展	gao xin fa zhan	2
高新张铜	gao xin zhang tong	1
高溢价	gao yi jia	1
高点	gao dian	10
高特利	gao te li	2
高盛集团	gao sheng ji tuan	37
高金食品	gao jin shi pin	5
高银地产	gao yin di chan	10
魏桥纺织	wei qiao fang zhi	1
鲁商置业	lu shang zhi ye	2
鲁政委	lu zheng wei	3
鲁泰	lu tai	2
鲁泰纺织股份有限公司	lu tai fang zhi gu fen you xian gong si	4
鲁润	lu run	5
鲁石化	lu shi hua	3
鲁置业	lu zhi ye	2
鲁证	lu zheng	6
鲁银	lu yin	7
鹏博士	peng bo shi	3
鹰美	ying mei	3
麦科特	mai ke te	2
麦考林	mai kao lin	3
麦达斯	mai da si	5
黄山金马股份有限公司	huang shan jin ma gu fen you xian gong si	2
黄金储备	huang jin chu bei	14
黄金宝	huang jin bao	10
黄金投资	huang jin tou zi	1
黄金网	huang jin wang	2
黄金集团	huang jin ji tuan	6
黄页	huang ye	34
黑卡	hei ka	10
黑牡丹	hei mu dan	4
黑白菜	hei bai cai	3
黑盒子	hei he zi	45
黑色星期五	hei se xing qi wu	13
黑龙股份	hei long gu fen	2
黔中天	qian zhong tian	1
黔凯涤	qian kai di	2
鼎天	ding tian	6
鼎泰新材	ding tai xin cai	2
鼎盛天工	ding sheng tian gong	3
齐星铁塔	qi xing tie ta	4
齐翔腾达	qi xiang teng da	5
齐鲁石化	qi lu shi hua	6
龙卡	long ka	10
龙双	long shuang	4
龙头股	long tou gu	4
龙建	long jian	12
龙星化工	long xing hua gong	4
龙涤股份	long di gu fen	2
龙源电力	long yuan dian li	3
