# 青简领域词库：地名，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
斯也克乡	si ye ke xiang	3
斯俄乡	si e xiang	3
斯坦利港	si tan li gang	26
斯大林街道	si da lin jie dao	3
斯得雅	si de ya	4
斯木	si mu	5
斯木乡	si mu xiang	4
斯瓦巴德群岛	si wa ba de qun dao	2
斯闸乡	si zha xiang	4
新一中	xin yi zhong	16
新一佳园岭店	xin yi jia yuan ling dian	3
新一村	xin yi cun	3
新上海商业城	xin shang hai shang ye cheng	6
新世界大厦	xin shi jie da sha	3
新世界花园	xin shi jie hua yuan	8
新世纪公寓	xin shi ji gong yu	1
新世纪商厦	xin shi ji shang sha	5
新世纪学校	xin shi ji xue xiao	7
新世纪广场	xin shi ji guang chang	35
新世纪花园	xin shi ji hua yuan	3
新世纪花苑	xin shi ji hua yuan	5
新东	xin dong	9
新东安市场	xin dong an shi chang	5
新东安市场北门	xin dong an shi chang bei men	4
新东方宾馆	xin dong fang bin guan	4
新东村	xin dong cun	3
新东风	xin dong feng	6
新丝路	xin si lu	17
新中	xin zhong	12
新中中学	xin zhong zhong xue	2
新中新村	xin zhong xin cun	2
新中街	xin zhong jie	3
新丰中学	xin feng zhong xue	4
新丰垦殖场	xin feng ken zhi chang	2
新义村	xin yi cun	1
新义街道	xin yi jie dao	6
新乐南街	xin le nan jie	4
新乐县	xin le xian	29
新乐市	xin le shi	34
新乡乡	xin xiang xiang	2
新乡市红旗区	xin xiang shi hong qi qu	2
新乡村	xin xiang cun	8
新二中	xin er zhong	11
新二村	xin er cun	3
新二桥	xin er qiao	2
新二路	xin er lu	5
新五里	xin wu li	1
新五里一路	xin wu li yi lu	5
新亭	xin ting	39
新亭村	xin ting cun	4
新仁	xin ren	24
新仓村	xin cang cun	5
新会	xin hui	13
新会展中心东侧	xin hui zhan zhong xin dong ce	5
新会展中心公交站	xin hui zhan zhong xin gong jiao zhan	6
新会展中心北侧	xin hui zhan zhong xin bei ce	6
新会展中心南侧	xin hui zhan zhong xin nan ce	6
新会村	xin hui cun	1
新伟街道	xin wei jie dao	2
新伦胡同	xin lun hu tong	2
新体育	xin ti yu	8
新余县	xin yu xian	6
新佛寺	xin fo si	3
新作塘	xin zuo tang	4
新侨饭店	xin qiao fan dian	18
新兆路	xin zhao lu	3
新光华街	xin guang hua jie	7
新光大厦	xin guang da sha	2
新光幼儿园	xin guang you er yuan	3
新光路	xin guang lu	18
新光酒家	xin guang jiu jia	3
新兰	xin lan	6
新兰村	xin lan cun	5
新兴东路	xin xing dong lu	3
新兴中路	xin xing zhong lu	1
新兴北路	xin xing bei lu	2
新兴机械厂	xin xing ji xie chang	4
新兴楼	xin xing lou	4
新兴街	xin xing jie	25
新兴西社区	xin xing xi she qu	3
新兴西路	xin xing xi lu	3
新兴路	xin xing lu	34
新兴里社区	xin xing li she qu	3
新兴骏景园	xin xing jun jing yuan	6
新军路	xin jun lu	4
新农大	xin nong da	1
新农村村	xin nong cun cun	4
新农校	xin nong xiao	3
新农街道	xin nong jie dao	3
新凉亭	xin liang ting	1
新凡乡	xin fan xiang	2
新凤村	xin feng cun	4
新利村	xin li cun	3
新前	xin qian	9
新前社区	xin qian she qu	2
新北小区	xin bei xiao qu	1
新北街道	xin bei jie dao	4
新北门	xin bei men	7
新区公安局	xin qu gong an ju	4
新区国税局	xin qu guo shui ju	7
新区管委会	xin qu guan wei hui	36
新医路	xin yi lu	4
新华一村	xin hua yi cun	4
新华下路	xin hua xia lu	1
新华中学	xin hua zhong xue	3
新华二厂	xin hua er chang	4
新华公园	xin hua gong yuan	20
新华加油站	xin hua jia you zhan	4
新华化工厂	xin hua hua gong chang	5
新华北路	xin hua bei lu	9
新华医院	xin hua yi yuan	28
新华南路	xin hua nan lu	3
新华南路尾	xin hua nan lu wei	2
新华印刷厂	xin hua yin shua chang	19
新华友	xin hua you	3
新华大街	xin hua da jie	20
新华家园	xin hua jia yuan	3
新华小区	xin hua xiao qu	7
新华小学	xin hua xiao xue	7
新华居委会	xin hua ju wei hui	1
新华幼儿园	xin hua you er yuan	1
新华广场	xin hua guang chang	8
新华明渠路	xin hua ming qu lu	3
新华村	xin hua cun	9
新华桥	xin hua qiao	6
新华社区	xin hua she qu	10
新华联家园	xin hua lian jia yuan	7
新华联锦园	xin hua lian jin yuan	5
新华西街道	xin hua xi jie dao	2
新华路南口	xin hua lu nan kou	2
新华路口	xin hua lu kou	8
新华里	xin hua li	5
新南村	xin nan cun	3
新南站	xin nan zhan	15
新南街道	xin nan jie dao	1
新南路	xin nan lu	17
新南门	xin nan men	37
新卡乡	xin ka xiang	3
新厅	xin ting	6
新厅村	xin ting cun	3
新双	xin shuang	7
新发地桥北	xin fa di qiao bei	6
新发地桥西	xin fa di qiao xi	2
新发村	xin fa cun	2
新发路	xin fa lu	7
新合	xin he	8
新合作	xin he zuo	11
新合村	xin he cun	7
新合营村	xin he ying cun	4
新吉乡	xin ji xiang	3
新吉林街道	xin ji lin jie dao	2
新君悦酒店	xin jun yue jiu dian	3
新启	xin qi	3
新吴庄	xin wu zhuang	3
新告村	xin gao cun	3
新园大道	xin yuan da dao	1
新园村	xin yuan cun	5
新园街道	xin yuan jie dao	2
新园路	xin yuan lu	8
新园里	xin yuan li	10
新围	xin wei	28
新围仔	xin wei zai	6
新围堤道	xin wei di dao	4
新围村	xin wei cun	7
新圩	xin xu	33
新圩村	xin xu cun	7
新圩江镇	xin xu jiang zhen	2
新地号街道	xin di hao jie dao	3
新地山	xin di shan	2
新圳路	xin zhen lu	3
新坊	xin fang	15
新坑径	xin keng jing	3
新坝	xin ba	5
新坡	xin po	15
新坡头	xin po tou	3
新坪	xin ping	3
新型建材厂	xin xing jian cai chang	6
新型建材市场	xin xing jian cai shi chang	2
新垦农场	xin ken nong chang	4
新垵	xin an	1
新垵村	xin an cun	4
新城中路	xin cheng zhong lu	3
新城佳园	xin cheng jia yuan	4
新城公园	xin cheng gong yuan	8
新城公馆	xin cheng gong guan	7
新城农场	xin cheng nong chang	2
新城分局	xin cheng fen ju	2
新城南都	xin cheng nan du	1
新城国际	xin cheng guo ji	3
新城子	xin cheng zi	5
新城子区	xin cheng zi qu	3
新城子藏族乡	xin cheng zi zang zu xiang	4
新城客运站	xin cheng ke yun zhan	7
新城宾馆	xin cheng bin guan	7
新城小学	xin cheng xiao xue	9
新城工业区	xin cheng gong ye qu	5
新城市场	xin cheng shi chang	6
新城广场	xin cheng guang chang	4
新城花园	xin cheng hua yuan	7
新城西街	xin cheng xi jie	3
新城路	xin cheng lu	14
新城逸境	xin cheng yi jing	4
新城金矿	xin cheng jin kuang	3
新城长岛	xin cheng chang dao	3
新城隧道东口	xin cheng sui dao dong kou	5
新埠	xin bu	9
新埠村	xin bu cun	3
新基	xin ji	8
新基站	xin ji zhan	5
新基路	xin ji lu	6
新堂花园	xin tang hua yuan	3
新堂路	xin tang lu	4
新堡子	xin bao zi	4
新堰	xin yan	4
新塍	xin cheng	8
新塘工业区	xin tang gong ye qu	4
新塘村	xin tang cun	3
新塘社区	xin tang she qu	7
新塘路口	xin tang lu kou	1
新墩	xin dun	6
新外大街北社区	xin wai da jie bei she qu	4
新外大街南社区	xin wai da jie nan she qu	2
新大	xin da	10
新大路	xin da lu	15
新大陆科技园	xin da lu ke ji yuan	3
新天地广场	xin tian di guang chang	3
新天地花苑	xin tian di hua yuan	3
新太乡	xin tai xiang	4
新奥蓝城	xin ao lan cheng	3
新威	xin wei	6
新宅	xin zhai	27
新宅小区	xin zhai xiao qu	2
新安傣族乡	xin an dai zu xiang	3
新安公园	xin an gong yuan	2
新安医院	xin an yi yuan	8
新安小区	xin an xiao qu	6
新安居委会	xin an ju wei hui	3
新安庄	xin an zhuang	4
新安影剧院	xin an ying ju yuan	1
新安村	xin an cun	5
新安江路	xin an jiang lu	3
新安里	xin an li	9
新官	xin guan	40
新宜白大道	xin yi bai da dao	3
新实验小学	xin shi yan xiao xue	4
新客站	xin ke zhan	25
新宫桥	xin gong qiao	1
新家园乡	xin jia yuan xiang	4
新宾路	xin bin lu	2
新密市	xin mi shi	22
新富蕴县	xin fu yun xian	3
新寨	xin zhai	44
新寨子	xin zhai zi	1
新寨村	xin zhai cun	10
新寨里	xin zhai li	5
新寮	xin liao	13
新寮村	xin liao cun	2
新寺	xin si	29
新居里	xin ju li	8
新屋下	xin wu xia	2
新屋仔	xin wu zai	1
新屋家	xin wu jia	6
新屋村	xin wu cun	4
新屋熊	xin wu xiong	4
新屋里	xin wu li	2
新屯街道	xin tun jie dao	1
新山村	xin shan cun	8
新岗	xin gang	2
新岚大厦社区	xin lan da sha she qu	2
新岭	xin ling	8
新岭村	xin ling cun	6
新岳	xin yue	6
新岸	xin an	5
新峰	xin feng	25
新峰村	xin feng cun	6
新峰社区	xin feng she qu	2
新川沙路	xin chuan sha lu	4
新工区	xin gong qu	4
新工地	xin gong di	6
新工房	xin gong fang	6
新工街道	xin gong jie dao	2
新巴镇	xin ba zhen	3
新市北路	xin shi bei lu	5
新市区法院	xin shi qu fa yuan	7
新市南路	xin shi nan lu	5
新市村	xin shi cun	3
新市河乡	xin shi he xiang	3
新市花园	xin shi hua yuan	2
新市街	xin shi jie	16
新布	xin bu	7
新希望路	xin xi wang lu	6
新希望路中	xin xi wang lu zhong	2
新干	xin gan	9
新平县	xin ping xian	20
新平旺街道	xin ping wang jie dao	2
新平村	xin ping cun	2
新平路	xin ping lu	21
新广武	xin guang wu	1
新广路	xin guang lu	5
新庄孜	xin zhuang zi	2
新庄市	xin zhuang shi	27
新庄村	xin zhuang cun	23
新庆	xin qing	5
新庆村	xin qing cun	13
新店医院	xin dian yi yuan	2
新店子	xin dian zi	4
新店子乡	xin dian zi xiang	1
新店市	xin dian shi	24
新店收费站	xin dian shou fei zhan	5
新店旧货市场	xin dian jiu huo shi chang	2
新店村	xin dian cun	1
新店镇政府	xin dian zhen zheng fu	5
新庵	xin an	2
新庵村	xin an cun	3
新康园	xin kang yuan	2
新康家园	xin kang jia yuan	5
新康社区	xin kang she qu	2
新建小学	xin jian xiao xue	9
新建工业区	xin jian gong ye qu	4
新建街居委会	xin jian jie ju wei hui	3
新建路	xin jian lu	16
新建路口	xin jian lu kou	9
新开中路	xin kai zhong lu	3
新开口	xin kai kou	6
新开口镇	xin kai kou zhen	3
新开河村	xin kai he cun	4
新开田	xin kai tian	3
新开胡同	xin kai hu tong	4
新开苑	xin kai yuan	3
新开路	xin kai lu	5
新开路胡同	xin kai lu hu tong	5
新开铺路	xin kai pu lu	8
新径	xin jing	5
新径路	xin jing lu	4
新徐	xin xu	4
新德	xin de	7
新忽热苏木	xin hu re su mu	3
新惠名苑	xin hui ming yuan	2
新惠大厦	xin hui da sha	2
新惠家园	xin hui jia yuan	3
新成温路口	xin cheng wen lu kou	3
新成花园	xin cheng hua yuan	3
新抚	xin fu	6
新捷	xin jie	13
新摸	xin mo	4
新文化街	xin wen hua jie	6
新文化街西口	xin wen hua jie xi kou	3
新文路步行街	xin wen lu bu xing jie	3
新斗门	xin dou men	4
新新家园	xin xin jia yuan	1
新新宾馆	xin xin bin guan	4
新新饭店	xin xin fan dian	3
新旺	xin wang	18
新昌小区	xin chang xiao qu	3
新昌胡同	xin chang hu tong	3
新昌路	xin chang lu	12
新明村	xin ming cun	6
新明楼街道	xin ming lou jie dao	3
新星小区	xin xing xiao qu	7
新星幼儿园	xin xing you er yuan	6
新星村	xin xing cun	6
新春村	xin chun cun	1
新春社区	xin chun she qu	5
新春街	xin chun jie	4
新月村	xin yue cun	2
新月花园	xin yue hua yuan	4
新朋	xin peng	5
新权南路	xin quan nan lu	5
新李	xin li	4
新村仔	xin cun zai	2
新村村	xin cun cun	4
新村村委会	xin cun cun wei hui	2
新村路	xin cun lu	28
新村路真华路	xin cun lu zhen hua lu	3
新松	xin song	47
新松居委会	xin song ju wei hui	2
新松站	xin song zhan	3
新林	xin lin	8
新林村	xin lin cun	4
新林院	xin lin yuan	5
新柳街道	xin liu jie dao	1
新桂市场	xin gui shi chang	2
新桂路	xin gui lu	6
新桃园	xin tao yuan	1
新桥北村	xin qiao bei cun	2
新桥南大街社区	xin qiao nan da jie she qu	2
新桥南街	xin qiao nan jie	3
新桥大街	xin qiao da jie	6
新桥头	xin qiao tou	2
新桥社区	xin qiao she qu	3
新桥职校	xin qiao zhi xiao	2
新桥街	xin qiao jie	5
新桥路	xin qiao lu	11
新桥路社区	xin qiao lu she qu	2
新桥边	xin qiao bian	3
新梁溪人家	xin liang xi ren jia	2
新梅花苑	xin mei hua yuan	1
新楼下	xin lou xia	5
新楼村	xin lou cun	1
新楼社区	xin lou she qu	3
新槐村	xin huai cun	4
新步	xin bu	1
新步社区	xin bu she qu	3
新民中街	xin min zhong jie	7
新民县	xin min xian	15
新民坊	xin min fang	7
新民大街	xin min da jie	11
新民小区	xin min xiao qu	7
新民居委会	xin min ju wei hui	3
新民市	xin min shi	22
新民广场	xin min guang chang	4
新民村	xin min cun	8
新民藏族彝族乡	xin min zang zu yi zu xiang	3
新民街	xin min jie	16
新民路	xin min lu	18
新民门	xin min men	1
新水	xin shui	10
新水利馆	xin shui li guan	2
新江厦商城	xin jiang sha shang cheng	2
新江村	xin jiang cun	2
新江湾城	xin jiang wan cheng	5
新江路口	xin jiang lu kou	1
新池	xin chi	2
新汤	xin tang	4
新汶	xin wen	35
新沂县	xin yi xian	3
新沂市	xin yi shi	26
新沙堤村	xin sha di cun	3
新沟	xin gou	7
新沟桥街道	xin gou qiao jie dao	2
新沟镇街道	xin gou zhen jie dao	1
新沪路	xin hu lu	1
新河一村	xin he yi cun	6
新河北大街	xin he bei da jie	3
新河口	xin he kou	6
新河坝巷	xin he ba xiang	3
新河矿	xin he kuang	1
新河街	xin he jie	3
新河西	xin he xi	1
新河路	xin he lu	2
新河路口	xin he lu kou	4
新泉	xin quan	21
新泰县	xin tai xian	14
新泰市	xin tai shi	39
新泰路	xin tai lu	3
新泻	xin xie	29
新泾七村	xin jing qi cun	2
新泾三村	xin jing san cun	3
新泾五村	xin jing wu cun	4
新泾八村	xin jing ba cun	2
新洋	xin yang	20
新洋街道	xin yang jie dao	3
新洲一街	xin zhou yi jie	3
新洲三街	xin zhou san jie	5
新洲二街	xin zhou er jie	4
新洲五街	xin zhou wu jie	2
新洲县	xin zhou xian	9
新洲垦殖场	xin zhou ken zhi chang	4
新洲城市花园	xin zhou cheng shi hua yuan	6
新洲村	xin zhou cun	1
新洲祠堂村	xin zhou ci tang cun	3
新洲花园	xin zhou hua yuan	1
新洲路	xin zhou lu	3
新浦路	xin pu lu	5
新浮桥	xin fu qiao	4
新海关	xin hai guan	4
新海小区	xin hai xiao qu	4
新涌	xin yong	3
新淮村	xin huai cun	5
新添乡	xin tian xiang	5
新添堡回族乡	xin tian bao hui zu xiang	3
新温	xin wen	4
新港东	xin gang dong	16
新港中学	xin gang zhong xue	1
新港公寓	xin gang gong yu	4
新港村	xin gang cun	4
新湖村	xin hu cun	5
新湖社区	xin hu she qu	5
新湘街道	xin xiang jie dao	4
新湘路街道	xin xiang lu jie dao	4
新源南路西口	xin yuan nan lu xi kou	3
新源村	xin yuan cun	1
新源街路口	xin yuan jie lu kou	2
新源里	xin yuan li	3
新溪	xin xi	16
新溪村	xin xi cun	1
新滘	xin jiao	12
新滘站	xin jiao zhan	3
新滘镇	xin jiao zhen	1
新滩镇街道	xin tan zhen jie dao	3
新潮胡同	xin chao hu tong	3
新澳	xin ao	8
新灶	xin zao	5
新烟街道	xin yan jie dao	2
新王朝酒店	xin wang chao jiu dian	3
新环路	xin huan lu	4
新球医院	xin qiu yi yuan	2
新琼	xin qiong	4
新琼村	xin qiong cun	3
新瓦房	xin wa fang	7
新生桥	xin sheng qiao	4
新生港	xin sheng gang	3
新生路	xin sheng lu	41
新田坑	xin tian keng	2
新田村	xin tian cun	21
新田村委会	xin tian cun wei hui	4
新田河	xin tian he	5
新疆三所	xin jiang san suo	4
新疆农业大学	xin jiang nong ye da xue	7
新疆制药厂	xin jiang zhi yao chang	3
新疆区	xin jiang qu	10
新疆各族人民	xin jiang ge zu ren min	9
新疆师范大学	xin jiang shi fan da xue	18
新疆广播电视大学	xin jiang guang bo dian shi da xue	4
新疆方言	xin jiang fang yan	6
新疆曲子	xin jiang qu zi	8
新疆水泥厂	xin jiang shui ni chang	4
新疆王	xin jiang wang	4
新疆自治区	xin jiang zi zhi qu	46
新疆财经学院	xin jiang cai jing xue yuan	3
新疆路	xin jiang lu	13
新白庙村	xin bai miao cun	2
新百大	xin bai da	5
新盛乡	xin sheng xiang	3
新石桥	xin shi qiao	4
新码头	xin ma tou	21
新码头路	xin ma tou lu	4
新碶镇	xin qi zhen	1
新福街道	xin fu jie dao	2
新秀村	xin xiu cun	6
新秀路	xin xiu lu	6
新窝铺村	xin wo pu cun	3
新立街	xin li jie	1
新站村	xin zhan cun	3
新竹村	xin zhu cun	4
新竹路	xin zhu lu	19
新竹路口	xin zhu lu kou	5
新红桥	xin hong qiao	4
新红路	xin hong lu	3
新纪元石材市场	xin ji yuan shi cai shi chang	4
新美	xin mei	9
新美村	xin mei cun	1
新联	xin lian	31
新联小学	xin lian xiao xue	5
新联村	xin lian cun	3
新胜	xin sheng	29
新胜村	xin sheng cun	2
新能公司	xin neng gong si	5
新舍	xin she	10
新艾里蒙古族乡	xin ai li meng gu zu xiang	2
新芜	xin wu	3
新芝路	xin zhi lu	4
新苑小区	xin yuan xiao qu	1
新荻村	xin di cun	3
新营村	xin ying cun	1
新蓉路	xin rong lu	2
新街下	xin jie xia	2
新街口北	xin jie kou bei	12
新街口南	xin jie kou nan	21
新街口头条	xin jie kou tou tiao	3
新街口西	xin jie kou xi	4
新街口豁口	xin jie kou huo kou	6
新街回族乡	xin jie hui zu xiang	2
新裕	xin yu	5
新裕村	xin yu cun	4
新西庄村	xin xi zhuang cun	3
新观乡	xin guan xiang	4
新貌	xin mao	13
新贤街村	xin xian jie cun	2
新路河乡	xin lu he xiang	1
新车乡	xin che xiang	5
新连	xin lian	5
新道街	xin dao jie	6
新邱	xin qiu	14
新邵	xin shao	23
新郁路	xin yu lu	5
新郑县	xin zheng xian	29
新郑市	xin zheng shi	37
新郝庄	xin hao zhuang	4
新都	xin du	13
新都东站	xin du dong zhan	2
新都会花园	xin du hui hua yuan	3
新都县	xin du xian	16
新都环岛西	xin du huan dao xi	2
新里城	xin li cheng	2
新金	xin jin	9
新金县	xin jin xian	4
新铺上	xin pu shang	6
新铺社区	xin pu she qu	3
新镇村	xin zhen cun	2
新镇路	xin zhen lu	41
新镇路吴中路	xin zhen lu wu zhong lu	2
新镇路顾戴路	xin zhen lu gu dai lu	3
新长征花苑	xin chang zheng hua yuan	3
新门	xin men	9
新门口	xin men kou	2
新门社区	xin men she qu	3
新闸	xin zha	10
新闸路	xin zha lu	21
新闻大厦	xin wen da sha	19
新阁	xin ge	8
新阁村	xin ge cun	2
新阔路	xin kuo lu	2
新阳村	xin yang cun	6
新阳街	xin yang jie	4
新陆	xin lu	12
新隆	xin long	10
新隆基	xin long ji	4
新雨路	xin yu lu	3
新霞	xin xia	6
新霞社区	xin xia she qu	2
新青工业园	xin qing gong ye yuan	6
新青科技园	xin qing ke ji yuan	4
新风小区	xin feng xiao qu	2
新风村	xin feng cun	1
新饶	xin rao	4
新香市	xin xiang shi	5
新马乡	xin ma xiang	1
新高村	xin gao cun	3
新鲜社区	xin xian she qu	6
新鲜胡同	xin xian hu tong	2
新鸿路	xin hong lu	9
新鸿酒店	xin hong jiu dian	2
新龙华	xin long hua	29
新龙城	xin long cheng	1
新龙学校	xin long xue xiao	4
新龙路	xin long lu	1
方下店	fang xia dian	2
方井街	fang jing jie	3
方伟峰	fang wei feng	4
方加镇	fang jia zhen	2
方召乡	fang shao xiang	5
方各庄镇	fang ge zhuang zhen	2
方圆城市绿洲	fang yuan cheng shi lv zhou	3
方圆大厦	fang yuan da sha	7
方圆绿茵	fang yuan lv yin	5
方坪乡	fang ping xiang	3
方头村	fang tou cun	2
方家嘴	fang jia zui	6
方家塘	fang jia tang	5
方家庄村	fang jia zhuang cun	6
方家庄镇	fang jia zhuang zhen	1
方家村	fang jia cun	2
方家胡同	fang jia hu tong	1
方家营	fang jia ying	3
方家营乡	fang jia ying xiang	3
方屋	fang wu	3
方山头	fang shan tou	2
方山窑村	fang shan yao cun	2
方山路	fang shan lu	3
方岩村	fang yan cun	3
方庄	fang zhuang	28
方庄东路	fang zhuang dong lu	6
方庄北口	fang zhuang bei kou	4
方庄南口	fang zhuang nan kou	4
方庄南路南口	fang zhuang nan lu nan kou	2
方庄村	fang zhuang cun	1
方庄桥东	fang zhuang qiao dong	5
方庄桥北	fang zhuang qiao bei	3
方庄桥南	fang zhuang qiao nan	5
方庄桥西	fang zhuang qiao xi	4
方庄环岛北	fang zhuang huan dao bei	3
方庄环岛南	fang zhuang huan dao nan	4
方庄环岛西	fang zhuang huan dao xi	5
方庙街道	fang miao jie dao	2
方强农场	fang qiang nong chang	5
方形广场	fang xing guang chang	2
方斌	fang bin	24
方新村	fang xin cun	7
方新村北	fang xin cun bei	4
方易	fang yi	2
方村	fang cun	32
方村乡	fang cun xiang	3
方正林业局	fang zheng lin ye ju	1
方渡办事处	fang du ban shi chu	2
方溪村	fang xi cun	2
方玉	fang yu	24
方盛园	fang sheng yuan	3
方盛园胡同	fang sheng yuan hu tong	2
方石村	fang shi cun	5
方砖厂	fang zhuan chang	3
方砖厂胡同	fang zhuan chang hu tong	1
方碑村	fang bei cun	6
方耳峪村	fang er yu cun	3
方脑壳	fang nao ke	8
方边	fang bian	5
方金荣	fang jin rong	3
方鑫	fang xin	3
方饭亭	fang fan ting	3
施兴胡同	shi xing hu tong	2
施坪	shi ping	2
施家务村	shi jia wu cun	3
施家寨	shi jia zhai	4
施家村村	shi jia cun cun	2
施家桥	shi jia qiao	2
施家桥村	shi jia qiao cun	2
施家湾	shi jia wan	3
施家胡同	shi jia hu tong	2
施山	shi shan	20
施村	shi cun	2
施甸	shi dian	38
施秉	shi bing	14
旁上	pang shang	7
旁多乡	pang duo xiang	3
旅专	lv zhuan	5
旅游咨询电话	lv you zi xun dian hua	8
旅游委员会	lv you wei yuan hui	14
旅游学院	lv you xue yuan	42
旅游集散中心	lv you ji san zhong xin	14
旅顺开发区	lv shun kai fa qu	6
旅顺路	lv shun lu	2
旋宫酒店	xuan gong jiu dian	5
旌东街道	jing dong jie dao	4
旌阳	jing yang	27
旗山矿	qi shan kuang	4
旗星	qi xing	3
旗星村	qi xing cun	4
旗汛口	qi xun kou	3
旗舰凯旋小区	qi jian kai xuan xiao qu	6
无氏县	wu shi xian	3
无量大人胡同	wu liang da ren hu tong	3
无锡高新技术开发区	wu xi gao xin ji shu kai fa qu	3
日上批发市场	ri shang pi fa shi chang	2
日光清城	ri guang qing cheng	4
日化二厂	ri hua er chang	2
日华花园	ri hua hua yuan	2
日华路	ri hua lu	3
日土	ri tu	8
日土镇	ri tu zhen	2
日坛公园	ri tan gong yuan	1
日坛路	ri tan lu	2
日尔乡	ri er xiang	3
日屋镇	ri wu zhen	3
日怪	ri guai	3
日报大厦	ri bao da sha	3
日新街	ri xin jie	7
日星乡	ri xing xiang	2
日晖新村	ri hui xin cun	5
日月星光花园	ri yue xing guang hua yuan	5
日月路	ri yue lu	3
日朗乡	ri lang xiang	4
日松乡	ri song xiang	2
日照县	ri zhao xian	31
日照街	ri zhao jie	3
日白	ri bai	7
日豪	ri hao	3
日通乡	ri tong xiang	2
日龙乡	ri long xiang	2
旦嘎乡	dan ga xiang	2
旦寨乡	dan zhai xiang	3
旦马乡	dan ma xiang	2
旧乡	jiu xiang	1
旧关	jiu guan	12
旧厝	jiu cuo	3
旧县城	jiu xian cheng	4
旧县镇社区	jiu xian zhen she qu	3
旧城区街道	jiu cheng qu jie dao	3
旧埔村	jiu bu cun	2
旧宫	jiu gong	32
旧宫一村	jiu gong yi cun	3
旧宫三村	jiu gong san cun	3
旧宫东口	jiu gong dong kou	3
旧宫二村	jiu gong er cun	3
旧宫地区	jiu gong di qu	5
旧寨	jiu zhai	4
旧寨村	jiu zhai cun	5
旧屯满族乡	jiu tun man zu xiang	2
旧广武	jiu guang wu	1
旧机动车交易市场	jiu ji dong che jiao yi shi chang	9
旧水	jiu shui	20
旧水利馆	jiu shui li guan	4
旧炮台	jiu pao tai	4
旧货交易市场	jiu huo jiao yi shi chang	5
旧货市场	jiu huo shi chang	19
旧车交易市场	jiu che jiao yi shi chang	8
旧镇政府	jiu zhen zheng fu	4
旧馆村	jiu guan cun	5
早禾	zao he	7
早禾田	zao he tian	3
早科坊	zao ke fang	1
早稼	zao jia	3
旬邑	xun yi	49
旬阳	xun yang	39
旭光村	xu guang cun	5
旭光里	xu guang li	5
旭山	xu shan	20
旭山村	xu shan cun	2
旭日乡	xu ri xiang	1
旭日华庭	xu ri hua ting	5
旭日景城	xu ri jing cheng	6
旱卡子滩哈萨克族乡	han ka zi tan ha sa ke zu xiang	3
旱坑里	han keng li	4
旱塘	han tang	1
旱滩	han tan	2
旱西门	han xi men	2
时中乡	shi zhong xiang	4
时丰	shi feng	29
时代庄园	shi dai zhuang yuan	3
时代房产	shi dai fang chan	4
时代花园	shi dai hua yuan	8
时代购物	shi dai gou wu	4
时代超市	shi dai chao shi	6
时代雅居	shi dai ya ju	5
时光澔韵	shi guang hao yun	1
时刻亮胡同	shi ke liang hu tong	4
时村	shi cun	7
时村乡	shi cun xiang	3
时村营乡	shi cun ying xiang	5
时桥	shi qiao	6
时济	shi ji	18
时济乡	shi ji xiang	2
时潮	shi chao	9
旺业甸镇	wang ye dian zhen	2
旺丹乡	wang dan xiang	3
旺兴村	wang xing cun	3
旺城市场	wang cheng shi chang	2
旺增桥	wang zeng qiao	4
旺岗	wang gang	1
旺庄路	wang zhuang lu	4
旺座现代城	wang zuo xian dai cheng	4
旺旺集团	wang wang ji tuan	18
旺池	wang chi	2
旺沙	wang sha	47
旺藏乡	wang zang xiang	3
旺角花园	wang jiao hua yuan	8
旺达镇	wang da zhen	3
旺龙	wang long	2
旺龙岗	wang long gang	3
昂仁	ang ren	6
昂坪	ang ping	35
昂头	ang tou	5
昂思多镇	ang si duo zhen	3
昂拉乡	ang la xiang	9
昂昂溪	ang ang xi	17
昂格特勒克乡	ang ge te le ke xiang	4
昂赛乡	ang sai xiang	5
昄大乡	ban da xiang	2
昆仑桥	kun lun qiao	7
昆仑桥街道	kun lun qiao jie dao	4
昆仑经济开发区	kun lun jing ji kai fa qu	2
昆仑路	kun lun lu	2
昆坂	kun ban	4
昆坂村	kun ban cun	2
昆山东路	kun shan dong lu	6
昆山中路	kun shan zhong lu	6
昆山西路	kun shan xi lu	6
昆山路	kun shan lu	8
昆得仑牧场	kun de lun mu chang	4
昆明池路	kun ming chi lu	4
昆明街	kun ming jie	4
昆明路	kun ming lu	23
昆明路建材市场	kun ming lu jian cai shi chang	3
昆纬路	kun wei lu	1
昆莎乡	kun sha xiang	5
昆西居委会	kun xi ju wei hui	2
昌乐镇	chang le zhen	2
昌付镇	chang fu zhen	2
昌凌路	chang ling lu	4
昌化新村	chang hua xin cun	4
昌化路	chang hua lu	14
昌吉县	chang ji xian	3
昌吉市	chang ji shi	24
昌大	chang da	40
昌宁	chang ning	31
昌安	chang an	38
昌安东村	chang an dong cun	2
昌岗中	chang gang zhong	1
昌岗路	chang gang lu	9
昌岗路总站	chang gang lu zong zhan	3
昌州大道	chang zhou da dao	5
昌平一中	chang ping yi zhong	1
昌平东关	chang ping dong guan	4
昌平中医院	chang ping zhong yi yuan	4
昌平中心公园	chang ping zhong xin gong yuan	4
昌平二中	chang ping er zhong	6
昌平五中	chang ping wu zhong	3
昌平何营站	chang ping he ying zhan	5
