# 由 qingjian-gloss-gen 生成（LLM）。词	[词性. ]译词|假名	[词性. ]译词|假名
㑇	n. 㑇
无意义	adj. 無意味|むいみ
无意插柳柳成阴	phr. 無意に柳を挿せば柳陰を成す|むいにやなぎをさせばりゅういんをなす
无意苦争春	phr. 春を争う気はない|はるをあらそうきはない
无意识	adj. 無意識の|むいしきの
无意间	adv. うっかり|うっかり
无感	adj. 無関心|むかんしん
无感我帨兮	phr. 我が帨を感じ無かれ|わがふきをかんじなかれ
无愧	adj. 恥じない|はじない
无憾	adj. 悔いがない|くいがない
无懈可击	phr. 非の打ちどころがない|ひのうちどころがない
无成涕作霖	phr. 成らずして涕霖と作る|ならずしてていりんとなす
无所	v. 何もない|なにもない
无所不为	phr. 何でもする|なんでもする
无所不包	phr. 何でも含む|なんでもふくむ
无所不及	phr. 至らない所がない|いたらないところがない
无所不在	phr. 遍在する|へんざいする
无所不晓	adj. 知らぬことなし|しらぬことなし
无所不有	phr. 何でもある|なんでもある
无所不用其极	phr. 手段を選ばない|しゅだんをえらばない
无所不知	phr. 全知|ぜんち
无所不能	phr. 全能|ぜんのう
无所不至	phr. 至らない所がない|いたらないところがない
无所不至矣	phr. 至らざる所なし|いたらざるところなし
无所不通	adj. 通じぬことなし|つうじぬことなし
无所事事	phr. ぶらぶらする|ぶらぶらする
无所作为	phr. 何もしない|なにもしない
无所去忧也	phr. 憂いを去る所なし|うれいをさるところなし
无所忌惮	adj. 恐れを知らない|おそれをしらない
无所措手足	phr. 手の施しようがない|てのほどこしようがない
无所用心	phr. 心を用いる所なし|こころをもちいるところなし
无所畏惧	phr. 恐れを知らない|おそれもしらない
无所苟而已矣	phr. 苟且にせずんば已むのみ|こうしょにせずんばやむのみ
无所谓	adj. どうでもいい|どうでもいい
无所谓了	phr. どうでもいい|どうでもいい
无所适从	phr. どうしてよいかわからない|どうしてよいかわからない
无所逃于天地之间	phr. 天地の間に逃れる所なし|てんちのあいだにのがれるところなし
无所顾忌	phr. 顧みない|かえりみない
无抵押债券	n. 無担保債券|むたんさいさいけん
无担保债权	n. 無担保債権|むたんぽさいけん
无担保债权人	n. 無担保債権者|むたんぽさいけんしゃ
无拘无束	phr. 束縛がない|そくばくがない
无损	adj. 無損失|むそんしつ
无损分解	n. 無損分解|むそんぶんかい
无损压缩	n. 可逆圧縮|かぎゃくあっしゅく
无援	adj. 無援|むえん
无攻人之恶	phr. 人の悪を攻めず|ひとのあくをせめず
无政府主义	n. 無政府主義|むせいふしゅぎ
无故	adv. 理由なく|りゆうなく
无故障	adj. 故障なし|こしょうなし
无故障运行	n. 無故障運転|むこしょううんてん
无效	adj. 無効|むこう
无效保险合同	n. 無効保険契約|むこうほけんけいやく
无效判决	n. 無効判決|むこうはんけつ
无效协议	n. 無効なプロトコル|むこうなプロトコル
无效房屋买卖合同	n. 無効な房屋売買契約|むこうなほうおくばいばいけいやく
无效民事行为	n. 無効な民事行為|むこうなみんじこうい
无效票	n. 無効票|むこうひょう
无效约定	n. 無効な約定|むこうな やくじょう
无效经济合同	n. 無効経済契約|むこうけいざいけいやく
无效行为	n. 無効行為|むこうこうい
无敌	adj. 無敵の|むてきの
无敌丹胶囊	n. 無敵丹カプセル|むてきたんかぷせる
无敌了	phr. 無敵だ|むてきだ
无敌于天下	phr. 天下に敵なし|てんかにてきなし
无敌改装网	n. 無敵改裝網|むてきかいそうもう
无敌止痛搽剂	n. 無敵止痛擦剤|むてきしつうさつざい
无敌药酒	n. 無敵薬酒|むてきやくしゅ
无数	adj. 無数|むすう
无数个	num. 無数の|むすうの
无数新禽有喜声	phr. 数え尽くせぬ新禽の喜声あり|かぞえつくせぬしんきんのきせいあり
无数春笋满林生	phr. 数知れぬ春筍林に満ちて生ず|かずしれぬしゅんじゅんはやしにみちてしょうず
无数次	adj. 無数回|むすうかい
无数的	adj. 無数の|むすうの
无数铃声遥过碛	phr. 数知れぬ鈴の音遥かに碛を過ぐ|かずしれぬすずのおとはるかにせきをすぐ
无斑棕榈鬼鸮	n. 無斑棕櫚鬼梟|むはんしゅろききょう
无方	adj. 方法がない|ほうほうがない
无日	adv. 毎日|まいにち
无日不悠悠	phr. 日とて悠悠たること無し|ひとしてゆうゆうたることなし
无日不瞻望	phr. 日とて瞻望せざるはなし|ひとしてせんぼうせざるはなし
无时无刻	adv. いつも|いつも
无时而不移	phr. 時として移らざるはなし|ときとしてうつらざるはなし
无明显节律	phr. 明らかなリズムがない|あきらかなリズムがない
无昭昭之明	phr. 昭昭の明無し|しょうしょうのめいなし
无是非之心	n. 無是非の心|むぜひのこころ
无暇	adj. 暇がない|ひまがない
无有入无间	phr. 無有は無間に入る|むうはむけんにいる
无望	adj. 望みがない|のぞみがない
无期	n. 無期|むき
无期徒刑	n. 無期懲役|むきちょうえき
无本之木	n. 無本の木|むほんのき
无机	adj. 無機|むき
无机可乘	phr. 乗ずる隙なし|じょうずるすきなし
无机物	n. 無機物|むきぶつ
无权	adj. 権利がない|けんりがない
无权代理行为	n. 無権代理行為|むけんだいりこうい
无权占有	n. 無権占有|むけんせんゆう
无条件	adj. 無条件|むじょうけん
无条件反射	n. 無条件反射|むじょうけんはんしゃ
无极	n. 無極|むきょく
无极膏	n. 無極膏|むきょくこう
无极限	adj. 無限の|むげんの
无果	adj. 成果がない|せいかがない
无树不开花	phr. 花開かぬ樹なし|はなひらかぬきなし
无核区	n. 非核地帯|ひかくちたい
无核小葡萄	n. 種なしブドウ|たねなしぶどう
无核桔	n. 種なしみかん|たねなしみかん
无核糖枣	n. 種なし砂糖なつめ|たねなしさとうなつめ
无核细胞	n. 無核細胞|むかくさいぼう
无案牍之劳形	phr. 案牘の労形なし|あんとくのろうけいなし
无棘腔鳄	n. 無棘腔鰐|むきょくこうわに
无棘腹囊海龙	n. ヨウジウオ|ようじうお
无棣	n. 無棣|むてい
无欲无求	phr. 無欲無求|むよくむぐ
无止境	adj. 果てしない|はてしない
无正本提单放货	phr. 原本船荷証券なしの荷渡し|げんぽんふなにしょうけんなしのにわたし
无此道而为此服者	phr. この道なくしてこれに服す者|このみちなくしてこれにふくすもの
无毒	adj. 無毒|むどく
无比	adj. 比類ない|ひるいない
无毛	adj. 無毛|むもう
无毛猿	n. 無毛猿|むもうえん
无氏县	n. 無氏県|むしかん
无民事行为能力	phr. 民事行為能力なし|みんじこういのうりょくなし
无民事行为能力人	n. 行為無能力者|こういむのうりょくしゃ
无氧	adj. 無酸素|むさんそ
无水	adj. 無水|むすい
无水乙醇	n. 無水エタノール|むすいエタノール
无水亚硫酸钠	n. 無水亜硫酸ナトリウム|むすいありゅうさんナトリウム
无水印	adj. 透かしなし|すかしなし
无水氯化钙	n. 無水塩化カルシウム|むすいえんかカルシウム
无水硫酸镁	n. 無水硫酸マグネシウム|むすいりゅうさんマグネシウム
无水葡萄糖	n. 無水ブドウ糖|むすいブドウとう
无求于物长精神	phr. 物に求めずして精神を養う|ものもとめずしてせいしんをやしなう
无求生以害仁	phr. 生を求めて仁を害せず|せいをもとめてじんをがいせず
无汗	n. 無汗|むかん
无汗症	n. 無汗症|むかんしょう
无油空气压缩机	n. オイルフリー空気圧縮機|オイルフリーくうきあっしゅくき
无法	v. できない|できない
无法上网	phr. ネットに接続できない|ネットにせつぞくできない
无法使用	phr. 使用できない|しようできない
无法删除	v. 削除できない|さくじょできない
无法加载	v. 読み込めない|よみこめない
无法反驳	phr. 反論できない|はんろんできない
无法启动	phr. 起動できない|きどうできない
无法呼吸	phr. 息ができない|いきができない
无法安装	phr. インストールできない|いんすとーるできない
无法廻避	phr. 回避できない|かいひできない
无法形容	phr. 形容できない|けいようできない
无法忍受	phr. 耐えられない|たえられない
无法想象	phr. 想像できない|そうぞうできない
无法控制	phr. 制御できない|せいぎょできない
无法改变	phr. 変えられない|かえられない
无法无天	phr. 無法者|むほうもの
无法显示	phr. 表示できない|ひょうじできない
无法更新	v. 更新できない|こうしんできない
无法理解	phr. 理解できない|りかいできない
无法登录	v. ログインできない|ログインできない
无法登陆	phr. ログインできない|ログインできない
无法直视	v. 直視できない|ちょしできない
无法自拔	phr. 抜け出せない|ぬけだせない
无法获得	phr. 得られない|えられない
无法解析	v. 解析できない|かいせきできない
无法访问	phr. アクセスできない|アクセスできない
无法识别	phr. 認識できない|にんしきできない
无法连接	phr. 接続できない|せつぞくできない
无泥未有尘	phr. 泥なくして塵もなし|どろなくしてちりもなし
无泪	adj. 涙のない|なみだのない
无济于事	phr. 無駄である|むだである
无涯	adj. 果てしない|はてしない
无源之水	n. 無源の水|むげんのみず
无灾无难到公卿	phr. 災いなく高位に上る|わざわいなくこういにのぼる
无点亦无声	phr. 点もなく声もなし|てんもなくこえもなし
无烟工业	n. 無煙産業|むえんさんぎょう
无烟煤	n. 無煙炭|むえんたん
无热	adj. 無熱|むねつ
无照	adj. 無免許の|むめんきょの
无爱	adj. 愛がない|あいがない
无物	n. 無|む
无物结同心	phr. 物なくして同心を結ぶ|ものなくしてどうしんをむすぶ
无牵无挂	phr. 無牽無掛|むけんむか
无独有偶	phr. 偶然ではない|ぐうぜんではない
无现金行权	phr. 無現金行使|むげんきんこうし
无理	adj. 無理|むり
无理取闹	phr. 理不尽に騒ぐ|りふじんにさわぐ
无瑕	adj. 瑕がない|きずがない
无用	adj. 無用|むよう
无用功	n. 無駄な努力|むだなどりょく
无用武之地	phr. 活躍の場がない|かつやくのばがない
无由	adv. 理由なく|りゆうなく
无由再逢伊面	phr. 再び逢う由なし|ふたたびあうよしなし
无由持一碗	phr. 一碗を持つ由なし|いちわんをもつよしなし
无由睹雄略	phr. 雄略を睹る由なし|ゆうりゃくをみるよしなし
无畏	adj. 恐れない|おそれない
无畏龙	n. ドレッドノータス|ドレッドノータス
无疆	adj. 果てしない|はてしない
无疑	adv. 疑いなく|うたがいなく	adv. 間違いなく|まちがいなく
无病呻吟	phr. 病気でもないのに呻吟する|びょうきでもないのに しんぎんする
无症状	adj. 無症状|むしょうじょう
无痕	adj. 痕跡がない|こんせきがない
无痛	adj. 無痛|むつう
无的放矢	phr. 当てずっぽう|あてずっぽう
无益	adj. 無益|むえき
无监督学习	n. 教師なし学習|きょうしなしがくしゅう
无盖加油系统	n. キャップレス給油システム|キャップレスきゅうゆシステム
无眠	adj. 眠れない|ねむれない
无眼希特勒	n. 目のないヒトラー|めのないヒトラー
无眼甲壳纲动物	n. 無眼甲殻類|むがんこうかくるい
无着	adj. 行き詰まった|いきづまった
无睾症	n. 無睾症|むこうしょう
无知	adj. 無知|むち
无知之幕	n. 無知のヴェール|むちのヴェール
无礼	adj. 無礼な|ぶれいな
无神论	n. 無神論|むしんろん
无私	adj. 無私|むし
无私无畏	phr. 私心なく恐れない|ししんなくおそれない
无私的	adj. 無私の|むしの
无稽之谈	phr. 根拠のない話|こんきょのないはなし
无穷	adj. 無限の|むげんの
无穷无尽	phr. 無限|むげん
无穷集	n. 無限集合|むげんしゅうごう
无立足之地	phr. 立つ瀬がない|たつせがない
无立锥之地	phr. 立錐の地なし|りっすいのちなし
无端	adv. わけもなく|わけもなく
无竹令人俗	phr. 竹なくば人俗なり|たけなくばひとぞくなり
无符号数	n. 符号なし数|ふごうなしかず
无符号整数	n. 符号なし整数|ふごうなしせいすう
无米之炊	n. 無い袖は振れぬ|ないそではふれぬ
无米粿	n. 米粉なしの餅|こめこなしのもち
无精子症	n. 無精子症|むせいししょう
无精打采	phr. 元気がない|げんきがない
无糖	adj. 無糖|むとう
无纸交易	n. ペーパーレス取引|ペーパーレスとりひき
无线	adj. 無線|むせん
无线充电	n. ワイヤレス充電|ワイヤレスじゅうでん
无线发送	n. 無線送信|むせんそうしん
无线数传模块	n. ワイヤレスデータ伝送モジュール|ワイヤレスデータでんそうモジュール
无线模块	n. ワイヤレスモジュール|ワイヤレスモジュール
无线测试	n. 無線テスト|むせんテスト
无线电	n. 無線|むせん
无线电视	n. ワイヤレステレビ|ワイヤレステレビ
无线网	n. 無線LAN|むせんラン
无线网卡	n. 無線LANカード|むせんランカード
无线网卡驱动	n. 無線LANカードドライバ|むせんランカードドライバ
无线网络	n. 無線ネットワーク|むせんネットワーク
无线网络连接	n. ワイヤレスネットワーク接続|ワイヤレスネットワークせつぞく
无线调试	n. ワイヤレスデバッグ|ワイヤレスデバッグ
无线路由器	n. 無線ルーター|むせんルーター
无线连接	n. 無線接続|むせんせつぞく
无线通信	n. 無線通信|むせんつうしん
无线通讯	n. 無線通信|むせんつうしん
无线遥控防盗锁	n. ワイヤレスリモコン防盗錠|ワイヤレスリモコンぼうとうじょう
无缘	v. 縁がない|えんがない
无缘了	phr. 縁がなかった|えんがなかった
无缘对面不相逢	phr. 縁がなければ会えない|えんがなければあえない
无缘无故	phr. 理由もなく|りゆうもなく
无缝	adj. シームレス|シームレス
无缝滚动	n. シームレススクロール|シームレススクロール
无缝连接	phr. シームレス接続|シームレスせつぞく
无缺	adj. 欠けるところがない|かけるところがない
无罪	adj. 無罪|むざい
无羞恶之心	phr. 羞恥心がない|しゅうちしんがない
无翅海雀	n. 翼のないウミスズメ|つばさのないウミスズメ
无耙仿鲸鱼	n. 無耙仿鯨|むはほうくじら
无耻	adj. 恥知らず|はじしらず
无聊	adj. 退屈だ|たいくつだ
无聊中	phr. 退屈中|たいくつちゅう
无聊呀	adj. 退屈だ|たいくつだ
无聊呢	phr. 退屈だね|たいくつだね
无聊啊	phr. 退屈だなあ|たいくだなあ
无聊死了	phr. 退屈で死にそう|たいくつでしにそう
无聊的人	n. 退屈な人|たいくつなひと
无肉不欢	phr. 肉なしではいられない|にくなしではいられない
无肉令人瘦	phr. 肉なくば人痩す|にくなくばひとやせす
无背毛蛇潜虫	n. 無背毛蛇潜虫|むはいもうじゃせんちゅう
无能	adj. 無能|むのう
无能为力	phr. 無力だ|むりょくだ
无脑	adj. 無脳|むのう
无脑儿	n. 無脳児|むのうじ
无脑畸形	n. 無脳症|むのうしょう
无良	adj. 無良|むりょう
无色	adj. 無色|むしょく
无色素痣	n. 無色素性母斑|むしきそせいぼはん
无花只有寒	phr. 花なくして寒さのみ|はななくしてさむさのみ
无花无酒锄作田	phr. 花も酒もなく田を耕す|はなもさけもなくたをたがやす
无花果	n. 無花果|いちじく
无花果炖瘦肉	n. いちじく煮込み赤身肉|いちじくにこみあかみにく
无茸大黄蜂	n. 無毛大黄蜂|むもうおおばち
无药	adj. 治らない|なおらない
无药可	phr. 薬がない|くすりがない
无药可救	phr. 救いようがない|すくいようがない
无菌	adj. 無菌|むきん
无菌培养	n. 無菌培養|むきんばいよう
无菌性炎症	n. 無菌性炎症|むきんせいえんしょう
无菌操作	n. 無菌操作|むきんそうさ
无菌术	n. 無菌術|むきんじゅつ
无菌水	n. 無菌水|むきんすい
无蒂	adj. 無茎の|むけいの
无虹膜	n. 無虹彩症|むこうさいしょう
无血清培养基	n. 無血清培地|むけっせいばいち
无行为能力	n. 無行為能力|むこういのうりょく
无行为能力人	n. 無行為能力者|むこういのうりょくしゃ
无衣床夜寒	phr. 衣なくして床夜寒し|ころもなくしてとこやさむし
无补	v. 役に立たない|やくにたたない
无补于事	phr. 役に立たない|やくにたたない
无袖	adj. ノースリーブの|のーすりーぶの
无视	v. 無視する|むしする
无角栉距蜂	n. 無角櫛距蜂|むかくしつきょほう
无角道赛特羊	n. ポールドーセット種|ポールドーセットしゅ
无解	adj. 解けない|とけない
无言	adj. 無言|むごん
无言以对	phr. 言葉に詰まる|ことばにつまる
无言独上西楼	phr. 無言で西楼に上る|むごんでせいろうにのぼる
无言谁会凭阑意	phr. 誰も私の気持ちを分かってくれない|だれもわたしのきもちをわかってくれない
无计可施	phr. 手の施しようがない|てのほどこしようがない
无计留春住	phr. 春を留め住まわす計なし|はるをとどめすまわすけいなし
无计相回避	phr. 相い避くる計なし|あいさくるけいなし
无记名	adj. 無記名|むきめい
无记名公司债	n. 無記名社債|むきめいしゃさい
无记名投票	n. 無記名投票|むきめいとうひょう
无记名有价证券	n. 無記名有価証券|むきめいゆうかしょうけん
无论	conj. 〜にかかわらず|〜にかかわらず
无论什么	phr. 何であれ|なんであれ
无论你	phr. あなたがどうであれ|あなたがどうであれ
无论如何	adv. とにかく|とにかく
无论怎样	phr. どうしても|どうしても
无论是	conj. 〜であれ|〜であれ
无论海角与天涯	phr. 海角天涯を問わず|かいかくてんがいをとわず
无证	adj. 無免許|むめんきょ
无话可说	phr. 言葉がない|ことばがない
无语	adj. 呆れる|あきれる
无语了	phr. 呆れる|あきれる
无误	adj. 間違いない|まちがいない
无谓	adj. 無駄|むだ
无谓的	adj. 無意味な|むいみな
无责任底薪	n. ノルマなし基本給|のるまなしきほんきゅう
无责底薪	n. 無責底給|むせきていきゅう
无赖	n. 無頼漢|ぶらいかん
无赫赫之功	phr. 赫々たる功績なし|かくかくたるこうせきなし
无趣	adj. つまらない|つまらない
无足	adj. 足がない|あしがない
无足轻重	adj. 取るに足らない|とるにたらない
无踪	adj. 跡形もない|あとかたちもない
无踪无影	adj. 跡形もない|あとかたちもない
无轨电车	n. トロリーバス|トロリーバス
无辜	adj. 無実の|むじつの
无辜的	adj. 無実の|むじつの
无辞让之心	phr. 辞譲の心なし|じじょうのこころなし
无边	adj. 果てしない|はてしない
无边丝雨细如愁	phr. 果てしなき細雨愁の如し|はてしなきさいううれいのごとし
无边光景一时新	phr. 限りない景色一時に新たなり|かぎりないけしきいっときにあらたなり
无边无垠	adj. 果てしない|はてしない
无边无际	phr. 果てしない|はてしない
无边框	adj. 枠なし|わくなし
无边落木萧萧下	phr. 限りなく落ち葉が蕭々と舞い降りる|かぎりなくおちばがしょうしょうとまいおりる
无过失责任保险	n. 無過失責任保険|むかしつせきにんほけん
无远弗届	phr. 遠くまで届く|とおくまでとどく
无连接	adj. コネクションレス|コネクションレス
无连接业务	n. コネクションレスサービス|コネクションレスサービス
无连接模式	n. コネクションレスモード|コネクションレスモード
无迹可寻	phr. 跡形もない|あとかたもない
无遗	adj. 遺漏なく|いろうなく
无遗嘱者遗产条例	n. 無遺言者遺産条例|むいごんしゃいさんじょうれい
无那尘缘容易绝	phr. 塵縁の絶え易きを奈何せん|じんえんのたえやすきをいかんせん
无那金闺万里愁	phr. 金閨の万里の愁いを奈何せん|きんけいのばんりのうれいをいかんせん
无邪	adj. 無邪気|むじゃき
无量	adj. 無量|むりょう
无量大人胡同	n. 無量大人胡同|むりょうだいじんこどう
无钥匙	adj. キーレス|きーれす
无钥匙启动	n. キーレススタート|キーレススタート
无钥匙启动系统	n. キーレススタートシステム|キーレススタートシステム
无钱	adj. 無一文|むいちもん
无铅汽油	n. 無鉛ガソリン|むえんガソリン
无锁	adj. ロックなし|ろっくなし
无锁编程	n. ロックフリープログラミング|ロックフリープログラミング
无锁队列	n. ロックフリーキュー|ロックフリーキュー
无锡	n. 無錫|むしゃく
无锡县	n. 無錫県|むしゃくけん
无锡尚德	n. 無錫尚徳|むしゃくしょうとく
无锡市	n. 無錫市|むしゃくし
无锡水蜜桃	n. 無錫水蜜桃|むしゃくすいみつとう
无锡肉排	n. 無錫スペアリブ|むしゃくスペアリブ
无锡酱烧肝	n. 無錫醤煮レバー|むしゃくしょうにレバー
无间	adj. 絶え間ない|たえまない
无阻	v. 妨げられない|さまたげられない
无际	adj. 果てしない|はてしない
无限	adj. 無限|むげん
无限分类	n. 無限分類|むげんぶんるい
无限制	adj. 無制限|むせいげん
无限大	adj. 無限大|むげんだい
无限循环	n. 無限ループ|むげんループ
无限期	adv. 無期限に|むきげんに
无限极分类	n. 無限極分類|むげんきょくぶんるい
无限滚动	n. 無限スクロール|むげんスクロール
无限的	adj. 無限の|むげんの
无限级分类	n. 無限階層分類|むげんかいそうぶんるい
无限轮播	n. 無限カルーセル|むげんカルーセル
无限风光在险峰	phr. 無限の風光は険しい峰にあり|むげんのふうこうはけわしいみねにあり
无限风光尽被占	phr. 無限の風光尽く占めらる|むげんのふうこうつくししめらる
无隙可乘	phr. 隙なし|すきなし
无障碍	adj. バリアフリー|バリアフリー
无需	v. 不要|ふよう
无霜期	n. 無霜期間|むそうきかん
无霸勾蜓	n. オニヤンマ|おにやんま
无非	adv. ただ〜にすぎない|ただ〜にすぎない
无非一念救苍生	phr. ただ一念蒼生を救わんのみ|ただいちねんそうせいをすくわんのみ
无非是	v. ただ〜にすぎない|ただ〜にすぎない
无非湘水余波	phr. ただ湘水の余波のみ|ただしょうすいのよはのみ
无鞭蝎目	n. 無鞭蝎目|むべんかつもく
无须	v. 必要がない|ひつようがない
无颊齿脂鲤	n. 無頬歯脂鯉|むきょうししり
无题	n. 無題|むだい
无颞鳞腹链蛇	n. 無側頭鱗腹鎖蛇|むそくとうりんふくさじゃ
无风三尺浪	phr. 風なくして三尺の浪|かぜなくしてさんじゃくのなみ
无风不起浪	phr. 火のない所に煙は立たない|ひのないところにけむりはたたない
无风起浪	phr. 風ないのに波を立てる|かぜないのになみをたてる
无食无儿一妇人	phr. 食なく児なき一婦人|しょくなくこなきいちふじん
无饰燕尾海牛	n. 無飾燕尾海牛|むしょくえんびかいぎゅう
无骨	adj. 骨なし|ほねなし
无齿满月蛤	n. 無歯満月蛤|むしまんげつはまぐり
无齿螳臂相手蟹	n. 無歯螳臂相手蟹|むしとうひあいてがに
既	adv. 既に|すでに
既不	conj. 〜も〜もない|〜も〜もない
既判案件	n. 既判力のある事件|きはんりょくのあるじけん
既可以	phr. 〜もできるし|〜もできるし
既含睇兮又宜笑	phr. 既に眄みを含み又笑うに宜し|すでにねむごろをふくみまたわらうによろし
既定	adj. 既定|きてい
既往	n. 過去|かこ
既往不咎	phr. 既往は咎めず|きおうはとがめず
既往史	n. 既往歴|きおうれき
既得利益	n. 既得権益|きとくけんえき
既成事实	n. 既成事実|きせいじじつ
既是	conj. である以上|であるいじょう
既有	adj. 既存の|きそんの
既来之则安之	phr. 来たからには安んずる|きたからにはやすんずる
既没有	v. 〜もなければ〜もない|〜もなければ〜もない
既然	conj. 〜からには|〜からには
既然你	phr. あなたが〜なら|あなたが〜なら
既然如此	phr. そうであるなら|そうであるなら
既然是	conj. 〜である以上|〜であるいじょう
既然这样	phr. そうであるなら|そうであるなら
既而	adv. やがて|やがて
既能	v. 〜もできて〜もできる|〜もできて〜もできる
既自以心为形役	phr. 既に心を以て形の役と為す|すでにこころをもってかたちのやくとなす
既莫足与为美政兮	phr. 既に美政を為すに足る者莫し|すでにびせいをなすにたるものなし
既视	n. 既視感|きしかん
既视感	n. 既視感|きしかん
日	n. 日|ひ
日上	n. 日上|ひのぼり
日上三竿	phr. 日が高く昇る|ひがたかくのぼる
日上批发市场	n. 日上卸売市場|にちじょうおろしうりしじょう
日中	n. 日中|にっちゅう
日丰	n. 日豊|にっぽう
日丽风和	phr. 日和が良く風が穏やか|ひよりがよくかぜがおだやか
日久天长	phr. 日久しく長し|ひひさしくながし
日久弥新	adj. 時が経つほど新たになる|ときがたつほどあらたになる
日久生情	phr. 長い付き合いで愛情が生まれる|ながいつきあいであいじょうがうまれる
日久见人心	phr. 長い目で見れば心がわかる|ながいめでみればこころがわかる
日产	n. 日産|にっさん
日产公爵王	n. 日産セドリック|にっさんセドリック
日产奇骏	n. 日産エクストレイル|にっさんエクストレイル
日产尼桑	n. 日産|にっさん
日产平台	n. 日産プラットフォーム|にっさんプラットフォーム
日产逍客	n. 日産キャシュカイ|にっさんきゃしゅかい
日以继夜	phr. 昼夜兼行|ちゅうやけんこう
日俄	n. 日露|にちろ
日俄战争	n. 日露戦争|にちろせんそう
日偏食	n. 部分日食|ぶぶんにっしょく
日元	n. 円|えん
日元息差交易	n. 円キャリートレード|えんキャリートレード
日光	n. 日光|にっこう
日光性荨麻疹	n. 日光蕁麻疹|にっこうじんましん
日光性角化病	n. 日光角化症|にっこうかくかしょう
日光樱蛤	n. 日光桜蛤|にっこうさくが
日光浴	n. 日光浴|にっこうよく
日光清城	n. 日光清城|にっこうせいじょう
日光灯	n. 蛍光灯|けいこうとう
日光疗法	n. 日光療法|にっこうりょうほう
日光皮炎	n. 日光皮膚炎|にっこうひふえん
日入相与归	phr. 日入りて相与に帰る|ひいりてあいともにかえる
日全蚀	n. 皆既日食|かいきにっしょく
日全食	n. 皆既日食|かいきにっしょく
日内	n. 日内|にちない
日内瓦	n. ジュネーブ|ジュネーブ
日内瓦公约	n. ジュネーブ条約|ジュネーブじょうやく
日内瓦国际汽车展	n. ジュネーブ国際自動車展|ジュネーブこくさいじどうしゃてん
日冕	n. コロナ|ころな
日军	n. 日本軍|にほんぐん
日净值增长率	n. 日純資産価値成長率|にちじゅんしさんかちせいちょうりつ
日出	n. 日の出|ひので
日出条款	n. サンライズ条項|サンライズじょうこう
日出江花红胜火	phr. 日出で江の花は火より紅|ひいでえのはなはひよりくれない
日出而作	phr. 日出づれば作す|ひいずればなす
日出而林霏开	phr. 日出でて林霏開く|ひいでてりんひひらく
日出龙鱼	n. 日出竜魚|にっしゅつりゅうぎょ
日刊	n. 日刊|にっかん
日前	n. 先日|せんじつ
日剧	n. 日本のドラマ|にほんのドラマ
日化二厂	n. 日化第二工場|にっかだいにこうじょう
日区	n. 日本人街|にほんじんがい
日升	n. 日の出|ひので
日升为	v. 日々になる|ひびになる
日华花园	n. 日華花園|にっかはなぞの
日华路	n. 日華路|にっかろ
日南郡	n. 日南郡|にちなんぐん
日历	n. カレンダー|かれんだー
日历控件	n. カレンダーコントロール|カレンダーコントロール
日后	n. 後日|ごじつ
日啖荔枝三百颗	phr. 日に茘枝三百顆を食らう|ひにれいしさんびゃくかをくらう
日喀则市	n. シガツェ市|しがつぇし
日圆	n. 円|えん
日土	n. 日土|にっと
日土镇	n. 日土鎮|にっどちん
日场	n. 昼の部|ひるのぶ
日均	n. 日平均|にちへいきん
日坛公园	n. 日壇公園|じつだんこうえん
日坛路	n. 日壇路|じつだんろ
日复一日	phr. 日々|ひび
日夕	n. 夕方|ゆうがた
日夕凉风至	phr. 夕べの涼風|ゆうべのすずかぜ
日夕殊不来	phr. 夕べになっても来ない|ゆうべになってもこない
日夕连秋声	phr. 夕べに秋の声が続く|ゆうべにあきのこえがつづく
日夜	n. 日夜|にちや
日夜兼程	phr. 昼夜兼行|ちゅうやけんこう
日夜向沧洲	phr. 日夜滄洲に向かう|にちやそうしゅうにむかう
日夜望将军至	phr. 日夜将軍の到着を待つ|にちやしょうぐんのとうちゃくをまつ
日夜百服咛	n. 日夜百服寧|にちやひゃくふくねい
日头	n. 日|ひ
日子	n. 日々|ひび
日子过得	phr. 暮らしは|くらしは
日子里	n. 日々の中で|ひびのなかで
日射脊板珊瑚	n. サンゴ|さんご
日射血珠将滴地	phr. 日が血の滴を地に注ぐ|ひがちのしずくをちにそそぐ
日将	n. 日将|にっしょう
日尔乡	n. 日爾郷|にちにきょう
日尔曼法	n. ゲルマン法|ゲルマンほう
日屋镇	n. 日屋鎮|にちおくちん
日岛血蜱	n. 日島血蜱|にちとうけつひ
日工	n. 日雇い労働者|ひやといろうどうしゃ
日带目	n. 日帯目|にちたいもく
日常	n. 日常|にちじょう
日常家事代理权	n. 日常家事代理権|にちじょうかじだいりけん
日常工作	n. 日常業務|にちじょうぎょうむ
日常概念	n. 日常概念|にちじょうがいねん
日常生活	n. 日常生活|にちじょうせいかつ
日常维护费	n. 日常保守費|にちじょうほしゅひ
日康吉鳗	n. ニホンアナゴ|にほんあなご
日式	adj. 日本式|にほんしき
日式戚风	n. 和風シフォンケーキ|わふうシフォンケーキ
日式炸猪排	n. とんかつ|とんかつ
日式照烧鸡腿	n. 和風照り焼きチキンレッグ|わふうてりやきチキンレッグ
日御	n. 太陽の御者|たいようのぎょしゃ
日志	n. ログ|ろぐ
日志中国	n. ログチャイナ|ログチャイナ
日志分析	n. ログ分析|ろぐぶんせき
日志分析系统	n. ログ分析システム|ログぶんせきシステム
