# 由 qingjian-gloss-gen 生成（LLM）。词	[词性. ]译词	[词性. ]译词
㕮	v. chew
残次品	n. defective goods
残毒	n. residual toxicity
残汤剩饭	phr. leftover food
残渣	n. residue	n. dregs
残渣余孽	phr. dregs and remnants
残照	n. afterglow
残片	n. fragment
残生	n. remaining life
残留	v. remain	v. residue
残留应力	n. residual stress
残留强度	n. residual strength
残留数据	n. residual data
残疾	n. disability
残疾人	n. disabled person
残疾人士	n. disabled people
残疾人福利基金会	n. disabled persons welfare foundation
残疾赔偿金	n. disability compensation
残疾车	n. handicapped vehicle
残破	adj. broken
残破不堪	phr. in ruins
残缺	adj. incomplete	adj. fragmentary
残缺不全	adj. incomplete
残缺类缺陷	n. incomplete defect
残羹冷炙	phr. leftovers
残羹剩饭	n. leftovers	n. scraps
残联	n. disabled persons' federation
残胃炎	n. gastritis of remnant stomach
残花败柳	phr. fallen woman
残虐	adj. cruel	adj. brutal
残角子宫	n. rudimentary horn uterus
残败	adj. ruined	adj. decayed
残运会	n. Paralympics
残迹	n. remains	n. traces
残遗种	n. relict species
残部	n. remnants
残酷	adj. cruel
残酷的	adj. cruel
残阳	n. setting sun
残障	n. disability
残雪	n. remaining snow
残骸	n. wreckage	n. remains
残髓炎	n. residual pulpitis
残齿胫甲	n. remnant tooth tibia armor
殍	n. corpse of starved person
殒	v. perish	v. die
殒命	v. die
殓	v. lay in coffin
殖	v. propagate
殖民	v. colonize
殖民主义	n. colonialism
殖民地	n. colony
殖民统治	n. colonial rule
殖民者	n. colonist
殖盘殖盘吸虫	n. Eurytrema pancreaticum
殖离海樽	n. salp
殚	v. exhaust
殚精竭力	phr. spare no effort
殚精竭虑	phr. rack one's brains
殛	v. kill
殡	v. bury
殡仪馆	n. funeral home
殡殓	v. encoffin
殡葬	n. funeral
殣	v. die of hunger
殪	v. die
殳	n. weapon
殴	v. beat	v. hit
殴击罪	n. assault
殴打	v. beat
殴打他人	phr. assault others
殴斗	v. fight
段	m. section
段业	n. Duan Ye
段伯宇	n. Duan Boyu
段位	n. rank	n. level
段光清	n. Duan Guangqing
段兴智	n. Duan Xingzhi
段南新村	n. Duannan New Village
段地址	n. segment address
段坚	n. Duan Jian
段塘	n. Duantang
段大章	n. Duan Dazhang
段婷	n. Duan Ting
段子	n. joke	n. sketch
段家寨乡	n. Duanjiazhai Township
段家山	n. Duanjiashan
段家村	n. Duanjia Village
段家村村	n. Duanjiacun Village
段家营	n. Duanjiaying
段嵘	n. Duan Rong
段平	n. Duan Ping
段庄	n. Duanzhuang
段庄广场	n. Duanzhuang Square
段庄村委会	n. Duanzhuang Village Committee
段店北路街道	n. Duandian North Road Subdistrict
段店村	n. Duandian Village
段德昌	n. Duan Dechang
段成式	n. Duan Chengshi
段提交协议	n. segment commit protocol
段时间	n. period
段映射	n. segment mapping
段智兴	n. Duan Zhixing
段暄	n. Duan Xuan
段柳乡	n. Duanliu Township
段步甲	n. Duan ground beetle
段爱群	n. Duan Aiqun
段玉裁	n. Duan Yucai
段珪	n. Duan Gui
段琦	n. Duan Qi
段祺瑞	n. Duan Qirui
段缘	n. Duan Yuan
段芝贵	n. Duan Zhigui
段落	n. paragraph
段表地址	n. segment table address
段覆盖	n. segment coverage
段誉	n. Duan Yu
段话	n. paragraph
段路	n. road section
段锁	n. segment lock
段错误	n. segmentation fault
段长	n. section chief
段长度	n. segment length
段随	n. Duan Sui
段颎	n. Duan Jiong
殷	n. Yin
殷兆镛	n. Yin Zhaoyong
殷切	adj. eager
殷勇	n. Yin Yong
殷勤	adj. attentive
殷化行	n. Yin Huaxing
殷善	n. Yin Shan
殷墟	n. Yin Xu
殷士儋	n. Yin Shidan
殷奎	n. Yin Kui
殷婕	n. Yin Jie
殷实	adj. wealthy
殷家堡	n. Yinjiabao
殷家大院	n. Yin Family Compound
殷家庄	n. Yinjia Village
殷家村	n. Yinjiacun Village
殷家林	n. Yinjialin
殷富	adj. wealthy
殷屯	n. Yintun
殷庄村	n. Yinzhuang Village
殷忧启圣	phr. deep worry inspires sage
殷悦	n. Yin Yue
殷桃	n. Yin Tao
殷殷	adj. eager
殷海光	n. Yin Haiguang
殷海洁	n. Yin Haijie
殷纯	n. Yin Chun
殷罡	n. Yin Gang
殷行路	n. Yinhang Road
殷谦	n. Yin Qian
殷鉴	n. lesson from history
殷门	n. Yinmen
殷门穴	n. Yinmen acupoint
殷震	n. Yin Zhen
殿	n. palace
殿上	n. in the palace
殿下	n. His Highness
殿中	n. in the hall
殿内	n. inside the hall
殿军	n. last place
殿后	v. bring up the rear
殿堂	n. hall
殿堂楼阁	n. palace
殿宇	n. palace
殿试	n. palace examination
毁	v. destroy	v. ruin
毁三	v. destroy three
毁三观	phr. mind-blowing
毁了	v. ruined
毁于	v. destroyed by
毁于一旦	phr. ruin in a moment
毁于蚁穴	phr. destroyed by ant hole
毁伤	v. damage
毁坏	v. destroy
毁家纾难	phr. sacrifice family for country
毁容	v. disfigure
毁弃	v. destroy	v. discard
毁损	v. damage
毁掉	v. destroy
毁灭	v. destroy	v. annihilate
毁灭国家机关公文	phr. destroy official documents
毁灭性	adj. devastating	adj. destructive
毁灭效应	n. destructive effect
毁约	v. break a promise
毁誉	n. praise and blame
毁誉不一	phr. mixed reputation
毁誉参半	phr. mixed reputation
毁誉听之于人	phr. let others judge
毁证	v. destroy evidence
毁谤	v. slander
毂	n. hub
毅	n. Yi
毅力	n. perseverance
毅然	adv. resolutely
毅然决然	phr. resolutely
毋	adv. do not
毋宁	adv. rather
毋庸	adv. need not	adv. unnecessarily
毋庸置疑	phr. undoubtedly
毋庸讳言	phr. needless to say
毋米粥	n. rice porridge
毋须	adv. need not
母	n. mother
母丁香	n. clove
母乳	n. breast milk
母亲	n. mother
母亲节	n. Mother's Day
母体	n. mother body	n. matrix
母公司	n. parent company
母函数	n. generating function
母刘	n. Mother Liu
母刘氏	n. mother Liu
母后	n. empress dowager
母圣	n. Holy Mother
母堂	n. mother
母夜叉	n. shrew	n. virago
母女	n. mother and daughter
母女关系	n. mother-daughter relationship
母婴	n. maternal and child
母婴传播	n. mother-to-child transmission
母婴保健	n. maternal and child health
母婴护理	n. maternal and infant care
母婴肌肤相亲法	n. kangaroo care
母子	n. mother and child
母子相会	phr. mother and child reunion
母岛炼螺	n. mother island snail
母带	n. master tape
母张	n. mother Zhang
母性	n. motherhood	n. maternity
母性行为	n. maternal behavior
母斑	n. birthmark
母本	n. female parent
母机	n. machine tool
母李	n. Mother Li
母李氏	n. mother Li
母杨	n. female poplar
母校	n. alma mater
母法	n. basic law
母爱	n. motherly love
母版页	n. master page
母牛	n. cow
母狗	n. bitch
母猪	n. sow
母猪壳	n. sow shell
母猫	n. female cat
母王	n. queen mother
母王氏	n. mother Wang
母生滑头木虱	n. mother-born psyllid
母畜	n. female animal
母的	adj. female
母系	n. matrilineal
母系遗传	n. maternal inheritance
母老虎	n. tigress	n. shrew
母胎	n. womb
母胎单身	phr. never had relationship
母舰	n. mothership
母语	n. mother tongue
母陈	n. Mother Chen
母陈氏	n. mother Chen
母鸡	n. hen
每	pron. every	pron. each
每一	pron. every
每一个	pron. every
每一个人	pron. everyone
每一位	phr. every
每一句	phr. every sentence
每一句话	n. every word
每一天	n. every day
每一年	phr. every year
每一张	phr. each piece
每一条	phr. each item
每一次	n. every time
每一步	phr. every step
每一种	phr. every kind
每一秒	n. every second
每一部	n. each part
每一集	n. each episode
每下愈况	phr. getting worse
每两年	adv. every two years
每个	pron. each	pron. every
每个人	pron. everyone
每个人都	phr. everyone
每个地方	phr. everywhere
每个月	n. every month
每个角色	n. every character
每人	pron. everyone	pron. each person
每人而悦之	phr. please every person
每件	phr. each piece
每位	pron. each person
每分钟	phr. every minute
每到	phr. every time
每刻	n. every moment
每句话	phr. every sentence
每只	phr. each
每名	phr. each
每周	adv. weekly
每周一	n. every Monday
每周三	phr. every Wednesday
每周二	phr. every Tuesday
每周五	phr. every Friday
每周六	n. every Saturday
每周四	n. every Thursday
每周日	phr. every Sunday
每回	adv. every time
每场	phr. every game
每天	n. every day
每天下午	phr. every afternoon
每天早上	phr. every morning
每天早晨	n. every morning
每天晚上	phr. every night
每天要	phr. need to every day
每天都	phr. every day
每天都吃	phr. eat every day
每天都想	phr. think every day
每天都有	phr. every day there is
每天都看	phr. watch every day
每天都要	phr. every day
每天都过	phr. live every day
每家	n. each household
每小时	phr. per hour
每局	n. each game
每层	n. each floor
每届	phr. every session
每年	n. every year
每年平均	phr. annual average
每年都有	phr. every year
每张	phr. each piece
每当	conj. whenever
每户	n. each household
每搏输出量	n. stroke volume
每支	phr. each
每日	n. daily
每日报平安	phr. report safety daily
每日算法	n. daily algorithm
每日经济新闻	n. National Business Daily
每日结算制度	n. daily settlement system
每时每刻	phr. all the time
每星期	n. every week
每晚	adv. every night
每月	adv. monthly
每期	phr. each issue
每条	phr. each item
每次	n. every time
每次都	phr. every time
每段	n. each paragraph
每每	adv. often
每种	pron. each kind
每秒	phr. per second
每组	n. each group
每缸气门数	n. valves per cylinder
每股	phr. per share
每节	phr. every section
每逢	prep. every time
每逢佳处辄参禅	phr. meditate at beauty
每逢佳节	phr. on every festival
每部	phr. each
每队	phr. each team
每隔	prep. every
每集	n. each episode
每顿	phr. every meal
每首歌	n. every song
毐	n. poison
毒	n. poison
毒刑	n. torture
毒刺	n. sting	n. venomous spine
毒剂	n. toxic agent
毒力	n. virulence
毒化	v. poison
毒品	n. drug
毒品交易	n. drug trafficking
毒品原植物	n. drug source plant
毒品犯罪研究	n. drug crime research
毒奶	n. poison milk	n. curse
毒害	v. poison
毒性	n. toxicity
毒性反应	n. toxic reaction
毒性肥皂鱼	n. toxic soapfish
毒手	n. murderous act
毒打	v. beat brutally
毒杀	v. poison
毒枭	n. drug lord
毒气	n. poison gas
毒气弹	n. gas bomb
毒汁	n. venom
毒液	n. venom
毒焰	n. poisonous flame
毒牙	n. fangs
毒物	n. poison	n. toxic substance
毒物协同作用	n. toxic synergism
毒物学	n. toxicology
毒物鉴定	n. toxicology test
毒犯	n. drug offender
毒獴	n. poisonous mongoose
毒理学	n. toxicology
毒理学基础	n. Fundamentals of Toxicology
毒症	n. toxemia
毒瘤	n. cancer	n. tumor
毒瘾	n. drug addiction
毒的	adj. poisonous	adj. toxic
毒笔	n. poison pen
毒箭	n. poison arrow
毒素	n. toxin
毒腺	n. venom gland
毒舌	n. sharp tongue
毒草	n. poisonous weed
毒药	n. poison
毒菌	n. poisonous mushroom
毒蕈碱	n. muscarine
毒虫	n. poisonous insect
毒蛇	n. venomous snake
毒蛇咬伤	n. snakebite
毒血症	n. toxemia
毒计	n. vicious scheme
毒贩	n. drug dealer
毒辣	adj. vicious	adj. sinister
毒饵	n. poison bait
毒饵站	n. poison bait station
毒鱼藤	n. derris
毒鸡	n. poisonous chicken
毒鸡汤	n. toxic chicken soup
毓兰镇	n. Yulan Town
毓南村	n. Yunan Village
毓文	n. Yuwen
毓文中学	n. Yuwen Middle School
毓秀桥	n. Yuxiu Bridge
比	prep. than
比上	v. compare with above
比上不足	phr. worse than some
比不上	v. cannot compare
比不了	phr. cannot compare
比不过	v. cannot compare
比丘	n. bhikkhu
比丘尼	n. nun
比为	v. compare to
比了	v. compared
比亚	n. bia
比亚克岛折衷鹦鹉	n. Biak eclectus parrot
比亚迪	n. BYD
比亚迪秦	n. BYD Qin
比亚迪股份	n. BYD Company Limited
比亚迪集团	n. BYD Group
比亚金星尺蛾	n. Biak venus moth
比人	phr. than people
比什么	phr. compare what
比他	phr. than him
比以前	phr. than before
比价	n. price comparison
比作	v. compare to
比你	phr. than you
比你多	phr. more than you
比你大	phr. older than you
比你小	phr. younger than you
比你强	phr. better than you
比你晚	phr. later than you
比例	n. proportion
比例变换	n. scaling transformation
比例尺	n. scale
比例带	n. proportional band
比例控制	n. proportional control
比值	n. ratio
比克瑙	n. Birkenau
比兴	n. analogy and evocation
比其他	phr. than others
比分	n. score
比划	v. gesture	v. motion
比利	n. Billy
比利亚	n. Villa
比利斯	n. Bilisi
比利时	n. Belgium
比利时啤酒	n. Belgian beer
比利时巧克力	n. Belgian chocolate
比利时帐幕石燕	n. Belgian tent shell
比利时料诺犬	n. Belgian Malinois
比利时牧牛犬	n. Belgian Shepherd
比利时特弗伦犬	n. Belgian Tervuren
比利牛	n. Pyrenees
比利牛斯	n. Pyrenees
比利牛斯北山羊	n. Pyrenean ibex
比利牛斯牧羊犬	n. Pyrenean Shepherd
比利牛斯獒犬	n. Pyrenean Mastiff
比别人	phr. than others
比前	v. compare with before
比加巴莱鸟	n. Pigafetta's bird
比去年	phr. than last year
比及	prep. by the time
比喻	n. metaphor
比喻音信断绝	phr. metaphor for no communication
比嘉爱未	n. Higa Manami
比在	v. compare
比基尼	n. bikini
比基尼勾吻鯙	n. Bikini hook-jaw moray
比外面	phr. than outside
比大	phr. compare size
比奇峰	n. Biqi Peak
比她	phr. than her
比如	v. for example
比如乡	n. Biru Township
比如说	phr. for example
比它	phr. than it
比对	v. compare
比寿	n. Ebisu
比尔	n. Bill
比尔乡	n. Bier Township
比尔盖茨	n. Bill Gates
比尤	v. compare
比干	n. Bi Gan
比干谏而死	phr. Bigan died for remonstrance
比平时	phr. than usual
比得上	v. compare with	v. match
比心	v. heart gesture
比恩	n. Bean
比我	phr. than me
比我大	phr. older than me
比我好	phr. better than me
比我幸福	phr. happier than me
比我强	phr. better than me
比我的	phr. than mine
比手画脚	phr. gesticulate
比拉尔多	n. Bilardo
比拟	v. compare
比斯开湾	n. Bay of Biscay
比方	n. example
比昂	n. Bion
比昂省	n. Bion
比武	v. compete in martial arts
比比	v. compare
比比皆是	phr. everywhere
比氏鮄杜父鱼	n. Bichir sculpin
比沙可啶	n. bisacodyl
比沙可啶肠溶片	n. bisacodyl enteric-coated tablets
比活度	n. specific activity
比照	v. compare
比熊	n. Bichon
比熊约克犬	n. Bichon Yorkie
比特	n. bit
比特力	n. Bitforce
比特币	n. Bitcoin
比特币开发	phr. Bitcoin development
比特率	n. bit rate
比特精灵	n. BitSpirit
比率	n. ratio
比目鱼	n. flatfish
比目鱼肌	n. soleus
比索	n. peso
比索洛尔	n. bisoprolol
比绍	n. Bissau
比美	v. compare
比翼	v. fly wing to wing
比翼双飞	phr. fly side by side
比翼连枝当日愿	phr. wish to be together
比翼鸟	n. lovebirds
比翼齐飞	phr. fly wing to wing
比耶	v. make peace sign
比肩	v. compare
比肩接踵	phr. shoulder to shoulder
比肩而立	phr. stand shoulder to shoulder
比萨	n. pizza
比试	v. compete	v. have a contest
比谁	phr. than anyone
比赛	n. competition	n. match
比赛冠军	n. champion
比赛前	n. before the game
比赛后	phr. after the game
比赛场地	n. competition venue
比赛开始	phr. the game begins
比赛时	phr. during the game
比赛时间	n. game time
比赛结果	n. result
比赛项目	n. event
比起	prep. compared to
比起来	v. compared with
比较	adv. relatively	adv. compare
比较严重	phr. relatively serious
比较低	adj. relatively low
比较低调	adj. low-key
比较便宜	phr. relatively cheap
比较免疫学	n. comparative immunology
比较关心	phr. relatively concerned
比较冷	adj. relatively cold
比较合适	phr. more suitable
比较喜欢	phr. prefer
比较器	n. comparator
比较复杂	adj. complex
比较多	adj. quite a lot
比较大	adj. relatively big
比较好	adj. better
比较安全	adj. safer
比较容易	adj. relatively easy
比较小	adj. relatively small
比较少	adj. fewer
比较心理学	n. comparative psychology
比较忙	adj. relatively busy
比较快	phr. relatively fast
比较慢	adj. relatively slow
比较懒	adj. lazy
比较早	phr. relatively early
比较晚	adj. late
比较民事诉讼论丛	n. Comparative Civil Litigation Series
比较法在中国	n. comparative law in China
比较法研究	n. comparative law study
比较简单	adj. relatively simple
比较累	adj. rather tired
比较美	adj. fairly beautiful
比较贵	adj. expensive
比较运算符	n. comparison operator
比较近	adj. relatively close
比较远	adj. relatively far
比较适合	v. suit better
比较重	adj. relatively heavy
比较长	adj. relatively long
比较难	adj. relatively difficult
比较高	adj. relatively high
比较麻烦	phr. rather troublesome
比这	phr. than this
比邻	v. neighbor
比重	n. proportion
比量	v. measure	v. compare
比锡	n. Leipzig
比阿王鹟	n. Biar flycatcher
比附	v. compare
毕	v. finish	v. complete
毕不了业	phr. cannot graduate
毕业	v. graduate
毕业了	v. graduated
毕业于	v. graduate from
毕业以后	phr. after graduation
毕业典礼	n. graduation ceremony
毕业后	phr. after graduation
毕业快乐	phr. congratulations on graduation
毕业旅行	n. graduation trip
毕业时	phr. at graduation
毕业照	n. graduation photo
毕业生	n. graduate
毕业论文	n. thesis
毕业设计	n. graduation project
毕业证	n. diploma
毕业证书	n. diploma
毕其功于一役	phr. accomplish in one stroke
毕其格图	n. Biqigetu
毕剥	v. crackle
毕加索	n. Picasso
毕升	n. Bi Sheng
毕升路	n. Bi Sheng Road
毕塬东路	n. Biyuan East Road
毕塬西路	n. Biyuan West Road
毕家乡	n. Bijia Township
毕家岗	n. Bijiagang
毕家岗街道	n. Bijiagang Subdistrict
毕家村	n. Bijia Village
毕尔	n. Beer
毕恭毕敬	phr. respectful
毕慧	n. Bi Hui
毕昇	n. Bi Sheng
毕星海	n. Bi Xinghai
毕晓普	n. Bishop
毕本	n. Bi Ben
毕比氏招潮蟹	n. Bibby's fiddler crab
毕比氏毛鲶	n. Bibby's catfish
毕涵	n. Bi Han
毕淑敏	n. Bi Shumin
毕然	n. Bi Ran
毕熙东	n. Bi Xidong
毕玉玺	n. Bi Yuxi
毕琛	n. Bi Chen
毕生	n. lifetime
毕磊	n. Bi Lei
毕竟	adv. after all
毕竟不是	phr. after all not
毕竟你	phr. after all you
毕竟是	phr. after all
毕节县	n. Bijie County
毕节地区	n. Bijie Prefecture
毕节市	n. Bijie City
毕节汤圆	n. Bijie tangyuan
毕设	n. graduation project
毕达哥拉斯	n. Pythagoras
毕都	n. Bidu
毕锐	n. Bi Rui
毕露	v. be fully exposed
毖	v. caution
毗	v. adjacent
毗山	n. Pi Mountain
毗连	v. adjoin
毗邻	v. adjacent	v. border
毗邻的	adj. adjacent
毗邻贫田螺	n. adjacent pond snail
毗陵	n. Piling
毙	v. kill
毙了	v. died
毙伤	v. kill or wound
毙命	v. die
毛	n. hair	n. fur
毛不易	n. Mao Buyi
毛丫头	n. little girl
毛主义	n. Maoism
毛主席	n. Chairman Mao
毛乳头	n. hair papilla
毛乳汉甲螨	n. hairy mite
毛了	v. get angry
毛井乡	n. Maojing Township
毛亮肖叶甲	n. hairy leaf beetle
毛人凤	n. Mao Renfeng
毛依罕	n. Mao Yihan
毛儿盖	n. Maoergai
毛冠鹿	n. tufted deer
毛冠鹿属	n. Elaphodus
毛冬青	n. Ilex pubescens
毛冬青注射液	n. Ilex pubescens injection
毛冬青片	n. Ilex pubescens tablet
毛冬青甲素	n. Ilex pubescens saponin
毛利	n. gross profit
毛利塔尼亚	n. Mauritania
毛刺	n. burr
毛南族	n. Maonan ethnic group
毛厂	n. Mao Chang
毛厝	n. Maocuo
毛厝村	n. Maocuo Village
毛原盲蝽	n. hairy plant bug
毛参管盘虫	n. hairy tube worm
毛发	n. hair
毛发上皮瘤	n. trichoepithelioma
毛发啄木鸟	n. hairy woodpecker
毛发移植	n. hair transplant
毛发移植术	n. hair transplant
毛发红糠疹	n. pityriasis rubra pilaris
毛叔	n. Uncle Mao
毛叶平祝蛾	n. hairy leaf moth
毛吻袋熊属	n. hairy-nosed wombat
毛呢	n. woolen cloth
毛哥老鸭汤	n. Maoge old duck soup
毛啊	part. what
毛喙扁蝽	n. hairy flat bug
毛嘴卤鸡	n. Maozui braised chicken
毛囊	n. hair follicle
毛囊炎	n. folliculitis
毛囊虫病	n. demodicosis
毛囊角化病	n. keratosis follicularis
毛国华	n. Mao Guohua
毛圆刺马陆	n. hairy millipede
毛圆眼花天牛	n. hairy longhorn beetle
毛圆蛛	n. hairy orb-weaver
毛坝	n. Maoba
毛坪村	n. Maoping Village
毛坪镇	n. Maoping Town
毛坯	n. blank
毛壁鱼	n. hairy frogfish
毛头梨体星虫	n. hairy peanut worm
毛子水	n. Mao Zishui
毛孔	n. pore
毛孩子	n. kid	n. brat
毛宁	n. Mao Ning
毛官营村	n. Maoguanying Village
毛室凹缘金小蜂	n. hairy chalcid wasp
毛室腔室茧蜂	n. hairy braconid wasp
毛家坪	n. Maojiaping
毛家峪	n. Maojiayu
毛家庄	n. Maojiazhuang
毛家店村	n. Maojiadian Village
毛家村	n. Maojia Village
毛家桥	n. Maojia Bridge
毛家桥村	n. Maojiaqiao Village
毛家湾	n. Maojiawan
毛家湾胡同	n. Maojiawan Hutong
毛家皂镇	n. Maojiazao Town
毛家红烧肉	n. Mao's braised pork
毛家营	n. Maojiaying
毛将焉附	phr. where can hair attach
毛小颌海龙	n. hairy pipefish
毛尖	n. maojian tea
毛尾准驼舞虻	n. hairy-tailed dance fly
毛尾地种蝇	n. hairy-tailed root fly
毛尾足虫	n. hairy-tailed footworm
毛屋	n. thatched hut
毛山东乡	n. Maoshandong Township
毛山村	n. Maoshan Village
毛岱钧	n. Mao Daijun
毛岸英	n. Mao Anying
毛峰熏鲥鱼	n. Maofeng smoked shad
毛嵌线螺	n. hairy-lined snail
毛巾	n. towel
毛巾被	n. terry blanket
毛布	n. coarse cloth
毛庄	n. Maozhuang
毛弄蝶	n. hairy skipper
毛弓角蝉	n. hairy bow-horned cicada
毛志成	n. Mao Zhicheng
毛怀	n. Mao Huai
毛戈平	n. Mao Geping
毛扆	n. hairy screen
毛手招潮蟹	n. hairy-handed fiddler crab
毛手毛脚	adj. careless	adj. clumsy
毛扭法螺	n. hairy twisted triton
毛承基	n. Mao Chengji
毛招潮蟹	n. hairy fiddler crab
毛拟隆头鱼	n. hairy wrasse
毛斑裸板寄蝇	n. hairy-spotted bare plate fly
毛料	n. wool fabric
毛日乡	n. Maori Township
毛日藻钩虾	n. hairy sun-algae amphipod
毛昱衡	n. Mao Yuheng
毛晋	n. Mao Jin
毛杜父鱼	n. hairy sculpin
毛束圆星萤	n. hairy-tufted round-star firefly
毛条厂路	n. Maotiaochang Road
毛条路	n. Maotiao Road
毛板壳虫	n. hairy-shelled ciliate
毛果芸香碱	n. pilocarpine
毛果芸香碱滴眼液	n. pilocarpine eye drops
毛根	n. hair root
毛根儿	n. hair root
毛桃	n. wild peach
毛森	n. Mao Sen
毛椒火辣	adj. spicy hot
毛榛子长翅卷蛾	n. hairy hazel long-winged moth
毛母质瘤	n. pilomatricoma
毛毛	n. fur	n. fluff
毛毛狗头	n. hairy dog head
毛毛虫	n. caterpillar
毛毛虫面包	n. caterpillar bread
毛毛雨	n. drizzle
毛毛面	n. hairy noodles
毛毡	n. felt
毛毡苔	n. sundew
毛毯	n. blanket
毛氏红烧肉	n. Mao's braised pork
毛氏远环蚓	n. Mao's earthworm
毛江森	n. Mao Jiangsen
毛泽东	n. Mao Zedong
毛泽东思想	n. Mao Zedong Thought
毛泽民	n. Mao Zemin
毛活	n. wool work
毛润之	n. Mao Runzhi
毛湾村	n. Maowan Village
毛滴虫	n. trichomonad
毛滴虫属	n. Trichomonas
毛滴虫病	n. trichomoniasis
毛演堡乡	n. Maoyanbao Township
毛澄	n. Mao Cheng
毛烘烘	adj. hairy
毛片	n. porn film
毛状体	n. trichome
毛狗洞	n. foxhole
毛猬亚科	n. hairy hedgehog subfamily
毛玠	n. Mao Jie
毛玫灯蛾	n. hairy rose moth
毛玻璃	n. frosted glass
毛玻璃效果	n. frosted glass effect
毛球	n. fur ball
毛瑞斯莫	n. Mauresmo
毛瑟	n. Mauser
毛璟文	n. Mao Jingwen
毛瓢虫	n. Scymnus
毛田	n. Maotian
毛病	n. fault	n. problem
毛痣	n. hairy nevus
毛白杨	n. Chinese white poplar
毛皮	n. fur
毛皮贝目	n. hairy shell order
毛盘山梅花	n. hairy-disk mock orange
毛目夜蛾	n. hairy-eye noctuid
毛盲蟹	n. hairy blind crab
毛直卷甲螨	n. hairy straight-rolled mite
毛眼亮叶花蝇	n. hairy-eyed shiny-leaf fly
毛眼毒蛾	n. hairy-eyed tussock moth
毛眼灰蝶	n. hairstreak butterfly
毛短尾寄蝇	n. hairy short-tailed parasite fly
毛票	n. small change
毛突囊胃鼬鳚	n. hairy-protruding stomach eelpout
毛竹	n. moso bamboo
毛竹叶螨	n. bamboo spider mite
毛竹园	n. bamboo grove
毛竹黑叶蜂	n. bamboo sawfly
毛笋泉蝇	n. bamboo shoot fly
毛笔	n. brush pen
毛笔字	n. calligraphy
毛簇天牛	n. hairy-tufted longhorn beetle
毛籽光眼虫	n. hairy-seed light-eye insect
毛糙	adj. rough
毛糙仿银杏蟹	n. rough hairy crab
毛纪	n. Mao Ji
毛纹尺蛾	n. hairy-striped inchworm
毛纺	n. wool spinning
毛纺厂	n. woolen mill
毛纺新村	n. Maofang New Village
毛线	n. yarn
毛线沟	n. Maoxian'gou
毛线法拉利	n. knitting Ferrari
毛线衣	n. woolen sweater
毛细支气管炎	n. bronchiolitis
毛细淋巴管	n. lymphatic capillary
毛细管	n. capillary
毛细管电泳	n. capillary electrophoresis
毛细管电泳法	n. capillary electrophoresis method
毛细线虫病	n. capillariasis
毛细血管	n. capillary
毛细血管扩张	n. telangiectasia
毛细血管扩张症	n. telangiectasia
毛细血管瘤	n. capillary hemangioma
毛织品	n. woolen fabric
毛绒	n. fluff
毛缘扇虾	n. hairy-edged fan shrimp
毛翅	n. caddisfly
毛翅木盲蝽	n. hairy-winged wood bug
毛翅目	n. Trichoptera
毛肚	n. tripe
毛肚火锅	n. tripe hot pot
毛股沟臀叶甲	n. leaf beetle
毛肩浮蚕	n. polychaete
毛背心	n. woolen vest
毛胫地种蝇	n. root maggot fly
毛胫夜蛾	n. noctuid moth
毛胫小虎天牛	n. longhorn beetle
毛胫蝶灯蛾	n. tiger moth
毛胸直腮长蝽	n. seed bug
毛胸短额植蝇	n. fly
毛胸锯天牛	n. longhorn beetle
毛胸青步甲	n. ground beetle
毛脉三刺角蝉	n. treehopper
毛脚两头乌鸽	n. pigeon
毛脚鵟	n. rough-legged buzzard
毛脱	v. shed hair
毛腮陪丽蝇	n. blow fly
毛腹角胸肖叶甲	n. leaf beetle
毛腿夜鹰	n. nightjar
毛腿小霸鹟	n. tyrant flycatcher
毛腿渔鴞	n. fishing owl
毛腿耳夜鹰	n. eared nightjar
毛腿鱼鸮	n. Blakiston's fish owl
毛臀刺鼠科	n. paca family
毛舌	n. hairy tongue
毛舟蛾	n. prominent moth
毛良	n. Mao Liang
毛色	n. coat color
毛茎斑龙虱	n. diving beetle
毛茔子	n. Maoyingzi
毛茛	n. buttercup
毛茛科	n. Ranunculaceae
毛茸茸	adj. fluffy
毛茸茸的	adj. fluffy
毛萼肯蚖	n. proturan
毛葛	n. pongee
毛蓝	adj. dark blue
毛蕨	n. hairy fern
毛蕨科	n. Dryopteridaceae
毛薪甲	n. hairy firefly beetle
毛薪甲科	n. minute brown scavenger beetle
毛藏乡	n. Maocang Township
毛虫	n. caterpillar
毛蚶	n. blood clam
毛螃蟹	n. hairy crab
毛蟹	n. hairy crab
毛血旺	n. maoxuewang
毛血洒平芜	phr. blood stains the plain
毛衣	n. sweater
毛衫	n. sweater
毛裤	n. long johns
毛西	n. Maoxi
毛角壁蜂	n. mason bee
毛角尖梗跳小蜂	n. chalcid wasp
毛角沟臀肖叶甲	n. leaf beetle
毛角狭盲蝽	n. plant bug
毛角薄翅天牛	n. longhorn beetle
毛角豆芫菁	n. blister beetle
毛角长盲蝽	n. plant bug
毛触尖腹金小蜂	n. chalcid wasp
毛诃子	n. Terminalia bellirica
毛豆	n. edamame
毛豆结	n. edamame knot
毛贼	n. thief
毛起	v. rise
毛足圆轴蟹	n. crab
毛足拟厚盲蝽	n. plant bug
毛足棒角蝗	n. grasshopper
毛足棘蝇	n. fly
毛足污蝇	n. fly
毛足鬼蟹	n. crab
