# 由 qingjian-gloss-gen english 生成（LLM）：英文词的中文释义。词（小写）	[词性. ]释义	[词性. ]释义
a	一
maxptime	n. 最大处理时间
maxwell	n. 麦克斯韦
may	n. 五月
maya	n. 玛雅
mayan	n. 玛雅
maybe	adv. 也许
mayday	n. 求救信号
mayer	n. 迈耶
mayfair	n. 梅费尔
mayflower	n. 五月花
mayhem	n. 混乱
maynard	n. 梅纳德
mayo	n. 蛋黄酱
mayonnaise	n. 蛋黄酱
mayor	n. 市长
mayoral	adj. 市长的
mayors	n. 市长
mays	n. 梅斯
mazda	n. 马自达
maze	n. 迷宫
mazes	n. 迷宫
mb	n. 兆字节
mba	n. 工商管理硕士
mbps	n. 兆比特每秒
mbutton	n. 鼠标按钮
mc	n. 主持人
mcallen	n. 麦卡伦
mcap	n. MCAP
mcbride	n. 麦克布赖德
mccain	n. 麦凯恩
mccall	n. 麦考尔
mccarthy	n. 麦卡锡
mccartney	n. 麦卡特尼
mccarty	n. 麦卡蒂
mcclain	n. 麦克莱恩
mcclellan	n. 麦克莱伦
mcclure	n. 麦克卢尔
mcconnell	n. 麦康奈尔
mccormick	n. 麦考密克
mccoy	n. 麦考伊
mccullough	n. 麦卡洛
mcdaniel	n. 麦克丹尼尔
mcdonald	n. 麦当劳
mcdonnell	n. 麦克唐纳
mcdowell	n. 麦克道尔
mcenroe	n. 麦肯罗
mcfadden	n. 麦克法登
mcfarland	n. 麦克法兰
mcgee	n. 麦吉
mcgovern	n. 麦戈文
mcgowan	n. 麦高恩
mcguire	n. 麦圭尔
mchenry	n. 麦克亨利
mci	n. MCI
mcintosh	n. 麦金托什
mcintyre	n. 麦金太尔
mckay	n. 麦凯
mckee	n. 麦基
mckenzie	n. 麦肯齐
mckinley	n. 麦金利
mckinney	n. 麦金尼
mcknight	n. 麦克奈特
mclaughlin	n. 麦克劳林
mclean	n. 麦克莱恩
mcleod	n. 麦克劳德
mcmahon	n. 麦克马洪
mcmillan	n. 麦克米伦
mcnamara	n. 麦克纳马拉
mcneil	n. 麦克尼尔
mcpherson	n. 麦克弗森
mcqueen	n. 麦昆
mcs	n. 主持人
mcveigh	n. 麦克维
md	n. 医学博士
mdadm	n. MD设备管理工具
mdn	n. MDN
mdns	n. 多播DNS
mds	n. 医生
mdx	n. MDX
me	pron. 我
mead	n. 米德
meade	n. 米德
meadow	n. 草地
meadows	n. 草地
meager	adj. 贫乏的
meagre	adj. 贫乏的	adj. 微薄的
meal	n. 餐
meals	n. 餐
mean	v. 意味着
meander	v. 蜿蜒
meandering	adj. 蜿蜒的
meaner	adj. 更刻薄的
meanest	adj. 最卑鄙
meaning	n. 意义
meaningful	adj. 有意义的
meaningfully	adv. 有意义地
meaningless	adj. 无意义的
meanings	n. 意义
means	n. 方法	n. 手段
meant	v. 意味着
meantime	n. 其间
meanwhile	adv. 同时
measles	n. 麻疹
measly	adj. 微薄的	adj. 少得可怜的
measurable	adj. 可测量的
measure	v. 测量
measured	v. 测量
measurement	n. 测量
measurements	n. 测量值
measures	n. 措施
measuring	v. 测量
meat	n. 肉
meatball	n. 肉丸
meatballs	n. 肉丸
meatloaf	n. 肉糕
meats	n. 肉类
meaty	adj. 多肉的
mecca	n. 麦加
mechanic	n. 技工
mechanical	adj. 机械的
mechanically	adv. 机械地
mechanics	n. 力学	n. 机械学
mechanism	n. 机制
mechanisms	n. 机制
mechanistic	adj. 机械的
mechanized	adj. 机械化的
med	n. 医学	n. 医疗
medal	n. 奖章
medalist	n. 奖牌获得者
medalists	n. 奖牌获得者
medallion	n. 奖章
medallions	n. 奖章
medallist	n. 奖牌得主
medallists	n. 奖牌得主
medals	n. 奖牌
meddle	v. 干涉	v. 管闲事
meddling	v. 干涉
medea	n. 美狄亚
medellin	n. 麦德林
medford	n. 梅德福
media	n. 媒体
medial	adj. 中间的
median	n. 中位数
mediate	v. 调解
mediated	v. 调解
mediates	v. 调解
mediating	v. 调解
mediation	n. 调解
mediator	n. 调解人
mediators	n. 调解员
medic	n. 军医
medicaid	n. 医疗补助
medical	adj. 医疗的
medically	adv. 医学上
medicalterms	n. 医学术语
medicare	n. 医疗保险
medicated	adj. 含药的
medication	n. 药物	n. 用药
medications	n. 药物
medici	n. 美第奇
medicinal	adj. 药用的
medicine	n. 药	n. 医学
medicines	n. 药物	n. 药品
medics	n. 医务人员
medieval	adj. 中世纪的
medina	n. 麦地那
mediocre	adj. 平庸的
mediocrity	n. 平庸
meditate	v. 冥想
meditated	v. 冥想
meditating	v. 冥想
meditation	n. 冥想
meditations	n. 冥想
meditative	adj. 沉思的	adj. 冥想的
mediterranean	n. 地中海
medium	n. 媒介	n. 中等的
mediums	n. 媒介
medley	n. 混合	n. 杂烩
meds	n. 药物
medusa	n. 美杜莎
meek	adj. 温顺的
meeker	adj. 更温顺的
meekly	adv. 温顺地
meet	v. 遇见
meeting	n. 会议
meetings	n. 会议
meets	v. 遇见	v. 满足
meetup	n. 聚会
meetups	n. 聚会
meg	n. 兆
mega	adj. 巨大的
megan	n. 梅根
megaphone	n. 扩音器
megapixel	n. 百万像素
megatron	n. 威震天
megawatt	n. 兆瓦
megawatts	n. 兆瓦
meghan	n. 梅根
meh	int. 哼
meier	n. 迈耶
meiji	n. 明治
meiosis	n. 减数分裂
meir	n. 梅厄
mekong	n. 湄公河
mel	n. 梅尔
melancholic	adj. 忧郁
melancholy	n. 忧郁
melanie	n. 梅兰妮
melanin	n. 黑色素
melanoma	n. 黑色素瘤
melatonin	n. 褪黑素
melbourne	n. 墨尔本
meld	v. 融合
melinda	n. 梅琳达
melissa	n. 梅利莎
mellon	n. 梅隆
mellow	adj. 成熟的	adj. 柔和的
melodic	adj. 旋律的
melodies	n. 旋律	n. 曲调
melodious	adj. 悦耳的
melodrama	n. 情节剧
melodramatic	adj. 夸张的
melody	n. 旋律
melon	n. 瓜
melons	n. 瓜
melt	v. 融化
meltdown	n. 崩溃
meltdowns	n. 崩溃
melted	v. 融化
melting	adj. 融化的	adj. 熔化的
melton	n. 梅尔顿
melts	v. 融化
melville	n. 梅尔维尔
melvin	n. 梅尔文
member	n. 成员
members	n. 成员
membership	n. 会员资格
memberships	n. 会员资格
membrane	n. 膜
membranes	n. 膜
memcache	n. 内存缓存
memdb	n. MemDB
meme	n. 梗
memento	n. 纪念品
mementos	n. 纪念品
memes	n. 梗	n. 表情包
meminfo	n. 内存信息
memo	n. 备忘录
memoed	adj. 已记忆的
memoir	n. 回忆录
memoirs	n. 回忆录
memoisation	n. 记忆化
memoise	v. 记忆化
memoised	adj. 已记忆化的
memoization	n. 记忆化
memoize	v. 记忆化
memoized	adj. 已记忆化的
memoizes	v. 记忆化
memoizing	v. 记忆化
memorabilia	n. 纪念品
memorable	adj. 难忘的
memorandum	n. 备忘录
memorial	n. 纪念碑
memorials	n. 纪念物
memories	n. 记忆
memorization	n. 记忆
memorize	v. 记住
memorized	v. 记住
memorizing	v. 记住	v. 背诵
memory	n. 记忆
memos	n. 备忘录
memphis	n. 孟菲斯
mempool	n. 内存池
mempools	n. 内存池
men	n. 男人
menace	n. 威胁
menacing	adj. 威胁的
menagerie	n. 动物园	n. 动物收藏
mend	v. 修补
mended	v. 修补
mendel	n. 孟德尔
mendeley	n. Mendeley
mendelssohn	n. 门德尔松
mendez	n. 门德斯
mending	v. 修补	v. 修理
mendocino	n. 门多西诺
mendoza	n. 门多萨
menial	adj. 卑微的
meningitis	n. 脑膜炎
meniscus	n. 半月板
mennonite	n. 门诺派
menopausal	adj. 更年期的
menopause	n. 更年期
mensa	n. 门萨
mensch	n. 好人
menstrual	adj. 月经的
menstruation	n. 月经
menswear	n. 男装
mental	adj. 精神的
mentality	n. 心态
mentally	adv. 精神上	adv. 心理上
menthol	n. 薄荷醇
mention	v. 提到	v. 提及
mentioned	v. 提到
mentioning	v. 提到
mentions	v. 提到
mentor	n. 导师
mentored	v. 指导	v. 辅导
mentoring	n. 指导
mentors	n. 导师
mentorship	n. 指导
menu	n. 菜单
menubar	n. 菜单栏
menubars	n. 菜单栏
menuitem	n. 菜单项
menuitems	n. 菜单项
menus	n. 菜单
menzies	n. 孟席斯
meow	n. 喵
meowing	v. 喵喵叫
merb	n. Merb框架
mercado	n. 梅尔卡多
mercantile	adj. 商业的
merced	n. 默塞德
mercedes	n. 梅赛德斯
mercenaries	n. 雇佣兵
mercenary	n. 雇佣兵
mercer	n. 美世
merchandise	n. 商品
merchandising	n. 促销
merchant	n. 商人
merchantability	n. 适销性
merchants	n. 商人
mercia	n. 麦西亚
mercies	n. 仁慈
merciful	adj. 仁慈的
mercifully	adv. 仁慈地
merciless	adj. 无情的
mercilessly	adv. 无情地
merck	n. 默克
mercurial	adj. 善变的
mercury	n. 水银
mercy	n. 仁慈
mere	adj. 仅仅的
meredith	n. 梅雷迪思
merely	adv. 仅仅	adv. 只不过
merge	v. 合并
mergeability	n. 可合并性
mergeable	adj. 可合并的
merged	v. 合并
merger	n. 合并
mergers	n. 合并	n. 兼并
merges	v. 合并
merging	v. 合并
meridian	n. 子午线	n. 经络
meringue	n. 蛋白酥皮
merino	n. 美利奴
merit	n. 优点
merited	v. 值得
meritocracy	n. 精英统治
meritorious	adj. 有功的
merits	n. 优点
merkle	n. 默克尔
merle	n. 默尔
merlin	n. 梅林
merlot	n. 梅洛
mermaid	n. 美人鱼
mermaids	n. 美人鱼
merriam	n. 梅里亚姆
merrick	n. 梅里克
merrier	adj. 更快乐的
merrill	n. 梅里尔
merrily	adv. 愉快地
merrimack	n. 梅里马克
merriment	n. 欢乐
merritt	n. 梅里特
merry	adj. 快乐的
merton	n. 默顿
mesa	n. 台地
mesh	n. 网格	n. 网眼
meshes	n. 网格
mesmerising	adj. 迷人的
mesmerized	adj. 着迷的
mesmerizing	adj. 迷人的
mesopotamia	n. 美索不达米亚
mesozoic	n. 中生代
mesquite	n. 牧豆树
mess	n. 混乱	n. 脏乱
message	n. 消息	n. 信息
messaged	v. 发送信息
messageid	n. 消息ID
messageids	n. 消息ID
messagelist	n. 消息列表
messages	n. 消息
messaging	n. 消息	n. 通讯
messed	v. 弄乱
messenger	n. 信使
messengers	n. 信使
messes	n. 混乱
messiah	n. 弥赛亚
messianic	adj. 弥赛亚的
messier	adj. 更乱的
messing	v. 弄乱
messy	adj. 凌乱的
met	v. 遇见
meta	adj. 元
metabolic	adj. 代谢的
metabolism	n. 代谢
metabolite	n. 代谢物
metabolites	n. 代谢物
metabolized	v. 代谢
metadata	n. 元数据
metal	n. 金属
metallic	adj. 金属的
metallica	n. 金属乐队
metallurgical	adj. 冶金的
metallurgy	n. 冶金
metals	n. 金属
metalworking	n. 金属加工
metamorphic	adj. 变质的
metamorphosis	n. 变形
metaphor	n. 隐喻
metaphorical	adj. 隐喻的
metaphorically	adv. 隐喻地
metaphors	n. 隐喻
metaphysical	adj. 形而上学的
metaphysics	n. 形而上学
metaprogramming	n. 元编程
metastases	n. 转移
metastasis	n. 转移
metastatic	adj. 转移性的
meted	v. 给予
meteor	n. 流星
meteoric	adj. 流星般的
meteorite	n. 陨石
meteorites	n. 陨石
meteorological	adj. 气象的
meteorologist	n. 气象学家
meteorologists	n. 气象学家
meteorology	n. 气象学
meteors	n. 流星
meter	n. 米	n. 仪表
metered	adj. 计量的
metering	n. 计量
meters	n. 米
metformin	n. 二甲双胍
meth	n. 冰毒
methadone	n. 美沙酮
methamphetamine	n. 甲基苯丙胺
methane	n. 甲烷
methanol	n. 甲醇
methinks	v. 我想
method	n. 方法
methodical	adj. 有条理的
methodically	adv. 有条不紊地
methodism	n. 卫斯理宗
methodist	n. 卫理公会
methodists	n. 卫理公会教徒
methodological	adj. 方法论的
methodologies	n. 方法论
methodology	n. 方法论
methods	n. 方法
methyl	n. 甲基
meticulous	adj. 一丝不苟的
meticulously	adv. 细致地
metre	n. 米
metres	n. 米
metric	n. 度量	n. 指标
metrics	n. 指标
metro	n. 地铁
metronome	n. 节拍器
metropolis	n. 大都市
metropolitan	adj. 大都市的
metros	n. 地铁
mettle	n. 勇气
mew	n. 猫叫
mews	n. 马厩
mex	n. 墨西哥
mexican	adj. 墨西哥
mexicans	n. 墨西哥人
mexico	n. 墨西哥
meyer	n. 迈耶
meyers	n. 迈耶斯
mezzanine	n. 夹层
mezzo	adv. 适中
mfa	n. 多因素认证
mg	n. 毫克
mgm	n. 米高梅
mhz	n. 兆赫
mi	n. 密歇根
mia	n. 失踪
miami	n. 迈阿密
mic	n. 麦克风
mica	n. 云母
micah	n. 米迦
mice	n. 老鼠
mich	n. 密歇根
michael	n. 迈克尔
micheal	n. 迈克尔
michel	n. 米歇尔
michelangelo	n. 米开朗基罗
michele	n. 米歇尔
michelin	n. 米其林
michelle	n. 米歇尔
michigan	n. 密歇根
mick	n. 米克
mickey	n. 米奇
micky	n. 米奇
micro	adj. 微小的
microbe	n. 微生物
microbenchmarking	n. 微基准测试
microbes	n. 微生物
microbial	adj. 微生物的
microbiology	n. 微生物学
microbiome	n. 微生物组
microchip	n. 微芯片
microcosm	n. 微观世界
microfilm	n. 缩微胶卷
microfinance	n. 小额信贷
micrograms	n. 微克
micromatch	n. 微匹配
micron	n. 微米
micronesia	n. 密克罗尼西亚
microns	n. 微米
microorganisms	n. 微生物
microphone	n. 麦克风
microphones	n. 麦克风
microprocessor	n. 微处理器
microprocessors	n. 微处理器
microscope	n. 显微镜
microscopes	n. 显微镜
microscopic	adj. 微观的
microscopy	n. 显微镜学
microservice	n. 微服务
microservices	n. 微服务
microsoft	n. 微软
microwave	n. 微波炉	n. 微波
microwaves	n. 微波
mics	n. 麦克风
mid	adj. 中间的
midair	n. 半空中
midas	n. 迈达斯
midday	n. 正午
middle	n. 中间
middleman	n. 中间人	n. 经纪人
middlemen	n. 中间人
middleton	n. 米德尔顿
middletown	n. 米德尔敦
middleware	n. 中间件
middlewares	n. 中间件
middleweight	n. 中量级
middling	adj. 中等的
mideast	n. 中东
midfield	n. 中场
midfielder	n. 中场球员
midfielders	n. 中场球员
midge	n. 蠓
midget	n. 侏儒
midgets	n. 侏儒
midi	n. MIDI
midland	n. 米德兰
midlands	n. 中部地区
midlife	n. 中年
midline	n. 中线
midnight	n. 午夜
midpoint	n. 中点
midrange	n. 中档
midseason	n. 季中
midsection	n. 中部
midshipman	n. 海军学员
midshipmen	n. 海军学员
midsize	adj. 中型的
midst	n. 中间
midsummer	n. 仲夏
midterm	n. 期中
midterms	n. 期中考试
midtown	n. 市中心
midway	adv. 中途
midweek	n. 周中
midwest	n. 中西部
midwestern	adj. 中西部
midwife	n. 助产士
midwifery	n. 助产术
midwinter	n. 仲冬
midwives	n. 助产士
miffed	adj. 恼怒的
mig	n. 米格
might	v. 可能
mightier	adj. 更强大的
mightiest	adj. 最强大的
mightily	adv. 强有力地
mighty	adj. 强大的
migraine	n. 偏头痛
migraines	n. 偏头痛
migrant	n. 移民	n. 流动工人
migrants	n. 移民	n. 候鸟
migratable	adj. 可迁移的
migratables	n. 可迁移对象
migrate	v. 迁移	v. 移居
migrated	v. 迁移
migrating	v. 迁移
migration	n. 迁移	n. 移民
migrations	n. 迁移
migratory	adj. 迁徙的
miguel	n. 米格尔
mike	n. 麦克风
mikes	n. 麦克风
mikhail	n. 米哈伊尔
mil	n. 密尔
milan	n. 米兰
milanese	adj. 米兰的
mild	adj. 温和的	adj. 轻微的
milder	adj. 温和的
mildew	n. 霉	n. 霉菌
mildly	adv. 温和地	adv. 轻微地
mildred	n. 米尔德丽德
mile	n. 英里
mileage	n. 里程
miler	n. 一英里赛跑选手
miles	n. 英里
milestone	n. 里程碑
milestones	n. 里程碑
milf	n. 熟女
milford	n. 米尔福德
milfs	n. 熟女
milieu	n. 环境
militancy	n. 好战
militant	adj. 好战的
militants	n. 激进分子
militaries	n. 军队
militarily	adv. 军事上
militarism	n. 军国主义
militaristic	adj. 军国主义的
militarization	n. 军事化
militarized	adj. 军事化的
military	adj. 军事的
militia	n. 民兵
militiamen	n. 民兵
militias	n. 民兵
milk	n. 牛奶
milked	v. 挤奶
milking	n. 挤奶
milkman	n. 送奶工
milks	v. 挤奶
milkshake	n. 奶昔
milkshakes	n. 奶昔
milky	adj. 乳白的
mill	n. 磨坊	n. 工厂
millard	n. 米勒德
milled	adj. 碾磨的
millennia	n. 千年
millennial	n. 千禧一代
millennials	n. 千禧一代
millennium	n. 千年
miller	n. 磨坊主
millers	n. 磨坊主
millet	n. 米勒
millicent	n. 米莉森特
millie	n. 米莉
milligrams	n. 毫克
millimeter	n. 毫米
millimeters	n. 毫米
millimetre	n. 毫米
millimetres	n. 毫米
milling	n. 铣削
million	num. 百万
millionaire	n. 百万富翁
millionaires	n. 百万富翁
millions	n. 数百万
millionth	adj. 百万分之一的
millis	n. 毫秒
millisecond	n. 毫秒
milliseconds	n. 毫秒
mills	n. 磨坊
millstone	n. 磨石
milne	n. 米尔恩
milo	n. 米洛
milt	n. 鱼精
milton	n. 米尔顿
milwaukee	n. 密尔沃基
mime	n. 哑剧
mimetype	n. MIME类型
mimi	n. 咪咪
mimic	v. 模仿
mimicked	v. 模仿
mimicking	v. 模仿
mimicry	n. 模仿
mimics	v. 模仿
mimosa	n. 含羞草
min	n. 敏
mince	v. 切碎
minced	adj. 切碎的
mind	n. 头脑
mindanao	n. 棉兰老岛
minded	adj. 有...心的
mindedness	n. 心态	n. 倾向
mindepth	n. 最小深度
mindful	adj. 留心的
mindfulness	n. 正念
minding	v. 介意
mindless	adj. 无意识的	adj. 盲目的
minds	n. 头脑
mindset	n. 心态
mindsets	n. 心态
mindy	n. 明迪
mine	pron. 我的
mined	v. 开采
minefield	n. 雷区
minepart	n. 矿部
miner	n. 矿工
mineral	n. 矿物
mineralogy	n. 矿物学
minerals	n. 矿物
miners	n. 矿工
minerva	n. 密涅瓦
mines	n. 矿	n. 地雷
ming	n. 明
mingle	v. 混合
mingled	v. 混合
mingling	n. 混合	n. 交往
mingw	n. MinGW
mini	adj. 迷你	adj. 微型
miniature	adj. 微型
miniatures	n. 微型画
minibus	n. 小巴
miniconda	n. 迷你康达
minification	n. 压缩
minifier	n. 压缩器
minify	v. 压缩
minikube	n. Minikube
minima	n. 最小值
minimal	adj. 最小的	adj. 极少的
minimalism	n. 极简主义
minimalist	n. 极简主义者
minimally	adv. 最低限度地
minimap	n. 小地图
minimise	v. 最小化
minimising	v. 最小化
minimization	n. 最小化
minimize	v. 最小化	v. 减少
minimized	v. 最小化
minimizes	v. 最小化
minimizing	v. 最小化
minimum	n. 最小	n. 最低
minimums	n. 最小值
mining	n. 采矿
minio	n. MinIO
minion	n. 奴才
minions	n. 小黄人
minis	n. 迷你裙
miniseries	n. 迷你剧
minister	n. 部长	n. 大臣
ministerial	adj. 部长的
ministering	v. 服务
ministers	n. 部长
ministries	n. 部
ministry	n. 部
minitest	n. Minitest
minivan	n. 小型货车
mink	n. 貂
minmaxinfo	n. 最小最大信息
minn	n. 明
minneapolis	n. 明尼阿波利斯
minnesota	n. 明尼苏达
minnie	n. 米妮
minnow	n. 小鱼
minnows	n. 小鱼
minor	adj. 次要的
minorities	n. 少数
minority	n. 少数
minors	n. 未成年人
minot	n. 迈诺特
minotaur	n. 弥诺陶洛斯
minsk	n. 明斯克
minster	n. 大教堂
minstrel	n. 吟游诗人
mint	n. 薄荷
minted	adj. 新铸的
mints	n. 薄荷糖
minty	adj. 薄荷的
minus	prep. 减	prep. 减去
minuscule	adj. 微小的
minute	n. 分钟
minutemen	n. 民兵
minutes	n. 分钟	n. 会议记录
minutiae	n. 细节
miocene	n. 中新世
mipmap	n. Mipmap
mipmapped	adj. Mipmap的
mipmapper	n. MIP映射器
mipmappers	n. MIP映射器
mipmapping	n. Mipmap映射
mipmaps	n. Mipmap
mir	n. 和平号
mira	n. 米拉
miracle	n. 奇迹
miracles	n. 奇迹
miraculous	adj. 奇迹般的
miraculously	adv. 奇迹般地
mirage	n. 海市蜃楼
miranda	n. 米兰达
mire	n. 泥潭
mired	adj. 陷入
miriam	n. 米里亚姆
miro	n. 米罗
mirror	n. 镜子
mirrored	adj. 镜面的
mirroring	v. 镜像
mirrors	n. 镜子
mirth	n. 欢乐
misadventures	n. 不幸
misappropriation	n. 挪用
misbehave	v. 行为不端
misbehaving	v. 行为不端
misbehavior	n. 不良行为
miscalculated	v. 误算
miscalculation	n. 误算
miscarriage	n. 流产
miscarriages	n. 流产
miscarried	v. 流产
miscellaneous	adj. 杂项的
miscellany	n. 杂集
mischief	n. 恶作剧
mischievous	adj. 淘气
miscommunication	n. 沟通不畅
misconception	n. 误解
misconceptions	n. 误解
misconduct	n. 不当行为
misconfiguration	n. 配置错误
misconfigurations	n. 错误配置
misconfigure	v. 错误配置
misconfigured	adj. 配置错误的
misconstruct	v. 错误构建
misconstructed	adj. 错误构建的
misconstrued	v. 误解
misdeeds	n. 恶行
misdemeanor	n. 轻罪	n. 不端行为
misdemeanors	n. 轻罪
misdiagnosed	v. 误诊
misdirected	adj. 误导的
misdirection	n. 误导
miser	n. 守财奴
miserable	adj. 悲惨的
miserably	adv. 悲惨地
miseries	n. 痛苦
misery	n. 痛苦
misfit	n. 不合群者
misfits	n. 不合群者
misfortune	n. 不幸	n. 灾祸
misfortunes	n. 不幸
misgivings	n. 疑虑
misguided	adj. 误导的
mishandled	v. 处理不当
mishandling	n. 处理不当
mishap	n. 小事故
mishaps	n. 小事故	n. 不幸
misinformation	n. 错误信息
misinformed	adj. 误传的
misinterpret	v. 误解
misinterpretation	n. 误解
misinterpreted	v. 误解
misjudged	v. 误判
mislead	v. 误导
misleading	adj. 误导的
misled	v. 误导
mismanaged	v. 管理不善
mismanagement	n. 管理不善
mismatch	n. 不匹配
mismatched	adj. 不匹配的
misnomer	n. 误称
miso	n. 味噌
misogynist	n. 厌女者
misogynistic	adj. 厌女的
misogyny	n. 厌女症
misplaced	adj. 放错地方的
misread	v. 误读
misreading	n. 误读
misrepresent	v. 歪曲
misrepresentation	n. 歪曲
misrepresented	v. 歪曲
misrepresenting	v. 歪曲
miss	v. 想念	v. 错过
missed	v. 错过	v. 想念
misses	v. 错过	v. 想念
misshapen	adj. 畸形的
missile	n. 导弹
missiles	n. 导弹
missing	adj. 缺失的
mission	n. 使命
missionaries	n. 传教士
missionary	n. 传教士
missions	n. 任务	n. 使命
mississauga	n. 密西沙加
mississippi	n. 密西西比
mississippian	adj. 密西西比
missoula	n. 米苏拉
missouri	n. 密苏里
misspelled	adj. 拼写错误的
misspelling	n. 拼写错误
misstep	n. 失足
missteps	n. 失策
missus	n. 太太
missy	n. 米西
mist	n. 薄雾
mistake	n. 错误
mistaken	adj. 错误
mistakenly	adv. 错误地
mistakes	n. 错误
mistaking	v. 误解
mister	n. 先生
mistletoe	n. 槲寄生
mistook	v. 误解
mistral	n. 密史脱拉风
mistreated	v. 虐待
mistreatment	n. 虐待
mistress	n. 情妇
mistresses	n. 情妇
mistrial	n. 无效审判
mistrust	n. 不信任
mists	n. 薄雾
misty	adj. 有雾的	adj. 朦胧的
misunderstand	v. 误解
misunderstanding	n. 误解
misunderstandings	n. 误解
misunderstood	adj. 被误解的
misuse	v. 误用
misused	v. 误用
misusing	v. 误用
mit	n. 麻省理工
mitch	n. 米奇
mitchel	n. 米切尔
mitchell	n. 米切尔
mite	n. 螨虫
mites	n. 螨虫
mitigate	v. 减轻
mitigated	v. 减轻
mitigating	adj. 减轻的
mitigation	n. 缓解
mitm	n. 中间人
mitmproxy	n. 中间人代理
mitochondria	n. 线粒体
mitochondrial	adj. 线粒体的
mitosis	n. 有丝分裂
mitral	adj. 二尖瓣的
mitre	n. 主教冠
mitsubishi	n. 三菱
mitt	n. 手套
mittens	n. 连指手套
mitts	n. 手套
mitzvah	n. 善行
mix	v. 混合
mixed	adj. 混合的
mixer	n. 搅拌器
mixers	n. 搅拌器
mixes	v. 混合
mixin	n. 混入
mixing	v. 混合	v. 搅拌
mixins	n. 混入
mixtape	n. 混音带
mixtapes	n. 混音带
mixture	n. 混合物
mixtures	n. 混合物
mk	n. 马克
mkdir	v. 创建目录
mkdtemp	v. 创建临时目录
mkfs	n. mkfs
mkswap	n. mkswap
ml	n. 毫升
mlnx	n. MLNX
mlp	n. 多层感知机
mm	n. 毫米
mmddyy	n. 月日年
mmddyyyy	n. 月日年
mme	n. 夫人
mmistakes	n. 毫米错误
mmyyyy	n. 月月年年
mn	n. 明尼苏达
mnemonic	n. 助记符
mo	n. 密苏里州
moan	v. 呻吟
moaned	v. 呻吟
moaning	n. 呻吟
moans	n. 呻吟
moat	n. 护城河
mob	n. 暴徒
mobbed	v. 围攻
mobil	n. 美孚
mobile	adj. 移动的
mobiles	n. 手机
mobilisation	n. 动员
mobilise	v. 动员
mobilised	v. 动员
mobility	n. 流动性
mobilization	n. 动员
mobilize	v. 动员
mobilized	v. 动员
mobilizing	v. 动员
mobs	n. 暴民
mobster	n. 暴徒
mobsters	n. 暴徒
moccasins	n. 莫卡辛鞋
mocha	n. 摩卡
mock	v. 嘲笑	v. 模拟
mocked	v. 嘲笑
mockery	n. 嘲笑
mockfile	n. 模拟文件
mockfn	n. 模拟函数
mockfunction	n. 模拟函数
mocking	adj. 嘲弄
mockingbird	n. 知更鸟
mockingly	adv. 嘲讽地
mockpath	n. 模拟路径
mocks	v. 嘲笑
mockserver	n. 模拟服务器
mod	n. 模组
modal	adj. 模态的
modalities	n. 方式
modality	n. 模态
mode	n. 模式
model	n. 模型	n. 模特
modeled	v. 建模
modeling	n. 建模
modelled	v. 模仿
modelling	n. 建模
models	n. 模型
modem	n. 调制解调器
modems	n. 调制解调器
moderate	adj. 适度的
moderated	v. 缓和	v. 调节
moderately	adv. 适度地
moderates	n. 温和派
moderating	v. 缓和
moderation	n. 适度	n. 节制
moderator	n. 版主
moderators	n. 版主
modern	adj. 现代的
modernisation	n. 现代化
modernise	v. 现代化
modernised	v. 现代化
modernism	n. 现代主义
modernist	n. 现代主义者
modernity	n. 现代性
modernization	n. 现代化
modernize	v. 现代化
modernized	v. 现代化
modernizing	v. 现代化
modes	n. 模式
modest	adj. 谦虚的
modestly	adv. 谦虚地
modesto	n. 莫德斯托
modesty	n. 谦虚
modi	n. 莫迪
modicum	n. 少量
modifiability	n. 可修改性
modification	n. 修改	n. 更改
modifications	n. 修改
modified	adj. 修改的
modifier	n. 修饰语
modifiers	n. 修饰符
modifies	v. 修改
modify	v. 修改
modifying	v. 修改
modinfo	n. 模块信息
modprobe	n. 模块加载
mods	n. 模组
modstat	n. 模块状态
modular	adj. 模块化的
modulate	v. 调节
modulated	v. 调节
modulating	v. 调节
modulation	n. 调制
modulator	n. 调制器
module	n. 模块
modules	n. 模块
modulus	n. 模量
modus	n. 方式
moe	n. 莫
mogadishu	n. 摩加迪沙
mogul	n. 大亨
moguls	n. 大亨
mohamed	n. 穆罕默德
mohammad	n. 穆罕默德
mohawk	n. 莫霍克
moi	pron. 我
moiety	n. 一部分
moira	n. 莫伊拉
moist	adj. 潮湿的
moisture	n. 水分	n. 湿气
moisturiser	n. 润肤霜
moisturize	v. 保湿
moisturizer	n. 保湿霜
moisturizing	adj. 保湿的
mojave	n. 莫哈维
mojito	n. 莫吉托
mojo	n. 魔力
molar	n. 臼齿
molars	n. 臼齿
molasses	n. 糖蜜
mold	n. 霉菌	n. 模具
molded	v. 塑造
molding	n. 成型	n. 模具
moldova	n. 摩尔多瓦
molds	n. 模具
moldy	adj. 发霉的
mole	n. 鼹鼠	n. 间谍
molecular	adj. 分子的
molecule	n. 分子
molecules	n. 分子
moles	n. 鼹鼠
molest	v. 猥亵
molestation	n. 猥亵
molested	v. 猥亵
molester	n. 性骚扰者
molesting	v. 骚扰
molina	n. 莫利纳
moll	n. 莫尔
mollie	n. 莫莉
molluscs	n. 软体动物
mollusks	n. 软体动物
molly	n. 莫莉
molotov	n. 莫洛托夫
